model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,sse,sae,sse_persistence,regime
ar10,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9048,0.0009174721086407898,0.000731729551147191,0.09638116784611431,0.9999093847334471,0.0076161998745704175,6.620688978779784,84.049853455166,id
ar10,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9048,0.007600651476946093,0.006056831011287305,0.1777748684437013,0.9981720643390173,0.5227020812039775,54.80220699012753,285.9521220363862,id
ar10,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9048,0.023874747038830562,0.01899767202466227,0.23188427857464222,0.9893992901571307,5.157392085729409,171.89093647914422,486.5138431459445,id
ar10,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9048,0.05024193132987998,0.0401180503852244,0.2343365500960239,0.9540323197958354,22.839429053667686,362.9881198855104,496.8584220962803,id
ar10,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9048,0.09164050812656103,0.07284349963571678,0.17174263658708364,0.7152795080353476,75.98494773827402,659.0879847039654,266.87558459159806,id
ar10,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9048,0.1331327423836941,0.10530059726714495,0.15600103051301875,0.2716924339112452,160.36971155196852,952.7598040731276,220.19503712312823,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,9048,0.002741232044051826,0.002186725257402364,0.0765425984784432,0.9987174178347695,0.06798986702375713,19.785490128976587,53.010145366817525,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,9048,0.011548549520791686,0.009194916036470598,0.14066248333332157,0.9932594036466452,1.2067226761172414,83.19560029798598,179.0231327999126,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,9048,0.019990144126745036,0.015885626458201317,0.18215907343347137,0.9879571234740523,3.6156338412583366,143.7331481938055,300.2300848529061,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,9048,0.02116677250081095,0.016957270220128055,0.17850272692401234,0.9859388910280974,4.053795871298631,153.42938095171863,288.29844640270346,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,9048,0.07325053272436004,0.058519905868072555,0.14263149702723618,0.7362510775247816,48.54831564575419,529.4881082943205,184.07019520739743,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate,150,15.0,8,9048,0.10097634967050965,0.08010630568945373,0.11208749413397678,0.18843181520925212,92.2554274482828,724.8018538781773,113.67551017548777,id
ar10,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,9048,0.004099457317293526,0.0032786943972183172,0.40259162303967805,0.9998963132481056,0.15205661908102583,29.665626906031335,1466.4999751927025,id
ar10,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,9048,0.041598394323807186,0.03324267434273896,0.7308987185906894,0.9967607927644678,15.656898160565895,300.77971745310214,4833.558652505807,id
ar10,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,9048,0.13463184402692177,0.10745997904600564,0.9265359223607406,0.9788859733744449,164.0016360392568,972.297890408259,7767.425841964207,id
ar10,0,frigate,SS3,45.0,0.0,pitch,50,5.0,8,9048,0.20518142802897688,0.16291897821963702,0.831370227251959,0.9390902017595937,380.9155377556765,1474.0909149312758,6253.764562677292,id
