reading,model,head,regime,dof,horizon_samples,horizon_s,n_seeds,picp_mean,picp_std,picp_ci_lo,picp_ci_hi,band_lo,band_hi,verdict,mean_interval_width_mean,width_ratio_mean,crossing_rate_mean,n_params
A,dlinear_gaussian,gaussian,id,pitch,100,10.0,3,0.8646669920915611,9.066062592114002e-05,0.8489324298187445,0.8803715254752431,0.85,0.95,PASS,3.0920721612305893,0.7572797028161536,0.0,120600
A,dlinear_quantile,quantile,id,pitch,100,10.0,3,0.8575529275960311,0.0002194224091828,0.8410176972811672,0.8741258427276746,0.85,0.95,PASS,3.010102691957608,0.7372045518836033,0.0034092862756655,542700
A,lstm_gaussian,gaussian,id,pitch,100,10.0,3,0.9171785968660968,0.0032466312552446,0.909998238561008,0.92200877726201,0.85,0.95,PASS,1.2750706095837792,0.3122776707484506,0.0,433928
A,lstm_quantile,quantile,id,pitch,100,10.0,3,0.911991753855978,0.007134334472579,0.9010277938955202,0.9191559368552904,0.85,0.95,PASS,1.1582297468354632,0.2836621633459281,0.0037715517241379,1246628
A,tcn_gaussian,gaussian,id,pitch,100,10.0,3,0.917566957707044,0.0031795051992561,0.9105844638778368,0.9234884435786914,0.85,0.95,PASS,1.621436554972254,0.3971061891375659,0.0,255304
A,tcn_quantile,quantile,id,pitch,100,10.0,3,0.9166375012280183,0.0025760210957897,0.9096909077512524,0.9224002081491304,0.85,0.95,PASS,1.474605008736546,0.3611456604372394,4.605069260241674e-06,664804
B,dlinear_gaussian,gaussian,id,heave,10,1.0,3,0.9623911668631496,0.0024532859078868,0.9512293232390217,0.973871239960949,0.85,0.95,FAIL,0.0726154981555236,0.0290749499237767,0.0,120600
B,dlinear_gaussian,gaussian,id,heave,20,2.0,3,0.9443569481284998,0.0007447516138047,0.9323781268420276,0.9563824533045976,0.85,0.95,PASS,0.3961823326952836,0.1586212698731246,0.0,120600
B,dlinear_gaussian,gaussian,id,heave,30,3.0,3,0.922431445868946,0.0006789640676501,0.90803532778883,0.9374979277188328,0.85,0.95,PASS,0.8291633206551996,0.331974639861799,0.0,120600
B,dlinear_gaussian,gaussian,id,heave,50,5.0,3,0.9195601851851852,0.0004673653763444,0.9051070793729736,0.9343135798887416,0.85,0.95,PASS,0.9750872234329716,0.3903617315511704,0.0,120600
B,dlinear_gaussian,gaussian,id,heave,100,10.0,3,0.9071633387366146,0.0002819766800079,0.8938351937813145,0.9209776446912762,0.85,0.95,PASS,1.877813868026161,0.7519305244245476,0.0,120600
B,dlinear_gaussian,gaussian,id,heave,150,15.0,3,0.8855901242754691,3.61383036367573e-05,0.8703164143088713,0.901259544006042,0.85,0.95,PASS,2.2598974757807784,0.9054426988142972,0.0,120600
B,dlinear_gaussian,gaussian,id,heave_rate,10,1.0,3,0.9701115654779447,0.0027228991566725,0.9604749783561743,0.9780589172561156,0.85,0.95,FAIL,0.0430817399064153,0.0291305094685982,0.0,120600
B,dlinear_gaussian,gaussian,id,heave_rate,20,2.0,3,0.9550568265546714,0.0008411628889301,0.9458804201665192,0.9643895174808428,0.85,0.95,FAIL,0.2350504600740056,0.1589175605897463,0.0,120600
B,dlinear_gaussian,gaussian,id,heave_rate,30,3.0,3,0.9344138360840948,0.0008149357187333,0.9234959843796052,0.946212848603743,0.85,0.95,PASS,0.4919324787441526,0.3325631250905185,0.0,120600
B,dlinear_gaussian,gaussian,id,heave_rate,50,5.0,3,0.9273665450928382,0.0006076074343523,0.9158989440576186,0.938970225924698,0.85,0.95,PASS,0.5785077400502342,0.3911405223770832,0.0,120600
B,dlinear_gaussian,gaussian,id,heave_rate,100,10.0,3,0.9007208468415364,0.0003927852336309,0.8884592359269083,0.91337870477822,0.85,0.95,PASS,1.1140845481255592,0.753600733881861,0.0,120600
B,dlinear_gaussian,gaussian,id,heave_rate,150,15.0,3,0.8826329022988505,2.801154274563916e-05,0.8691785016946655,0.8962494013409962,0.85,0.95,PASS,1.3407705840585908,0.9074360165044304,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch,10,1.0,3,0.9228942553296,0.0053144999935205,0.9046495657419688,0.9411486539382552,0.85,0.95,PASS,0.1195705013847263,0.0292808888518271,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch,20,2.0,3,0.9047088368209056,0.0009454346635842,0.888838751197318,0.9191961160845858,0.85,0.95,PASS,0.6523666232066185,0.1597460322551408,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch,30,3.0,3,0.89469050864525,0.0003892396030536,0.8797033299255821,0.9091811841475096,0.85,0.95,PASS,1.3653277226530869,0.3343244467310407,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch,50,5.0,3,0.8867352514981826,0.0005576904922898,0.8714304381262894,0.9014400627210432,0.85,0.95,PASS,1.605611449028842,0.3931249312824595,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch,100,10.0,3,0.8646669920915611,9.066062592114002e-05,0.8489324298187445,0.8803715254752431,0.85,0.95,PASS,3.0920721612305893,0.7572797028161536,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch,150,15.0,3,0.8752647914824639,3.344624743572886e-05,0.8606064530835543,0.8899642301245211,0.85,0.95,PASS,3.721226963375417,0.9118656694738668,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch_rate,10,1.0,3,0.8635993835347283,0.0056504431264639,0.8345270248489537,0.8904414304266136,0.85,0.95,PASS,0.0891454723671413,0.0293393140213907,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch_rate,20,2.0,3,0.8470096215247077,0.0011750539064648,0.8230241950338933,0.868646270814913,0.85,0.95,FAIL,0.4863720726981311,0.1600526843506417,0.0,120600
B,dlinear_gaussian,gaussian,id,pitch_rate,30,3.0,3,0.8454131975144906,0.0007458944752333,0.823850056642352,0.8653669434313292,0.85,0.95,FAIL,1.017919763592616,0.3349241984318538,0.0,120600
