model,head,regime,dof,horizon_samples,horizon_s,picp_id,picp_ood,picp_delta,width_id,width_ood,width_delta,width_ratio_id,width_ratio_ood
dlinear_gaussian,gaussian,unseen_heading,heave,10,1.0,0.9623911668631496,0.9790432508104924,0.016652083947342744,0.0726154981555236,0.0728945715215901,0.00027907336606650124,0.0290749499237767,0.028427496584161
dlinear_gaussian,gaussian,unseen_heading,heave,20,2.0,0.9443569481284998,0.9587729639453778,0.014416015816878014,0.3961823326952836,0.3984162837736294,0.0022339510783458416,0.1586212698731246,0.1553611660273098
dlinear_gaussian,gaussian,unseen_heading,heave,30,3.0,0.922431445868946,0.9367674869830044,0.014336041114058395,0.8291633206551996,0.8417641240898108,0.01260080343461123,0.331974639861799,0.328220338386003
dlinear_gaussian,gaussian,unseen_heading,heave,50,5.0,0.9195601851851852,0.9310842175066312,0.011524032321445943,0.9750872234329716,0.9920471972763578,0.01695997384338621,0.3903617315511704,0.3867445582755754
dlinear_gaussian,gaussian,unseen_heading,heave,100,10.0,0.9071633387366146,0.9212318253266528,0.014068486590038232,1.877813868026161,1.895472119739953,0.017658251713792206,0.7519305244245476,0.7388454322606681
dlinear_gaussian,gaussian,unseen_heading,heave,150,15.0,0.8855901242754691,0.8919693732193732,0.00637924894390407,2.2598974757807784,2.2706466540860557,0.01074917830527733,0.9054426988142972,0.8850036992517084
dlinear_gaussian,gaussian,unseen_heading,heave_rate,10,1.0,0.9701115654779447,0.9927393407996856,0.022627775321740873,0.0430817399064153,0.0436864753120825,0.0006047354056672033,0.0291305094685982,0.0295750922644344
dlinear_gaussian,gaussian,unseen_heading,heave_rate,20,2.0,0.9550568265546714,0.9786085322723254,0.02355170571765397,0.2350504600740056,0.2387759740505735,0.0037255139765678957,0.1589175605897463,0.1616311716388259
dlinear_gaussian,gaussian,unseen_heading,heave_rate,30,3.0,0.9344138360840948,0.9606622703605462,0.026248434276451404,0.4919324787441526,0.5044807993849751,0.012548320640822563,0.3325631250905185,0.3414579711824329
dlinear_gaussian,gaussian,unseen_heading,heave_rate,50,5.0,0.9273665450928382,0.9521140337950684,0.024747488702230203,0.5785077400502342,0.5945475366220253,0.01603979657179111,0.3911405223770832,0.4023967044230148
dlinear_gaussian,gaussian,unseen_heading,heave_rate,100,10.0,0.9007208468415364,0.9257982120051084,0.025077365163571952,1.1140845481255592,1.135982128256131,0.02189758013057186,0.753600733881861,0.7688576504906367
dlinear_gaussian,gaussian,unseen_heading,heave_rate,150,15.0,0.8826329022988505,0.8941257736516356,0.011492871352785095,1.3407705840585908,1.3608296692888036,0.020059085230212714,0.9074360165044304,0.9210759261812184
dlinear_gaussian,gaussian,unseen_heading,pitch,10,1.0,0.9228942553296,1.0,0.07710574467039999,0.1195705013847263,0.1397735037957622,0.020203002411035897,0.0292808888518271,0.4553047447220983
dlinear_gaussian,gaussian,unseen_heading,pitch,20,2.0,0.9047088368209056,1.0,0.09529116317909436,0.6523666232066185,0.7639627731240483,0.11159614991742972,0.1597460322551408,2.488698255713143
dlinear_gaussian,gaussian,unseen_heading,pitch,30,3.0,0.89469050864525,1.0,0.10530949135474998,1.3653277226530869,1.614088738981904,0.2487610163288172,0.3343244467310407,5.258296882994045
dlinear_gaussian,gaussian,unseen_heading,pitch,50,5.0,0.8867352514981826,1.0,0.11326474850181745,1.605611449028842,1.902259826778864,0.29664837775002195,0.3931249312824595,6.197756868220796
dlinear_gaussian,gaussian,unseen_heading,pitch,100,10.0,0.8646669920915611,1.0,0.13533300790843894,3.0920721612305893,3.6345847368846393,0.5425125756540501,0.7572797028161536,11.845309471945493
dlinear_gaussian,gaussian,unseen_heading,pitch,150,15.0,0.8752647914824639,1.0,0.12473520851753606,3.721226963375417,4.353985897133322,0.6327589337579052,0.9118656694738668,14.187474545918649
dlinear_gaussian,gaussian,unseen_heading,pitch_rate,10,1.0,0.8635993835347283,1.0,0.13640061646527168,0.0891454723671413,0.1041925026894289,0.015047030322287588,0.0293393140213907,0.4815967873172801
dlinear_gaussian,gaussian,unseen_heading,pitch_rate,20,2.0,0.8470096215247077,1.0,0.1529903784752923,0.4863720726981311,0.5694870293151145,0.08311495661698343,0.1600526843506417,2.6324357945823595
dlinear_gaussian,gaussian,unseen_heading,pitch_rate,30,3.0,0.8454131975144906,1.0,0.15458680248550938,1.017919763592616,1.20320342181839,0.18528365822577397,0.3349241984318538,5.562332045705268
dlinear_gaussian,gaussian,unseen_heading,pitch_rate,50,5.0,0.840434350132626,1.0,0.15956564986737398,1.1970636478981866,1.4180171454045691,0.2209534975063825,0.3938975628473577,6.556651412055626
dlinear_gaussian,gaussian,unseen_heading,pitch_rate,100,10.0,0.8384748931623932,1.0,0.1615251068376068,2.305300200589698,2.7093582194299266,0.4040580188402285,0.7586458143878115,12.530779033525375
dlinear_gaussian,gaussian,unseen_heading,pitch_rate,150,15.0,0.8728586427939876,1.0,0.12714135720601238,2.774369608094307,3.2456273937954414,0.4712577857011344,0.9133009687347532,15.009868349959277
