experiment,ablation,arm,reference_arm,model,seed,logical_model,model_reference,architecture_differs,regime,observation_mode,reference_observation_mode,logical_dof,dof,dof_reference,horizon_samples,horizon_s,lookback,reference_lookback,parameter_matched,arm_parameter_matched,privileged_information,vehicle_blind_to_arm,capacity_confounded,n_params,n_params_reference,param_delta_frac,not_fittable,raw_rmse_comparable,on_residual_floor,note,skill,skill_reference,skill_diff,nrmse,nrmse_reference,nrmse_diff,skill_diff_ci_lo,skill_diff_ci_hi,skill_diff_ci_point,skill_diff_ci_reason,ci_resample_unit,ci_n_units,ci_n_realizations,n_boot,ci_level,bootstrap_seed
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,heave,heave,heave,10,1.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.999670103108652,0.9999826899599316,-0.00031258685127955044,0.0105683218008946,0.0024208392598519,0.0081474825410427,-0.0004170585372524864,-0.0002342903931373914,-0.0003125868512796574,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,heave,heave,heave,20,2.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9974198565593912,0.9996321400514426,-0.002212283492051381,0.0560789858131696,0.0211748078633253,0.034904177949844295,-0.0029497044261724338,-0.0016642756014159277,-0.002212283492051466,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,heave,heave,heave,30,3.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9901715613104198,0.9973884528964564,-0.007216891586036556,0.150334889938474,0.0774937093047017,0.07284118063377229,-0.009446025924226078,-0.005554717672893625,-0.0072168915860365175,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,heave,heave,heave,50,5.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9580692228625522,0.975534886857254,-0.01746566399470173,0.388919468686865,0.2970755037675103,0.0918439649193547,-0.021342391882355937,-0.014597929159672325,-0.017465663994701654,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,heave,heave,heave,100,10.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.5893149563177846,0.6755270958301378,-0.08621213951235318,0.7036424952277315,0.625441701343588,0.07820079388414347,-0.10100711808053171,-0.07249476399508144,-0.08621213951235318,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,heave,heave,heave,150,15.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.6285739434244549,0.6753400862595789,-0.046766142835123925,0.8887888644762685,0.8309535651695799,0.057835299306688626,-0.06407464236484364,-0.031094617635996257,-0.046766142835123925,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,pitch,pitch,pitch,10,1.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9986318461613732,0.9999126080106762,-0.001280761849302925,0.0267083773963583,0.0067501877169925,0.0199581896793658,-0.0017968341222205167,-0.000855401815478417,-0.0012807618493028904,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,pitch,pitch,pitch,20,2.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.986617067357147,0.9975046495779136,-0.010887582220766578,0.1528030766469632,0.0659815059783064,0.08682157066865678,-0.014840787868029082,-0.007894717092437933,-0.01088758222076661,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,pitch,pitch,pitch,30,3.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.956639408405344,0.9841676377593344,-0.027528229353990352,0.3560037884158869,0.2151195491521393,0.14088423926374763,-0.036630999734691215,-0.02110355497222053,-0.02752822935399038,,grid_cell,48.0,384.0,1000.0,0.95,0.0
e04b_channels,channels,attitude_only,reference,ar20,0.0,ar20,ar20,False,id,ideal,ideal,pitch,pitch,pitch,50,5.0,200,200,False,True,False,False,True,27450.0,108900.0,-0.7479338842975206,,True,False,"forecasts roll/pitch/heave only; the rate rows do not exist here and are not imputed, and the quiescence metric cannot be evaluated on this arm",0.9113321718417836,0.9276523327660952,-0.016320160924311544,0.535891294230164,0.4840675080023821,0.05182378622778194,-0.02134406788381515,-0.011625032122768213,-0.01632016092431153,,grid_cell,48.0,384.0,1000.0,0.95,0.0
