model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
ar20,id,heave_imu,10,1.0,1,True,434304,0.002090215369229138,,0.001540249538070767,,0.4360860094370759,0.9999770259392098,,0.9999748984910612,0.9999787117350777,0.7462457008893157,0.0028009747550145846,,108900,0.05115562100036186
ar20,id,heave_imu,20,2.0,1,True,434304,0.016393324864608625,,0.012045926336673174,,0.8272378841486192,0.9996072888244183,,0.9995647111096474,0.9996409266548084,0.7462738792359292,0.021966901590328863,,108900,0.05115562100036186
ar20,id,heave_imu,30,3.0,1,True,434304,0.05867743568461868,,0.04242417529325204,,1.1355767624159623,0.9973300123137394,,0.9970292277312434,0.9975825565256788,0.7463383670680748,0.0786204197368653,,108900,0.05115562100036186
ar20,id,heave_imu,50,5.0,1,True,434304,0.20552970305922472,,0.1423500825212198,,1.419148162303668,0.979025398842138,,0.9767787199602541,0.9809613774543348,0.7464457913170216,0.27534444624115323,,108900,0.05115562100036186
ar20,id,heave_imu,100,10.0,1,True,434304,0.485638080698808,,0.33561452437037514,,0.8123875004006482,0.6426457077381509,,0.6056019967261403,0.6715868619291055,0.7463339581346979,0.6506980895155253,,108900,0.05115562100036186
ar20,id,heave_imu,150,15.0,1,True,434304,0.6432625933750211,,0.44125555140662726,,1.0935546656669395,0.6539844640225286,,0.6308791000829644,0.674127655222574,0.7460095663293967,0.8622712394159725,,108900,0.05115562100036186
ar20,id,heave_rate_imu,10,1.0,1,True,434304,0.0060691778328284055,,0.004470033166397904,,0.2838667559561788,0.9995428795437021,,0.9995008227415082,0.9995791047954847,0.4466951335134235,0.013586845652631276,,108900,0.05115562100036186
ar20,id,heave_rate_imu,20,2.0,1,True,434304,0.030977720994531468,,0.0225648773580066,,0.5325577215099725,0.9966165048671478,,0.9962991205050418,0.9969005106634306,0.4467636452599009,0.06933805228603694,,108900,0.05115562100036186
ar20,id,heave_rate_imu,30,3.0,1,True,434304,0.07768880779850214,,0.05515101302148116,,0.7178513821406037,0.988287547787634,,0.9871418992961816,0.9893054516301859,0.44680127749070453,0.17387776560266976,,108900,0.05115562100036186
ar20,id,heave_rate_imu,50,5.0,1,True,434304,0.14420177551092322,,0.09756685432717847,,0.8471498442942375,0.9710251801263272,,0.9679578021470884,0.9736517708187428,0.4467451203703878,0.32278310145025935,,108900,0.05115562100036186
ar20,id,heave_rate_imu,100,10.0,1,True,434304,0.3128565675504539,,0.21312913136063444,,0.47470625601314864,0.5656491837132135,,0.548441764341598,0.5838895604603276,0.44658660011503964,0.7005507273838104,,108900,0.05115562100036186
ar20,id,heave_rate_imu,150,15.0,1,True,434304,0.4157735496585753,,0.2816285094832514,,0.6780395407647745,0.6239862967236022,,0.6012905809446819,0.6452981839127051,0.44634137990104933,0.9315146844568821,,108900,0.05115562100036186
ar20,id,pitch_imu,10,1.0,1,True,434304,0.057558234780593,,0.04442939806552234,,0.8967465758949417,0.9958802062104248,,0.9955168066483,0.9961825230913919,1.2421326705656102,0.04633823434849647,,108900,0.05115562100036186
ar20,id,pitch_imu,20,2.0,1,True,434304,0.21509927047368677,,0.15675805073769328,,1.639889871399927,0.9827952443922596,,0.9814245114373861,0.9840273668447408,1.24218755794137,0.17316166878225908,,108900,0.05115562100036186
ar20,id,pitch_imu,30,3.0,1,True,434304,0.4221735792986228,,0.29796227746689785,,2.122484405245588,0.9604366475337214,,0.9573344448377377,0.9632037689293061,1.2422108552955238,0.33985661733586053,,108900,0.05115562100036186
ar20,id,pitch_imu,50,5.0,1,True,434304,0.62200968588566,,0.44213730475825086,,2.234427726290816,0.9225071432009917,,0.9143356590269014,0.9289427522663023,1.2423348523490212,0.5006779651311857,,108900,0.05115562100036186
ar20,id,pitch_imu,100,10.0,1,True,434304,1.0879867034997774,,0.7337499529632072,,1.5593436358220714,0.5131854933478621,,0.50143415397885,0.5248273368077523,1.2420100845733013,0.8759886228086148,,108900,0.05115562100036186
ar20,id,pitch_imu,150,15.0,1,True,434304,1.2253709246702382,,0.7939338867727772,,1.7853551102885246,0.5289294864820517,,0.5084242240656164,0.5470673266065887,1.241343687207605,0.9871326831545764,,108900,0.05115562100036186
ar20,id,pitch_rate_imu,10,1.0,1,True,434304,0.10758659665813021,,0.07953115773903596,,0.7534204829087303,0.9796088606317334,,0.9781126833742132,0.9808785680651847,0.9238644470022951,0.11645279457091495,,108900,0.05115562100036186
ar20,id,pitch_rate_imu,20,2.0,1,True,434304,0.2276738209188592,,0.15926316005000596,,1.3417844978848232,0.9712087412742427,,0.9691093129175312,0.9731307762837261,0.9239895988371308,0.24640301276701998,,108900,0.05115562100036186
ar20,id,pitch_rate_imu,30,3.0,1,True,434304,0.27929496874464504,,0.19820733329960663,,1.664371083650498,0.9718404376417978,,0.9694422057604632,0.9739741719901024,0.9241169026270519,0.3022290447785055,,108900,0.05115562100036186
ar20,id,pitch_rate_imu,50,5.0,1,True,434304,0.558748779879993,,0.3740672287232916,,1.5495762479562236,0.8699808645656859,,0.8588899977549027,0.8797985844290601,0.9240478216497802,0.6046751767483332,,108900,0.05115562100036186
ar20,id,pitch_rate_imu,100,10.0,1,True,434304,0.8559832458602729,,0.5596739803868547,,1.2735265809317058,0.548233003431296,,0.5303766513248983,0.565320921643412,0.9239494241237814,0.9264395036254678,,108900,0.05115562100036186
ar20,id,pitch_rate_imu,150,15.0,1,True,434304,0.9168341954645174,,0.5841923914600202,,1.3083418485724552,0.5089348207404256,,0.4950570665216978,0.5216859372385394,0.9236625396742156,0.9926073171570792,,108900,0.05115562100036186
ar20,id,roll_imu,10,1.0,1,True,434304,0.04496843689787104,,0.03566937771668487,,1.9448708998621889,0.9994653937557548,,0.9993496941105259,0.9995382776291458,3.683096770103734,0.012209409555265232,,108900,0.05115562100036186
ar20,id,roll_imu,20,2.0,1,True,434304,0.15046989824449603,,0.11596348338570396,,3.7445627859317203,0.9983852807575007,,0.9980813444148022,0.9985913476931363,3.683980230234797,0.04084438266241887,,108900,0.05115562100036186
ar20,id,roll_imu,30,3.0,1,True,434304,0.3431474546977932,,0.25887117453674025,,5.267438807686876,0.9957561251764225,,0.9950156207891497,0.9962761000220193,3.68483107763889,0.09312433798666016,,108900,0.05115562100036186
ar20,id,roll_imu,50,5.0,1,True,434304,0.7374401405335204,,0.5286000867735942,,7.087624231053461,0.9891743949518658,,0.9874043626588379,0.990368099690997,3.6862989064932075,0.20004892691543846,,108900,0.05115562100036186
ar20,id,roll_imu,100,10.0,1,True,434304,1.231493081971071,,0.8503751193144031,,3.793831212709033,0.8946321927028542,,0.881254693027263,0.9046763313138418,3.690360897131734,0.3337053248445773,,108900,0.05115562100036186
ar20,id,roll_imu,150,15.0,1,True,434304,1.870876984945984,,1.2288206569314397,,5.252023789483733,0.873107166364854,,0.8614279474418249,0.8831167716145726,3.6940279583566067,0.5064598876989271,,108900,0.05115562100036186
ar20,id,roll_rate_imu,10,1.0,1,True,434304,0.07035869503080054,,0.05459494944442706,,1.0678999900390298,0.9956591539191693,,0.9948668431147134,0.9962019267120815,1.9696577586754387,0.035721279354701485,,108900,0.05115562100036186
ar20,id,roll_rate_imu,20,2.0,1,True,434304,0.1629314930678916,,0.12238398562663487,,2.0486112451264518,0.9936745566581966,,0.9926154795102713,0.9943917459007718,1.9700018376236912,0.08270626451010178,,108900,0.05115562100036186
ar20,id,roll_rate_imu,30,3.0,1,True,434304,0.2411226727193278,,0.17612570408933553,,2.8661560416217173,0.992922556092977,,0.9918405489685148,0.9936680724418441,1.9703577508410948,0.12237507255542744,,108900,0.05115562100036186
ar20,id,roll_rate_imu,50,5.0,1,True,434304,0.3161703883721516,,0.2278869649945609,,3.7984644418446996,0.9930717068556503,,0.9920134377376235,0.9938459721301508,1.9712183969802053,0.16039338353198546,,108900,0.05115562100036186
ar20,id,roll_rate_imu,100,10.0,1,True,434304,0.7248337146457076,,0.5087611501951778,,1.958924104837112,0.8630879885854424,,0.8453297628017148,0.8768298266717922,1.9728314806073508,0.367407820571964,,108900,0.05115562100036186
ar20,id,roll_rate_imu,150,15.0,1,True,434304,1.041014385269004,,0.7077290627983456,,2.8982735890952527,0.8709866349251798,,0.8584111613061322,0.8808422724034565,1.9742309046325088,0.5273012304823496,,108900,0.05115562100036186
damped_persistence,id,heave_imu,10,1.0,1,True,434304,0.5265274145676905,,0.34111605275976414,,0.4360860094370759,-0.4577990712204407,,-0.4966640873889587,-0.4173436410370819,0.7462457008893157,0.7055684393762234,,6,0.13514864399985527
damped_persistence,id,heave_imu,20,2.0,1,True,434304,0.7545268918290101,,0.48648476030631543,,0.8272378841486192,0.16806649441649835,,0.1455508676113311,0.19170033878544918,0.7462738792359292,1.011058959482182,,6,0.13514864399985527
damped_persistence,id,heave_imu,30,3.0,1,True,434304,0.8267081906877837,,0.529336222286215,,1.1355767624159623,0.47000534814618644,,0.45555281517415536,0.48465560913085287,0.7463383670680748,1.107685504545927,,6,0.13514864399985527
damped_persistence,id,heave_imu,50,5.0,1,True,434304,0.7912681317827772,,0.5012270455248521,,1.419148162303668,0.6891206526313339,,0.6832133383058224,0.6951732935056485,0.7464457913170216,1.0600476832841024,,6,0.13514864399985527
damped_persistence,id,heave_imu,100,10.0,1,True,434304,0.719443400192093,,0.4650524613868403,,0.8123875004006482,0.21572783655632632,,0.14904318576776335,0.2709996732013218,0.7463339581346979,0.9639698051394953,,6,0.13514864399985527
damped_persistence,id,heave_imu,150,15.0,1,True,434304,0.7763683218264221,,0.49208457355103213,,1.0935546656669395,0.4959720532027939,,0.4678903169780498,0.5226744061484451,0.7460095663293967,1.0406948608533266,,6,0.13514864399985527
damped_persistence,id,heave_rate_imu,10,1.0,1,True,434304,0.33151364521524573,,0.22230908345653522,,0.2838667559561788,-0.3638724234260591,,-0.3981536957204752,-0.3265376000985016,0.4466951335134235,0.7421474297419977,,6,0.13514864399985527
damped_persistence,id,heave_rate_imu,20,2.0,1,True,434304,0.46009691458754115,,0.30756921852056357,,0.5325577215099725,0.2536109317062686,,0.2346715291465402,0.2738371941010555,0.4467636452599009,1.0298441233280826,,6,0.13514864399985527
damped_persistence,id,heave_rate_imu,30,3.0,1,True,434304,0.49191178511387057,,0.327267419247358,,0.7178513821406037,0.5304245611841343,,0.5190037640660542,0.5420739271267335,0.44680127749070453,1.1009632467402795,,6,0.13514864399985527
damped_persistence,id,heave_rate_imu,50,5.0,1,True,434304,0.4612389442063996,,0.30513028160893735,,0.8471498442942375,0.7035636426251282,,0.699749871157991,0.707250158355632,0.4467451203703878,1.0324431609325586,,6,0.13514864399985527
damped_persistence,id,heave_rate_imu,100,10.0,1,True,434304,0.4398084578426706,,0.2936452894085249,,0.47470625601314864,0.14162463824707938,,0.08740101624353024,0.1942425300663682,0.44658660011503964,0.9848223339647383,,6,0.13514864399985527
damped_persistence,id,heave_rate_imu,150,15.0,1,True,434304,0.45859362305256096,,0.3031567634694199,,0.6780395407647745,0.5425475260543444,,0.5232997005003441,0.5599121090976136,0.44634137990104933,1.0274503859674133,,6,0.13514864399985527
damped_persistence,id,pitch_imu,10,1.0,1,True,434304,0.9895663732315568,,0.6266774184778451,,0.8967465758949417,-0.2177283131155845,,-0.25506495332899476,-0.18212593770875207,1.2421326705656102,0.7966672133186495,,6,0.13514864399985527
damped_persistence,id,pitch_imu,20,2.0,1,True,434304,1.3108895217890646,,0.827440963240877,,1.639889871399927,0.3609971176520783,,0.3409160695983519,0.3798911893659503,1.24218755794137,1.0553072387567235,,6,0.13514864399985527
