model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,45.0,0.0,heave_imu,10,1.0,8,9048,0.0010408106614428517,0.000829176021250588,0.09594817541625018,0.9998823288430329,0.12696443382726993,0.008197655280838989,0.009801579264740666,7.502384640275321,83.29636180492162,-0.18643384789265838,145.85346939311813,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,20,2.0,8,9048,0.00844354864607034,0.006741741135086229,0.17698304982173343,0.99772392446729,0.12692135561521287,0.0665258309379284,0.6450637123064572,60.999273790260204,283.4105033141813,-0.07801239601485577,145.75450873799525,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,30,3.0,8,9048,0.027743498781438208,0.02210516551160858,0.23083890154623274,0.9855554351980019,0.12691018466786447,0.21860734703085868,6.964261204503481,200.00753754903445,482.13714293006143,0.015298530094696616,145.72885213642692,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,50,5.0,8,9048,0.07055351067010773,0.056036778358301176,0.23311359237811238,0.9083986101505306,0.12683670469973113,0.5562546806709753,45.03911510855115,507.020770585909,491.68593601652714,0.2734224672740311,145.56015757799975,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,100,10.0,8,9048,0.15365310767829063,0.12244463337806334,0.1710835165575444,0.19338487748755406,0.12676260242086954,1.212132795823652,213.61674281272883,1107.879042804717,264.8310660818695,-0.6844639502387508,145.39016848487643,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,150,15.0,8,9048,0.18581657351538045,0.14793310028200646,0.15506277630167023,-0.4359978304971066,0.12678208347145403,1.4656374814759885,312.40752528863493,1338.4986913515945,217.55431564996672,1.2458237379169077,145.43497918346037,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,10,1.0,8,9048,0.003184659907651884,0.0025436086108622594,0.07638628248647396,0.9982618175054256,0.098729184662143,0.032256519878594916,0.0917653473655632,23.014570711081724,52.79385084823154,0.05714137269023922,88.19494518872658,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,20,2.0,8,9048,0.01550386369059524,0.012363261358364623,0.1403620151242942,0.9877994139124261,0.09873254227826876,0.1570289119761446,2.1748658539171717,111.8627887704831,178.25912938168142,0.060989933775999816,88.2009440691136,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,30,3.0,8,9048,0.03312900673456051,0.026336623911140188,0.1817483129418059,0.9667741535399597,0.09872288100417356,0.33557576923995935,9.93046127715349,238.2937731479964,298.8776008790788,0.08325608283121255,88.18368381718783,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,50,5.0,8,9048,0.04242040433136006,0.0340159461633089,0.1780969607226386,0.9432668900455162,0.09868669421003835,0.42984927877992574,16.28179188649917,307.7762808856189,286.9892360838644,0.2176350115223613,88.11905281528594,id
