model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
persistence,roll_imu,10,1.0,434304,1.9448708998621889,1.0403035114178378,1.9448708998621889,0.0,3.683096770103734,0.5280531632101026,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_imu,20,2.0,434304,3.7445627859317203,1.9910524326151253,3.7445627859317203,0.0,3.683980230234797,1.0164448644972945,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_imu,30,3.0,434304,5.267438807686876,2.7793417327133922,5.267438807686876,0.0,3.68483107763889,1.429492613556132,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_imu,50,5.0,434304,7.087624231053461,3.6528670762110256,7.087624231053461,0.0,3.6862989064932075,1.9226938484475609,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_imu,100,10.0,434304,3.793831212709033,1.8833718525693348,3.793831212709033,0.0,3.690360897131734,1.028037993698047,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_imu,150,15.0,434304,5.252023789483733,2.778945392427803,5.252023789483733,0.0,3.6940279583566067,1.4217607036792015,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_imu,10,1.0,434304,0.8967465758949417,0.5682321898610497,0.8967465758949417,0.0,1.2421326705656102,0.7219410592321064,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_imu,20,2.0,434304,1.639889871399927,1.0374405683885457,1.639889871399927,0.0,1.24218755794137,1.3201628537623207,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_imu,30,3.0,434304,2.122484405245588,1.3400564379547395,2.122484405245588,0.0,1.2422108552955238,1.7086345656999156,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_imu,50,5.0,434304,2.234427726290816,1.3777938835471204,2.234427726290816,0.0,1.2423348523490212,1.7985712322776215,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_imu,100,10.0,434304,1.5593436358220714,0.9849593179765626,1.5593436358220714,0.0,1.2420100845733013,1.255499979581721,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_imu,150,15.0,434304,1.7853551102885246,1.102282683111488,1.7853551102885246,0.0,1.241343687207605,1.4382440001806993,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_imu,10,1.0,434304,0.4360860094370759,0.289655936663249,0.4360860094370759,0.0,0.7462457008893157,0.5843732284385472,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_imu,20,2.0,434304,0.8272378841486192,0.5471590024792518,0.8272378841486192,0.0,0.7462738792359292,1.108491007343825,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_imu,30,3.0,434304,1.1355767624159623,0.7452985940086,1.1355767624159623,0.0,0.7463383670680748,1.5215307326045378,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_imu,50,5.0,434304,1.419148162303668,0.902518480788973,1.419148162303668,0.0,0.7464457913170216,1.9012072662366237,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_imu,100,10.0,434304,0.8123875004006482,0.5077734958337422,0.8123875004006482,0.0,0.7463339581346979,1.0885040021909722,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_imu,150,15.0,434304,1.0935546656669395,0.6903844394249921,1.0935546656669395,0.0,0.7460095663293967,1.4658721751351993,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate_imu,10,1.0,434304,1.0678999900390298,0.5994217617127983,1.0678999900390298,0.0,1.9696577586754387,0.5421754034859205,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate_imu,20,2.0,434304,2.0486112451264518,1.1394235830242683,2.0486112451264518,0.0,1.9700018376236912,1.0399032153175973,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate_imu,30,3.0,434304,2.8661560416217173,1.576804089661738,2.8661560416217173,0.0,1.9703577508410948,1.4546373826774501,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate_imu,50,5.0,434304,3.7984644418446996,2.023367787952602,3.7984644418446996,0.0,1.9712183969802053,1.9269627595114431,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate_imu,100,10.0,434304,1.958924104837112,1.0319859991335552,1.958924104837112,0.0,1.9728314806073508,0.9929505505630124,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate_imu,150,15.0,434304,2.8982735890952527,1.5756268969552845,2.8982735890952527,0.0,1.9742309046325088,1.4680519802898886,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_rate_imu,10,1.0,434304,0.7534204829087303,0.46873547055429277,0.7534204829087303,0.0,0.9238644470022951,0.8155097702410651,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_rate_imu,20,2.0,434304,1.3417844978848232,0.8370058806773679,1.3417844978848232,0.0,0.9239895988371308,1.4521640715149824,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_rate_imu,30,3.0,434304,1.664371083650498,1.0441904386761365,1.664371083650498,0.0,0.9241169026270519,1.8010395426369472,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_rate_imu,50,5.0,434304,1.5495762479562236,0.9699477115645773,1.5495762479562236,0.0,0.9240478216497802,1.6769437811017562,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_rate_imu,100,10.0,434304,1.2735265809317058,0.7944588240700075,1.2735265809317058,0.0,0.9239494241237814,1.378350965627196,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch_rate_imu,150,15.0,434304,1.3083418485724552,0.8186928422289175,1.3083418485724552,0.0,0.9236625396742156,1.4164717008377534,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_rate_imu,10,1.0,434304,0.2838667559561788,0.1925976111734511,0.2838667559561788,0.0,0.4466951335134235,0.6354820875783022,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_rate_imu,20,2.0,434304,0.5325577215099725,0.3604215951988917,0.5325577215099725,0.0,0.4467636452599009,1.192034596280012,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_rate_imu,30,3.0,434304,0.7178513821406037,0.48332253093899735,0.7178513821406037,0.0,0.44680127749070453,1.6066457691709224,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_rate_imu,50,5.0,434304,0.8471498442942375,0.5560802224523462,0.8471498442942375,0.0,0.4467451203703878,1.8962710629986999,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_rate_imu,100,10.0,434304,0.47470625601314864,0.3197633886946329,0.47470625601314864,0.0,0.44658660011503964,1.0629657403309134,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave_rate_imu,150,15.0,434304,0.6780395407647745,0.4370094852911231,0.6780395407647745,0.0,0.44634137990104933,1.519105266276434,384,0.0,0.0,0,True,0,0.0,,,,,id
window_mean,roll_imu,10,1.0,434304,4.115217024349787,2.1011588188178028,1.9448708998621889,-3.4771735627874953,3.683096770103734,1.1173252513356804,384,-3.538287457922032,-3.4068441793384983,0,True,0,0.0,,,,,id
