regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,ar20,0,roll_imu,10,1.0,-0.0025627983111828757,-0.003052246244272422,-0.002194434892973516,384,1000,0.95,0
id,tcn,ar20,0,roll_imu,20,2.0,0.00033532699528856917,0.00024097924517122623,0.00044554975452455324,384,1000,0.95,0
id,tcn,ar20,0,roll_imu,30,3.0,0.0027844583029110743,0.0023997963070405376,0.003346047469352567,384,1000,0.95,0
id,tcn,ar20,0,roll_imu,50,5.0,0.00923540811887966,0.008124523185994027,0.010883003048725364,384,1000,0.95,0
id,tcn,ar20,0,roll_imu,100,10.0,0.07423258258360152,0.06474141361530152,0.08662080294998274,384,1000,0.95,0
id,tcn,ar20,0,roll_imu,150,15.0,0.07494166929115798,0.06511058157605977,0.08635229146319809,384,1000,0.95,0
id,tcn,ar20,0,pitch_imu,10,1.0,0.0001002458037079978,-4.808619978790364e-05,0.0002871211628156852,384,1000,0.95,0
id,tcn,ar20,0,pitch_imu,20,2.0,0.012095324221501808,0.011004049434810342,0.013388917299498775,384,1000,0.95,0
id,tcn,ar20,0,pitch_imu,30,3.0,0.032591295718127855,0.02978988986507785,0.03587304723656213,384,1000,0.95,0
id,tcn,ar20,0,pitch_imu,50,5.0,0.05747369406194435,0.051359366838726196,0.06479010141607877,384,1000,0.95,0
id,tcn,ar20,0,pitch_imu,100,10.0,0.2558623577724147,0.23589784458494478,0.27569613089221506,384,1000,0.95,0
id,tcn,ar20,0,pitch_imu,150,15.0,0.14723820103980784,0.12889954709954063,0.16794898133873243,384,1000,0.95,0
id,tcn,ar20,0,heave_imu,10,1.0,-0.002411231662477343,-0.002545669815809708,-0.0022977990647346114,384,1000,0.95,0
id,tcn,ar20,0,heave_imu,20,2.0,-0.000994263179909343,-0.0010328271667380266,-0.0009554142020687106,384,1000,0.95,0
id,tcn,ar20,0,heave_imu,30,3.0,0.0008939612624958451,0.0007015118375884274,0.001133593351888813,384,1000,0.95,0
id,tcn,ar20,0,heave_imu,50,5.0,0.01575885900767449,0.01383387836181113,0.017929411786831974,384,1000,0.95,0
id,tcn,ar20,0,heave_imu,100,10.0,0.2408256707398058,0.21840807079679808,0.2679462091281757,384,1000,0.95,0
id,tcn,ar20,0,heave_imu,150,15.0,0.16796524345314268,0.1483475906533793,0.18953644800222777,384,1000,0.95,0
id,tcn,ar20,0,roll_rate_imu,10,1.0,-0.0009356981213293487,-0.001210084525112912,-0.0006889964135554115,384,1000,0.95,0
id,tcn,ar20,0,roll_rate_imu,20,2.0,0.0037734229931291764,0.003272239735230232,0.004491127144074999,384,1000,0.95,0
id,tcn,ar20,0,roll_rate_imu,30,3.0,0.005207009537225944,0.004585893551796745,0.006092452306999437,384,1000,0.95,0
id,tcn,ar20,0,roll_rate_imu,50,5.0,0.004403697020129193,0.0038763692072230206,0.005150219005166451,384,1000,0.95,0
id,tcn,ar20,0,roll_rate_imu,100,10.0,0.08508096319430027,0.07502728066324697,0.09864618006515712,384,1000,0.95,0
id,tcn,ar20,0,roll_rate_imu,150,15.0,0.06899672359767968,0.06001856091212584,0.0793372845620632,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate_imu,10,1.0,0.011273045841805277,0.010222431443948687,0.012438787996272694,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate_imu,20,2.0,0.022026836135436347,0.020153186848823945,0.024163744966368205,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate_imu,30,3.0,0.019750095410854353,0.017669412932937303,0.02215388172577037,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate_imu,50,5.0,0.08783460845082278,0.08062807309986228,0.09656377499494148,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate_imu,100,10.0,0.1909206349840157,0.17326328385187428,0.21037930524336748,384,1000,0.95,0
