model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,90.0,0.0,heave_imu,10,1.0,40,45240,0.0011394661433301295,0.0009103493892024183,0.09051714778183277,0.9998415321631348,0.12000116569681081,0.009495458954199244,0.05873885107283471,41.184206367517405,370.6673368853308,1.789160055896076,651.4687274892069,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_imu,20,2.0,40,45240,0.009993904162600736,0.00797766479967543,0.16700284177324162,0.9964188489610701,0.1200059528291444,0.08327840350411048,4.518486167404873,360.90955553731646,1261.741300013708,-1.056999821010237,651.5206597368858,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_imu,30,3.0,40,45240,0.03473420101084244,0.027723877778100176,0.21788386990561415,0.9745865008891489,0.12002486252926078,0.2893917166734901,54.58046392653913,1254.228230681252,2147.6957458107076,-3.8504757481840954,651.7263030850447,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_imu,50,5.0,40,45240,0.09342655095614792,0.0746810945024771,0.22051969761152942,0.8205076862499205,0.12008772315341927,0.7779858631909433,394.87826396193157,3378.5727152920645,2199.97311144894,-3.5586864243940965,652.4090909830451,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_imu,100,10.0,40,45240,0.18881204003536062,0.1509622340616279,0.16107273990359566,-0.3740903092689334,0.12023038099749431,1.5704187117172623,1612.8053875551136,6829.531468948046,1173.7259019119242,1.193048930852541,653.9598173122213,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_imu,150,15.0,40,45240,0.20052189527549874,0.16011855440414013,0.1494755808988326,-0.7996294925931882,0.12032757062300665,1.6664667477061064,1819.0565391358843,7243.763401243299,1010.7950256553656,-0.7598354301934762,655.0174979239814,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_rate_imu,10,1.0,40,45240,0.0036187140045213727,0.0028903604858287737,0.07207457766735056,0.9974791656400853,0.09318194134557853,0.03883492823036231,0.5924219189445245,130.75990837889373,235.01025230573518,-1.6908373935502823,392.8132916829544,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_rate_imu,20,2.0,40,45240,0.018956582476272396,0.015130450186239444,0.13241760697849134,0.9795059109387051,0.0932052476225842,0.20338535608030617,16.257085347690428,684.5015664254724,793.2572801390572,-3.1593516297461974,393.009971296133,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_rate_imu,30,3.0,40,45240,0.04287075695157251,0.03422433584044781,0.17144582043847212,0.9374728694135591,0.09322455950509881,0.45986548157653395,83.14667750442031,1548.308953421859,1329.7696012049341,-3.1054467103849674,393.17284187991277,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_rate_imu,50,5.0,40,45240,0.04978350548740459,0.03997317197359109,0.16805192997260976,0.9122425613360514,0.09325295429219653,0.5338544592529924,112.12269921811739,1808.386300085261,1277.6432508185567,1.492299942166028,393.4122232516704,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_rate_imu,100,10.0,40,45240,0.09706118548604671,0.07787025061568364,0.13421919201711557,0.4770478623101668,0.09335203284548363,1.039732960574115,426.200327452764,3522.850137853528,814.9891677191051,-2.56749303885681,394.24874183823647,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,heave_rate_imu,150,15.0,40,45240,0.1147105832388453,0.09156548408149781,0.1073543470837893,-0.14174128666536134,0.0934381126564893,1.2276637442427902,595.2913501125015,4142.422499846961,521.3890021014703,0.6088222887328811,394.9760119648321,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_imu,10,1.0,40,45240,0.04514523357334864,0.036036451106523544,0.03914579087323458,-0.33000619950724586,0.05027069175437515,0.8980428157609263,92.20328725510338,1630.2890480591252,69.32545674543756,-75.99063787582793,114.4555675844753,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_imu,20,2.0,40,45240,0.10763067948596775,0.08587756879527098,0.056580633102450914,-2.618566504581555,0.050278691194416865,2.1406818063299045,524.076589657487,3885.101212298059,144.8298902324832,-75.6592041311925,114.49084486478883,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_imu,30,3.0,40,45240,0.11509828327148897,0.09191006714478513,0.06820119010643258,-1.8480905040386824,0.05028987170535997,2.288697094831157,599.3220940968667,4158.011437630079,210.42944149668315,-75.60993107909124,114.54154832453605,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_imu,50,5.0,40,45240,0.2378934712119082,0.18974112334725426,0.06237482466622137,-13.546093372447592,0.05034183473695723,4.725562198019464,2560.2810569111552,8583.888420229783,176.01159234689766,-74.94592817483024,114.77590434007845,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_imu,100,10.0,40,45240,0.250085998210959,0.19952640077396483,0.06123438140326658,-15.67969421433607,0.050485060781698565,4.953663407326592,2829.4456141130117,9026.574371014169,169.63414183463416,-71.44327476067954,115.41788286361466,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_imu,150,15.0,40,45240,0.13868692239628955,0.11074397613957729,0.04504764868313723,-8.478219606413452,0.05061861223371335,2.739840471247063,870.148984955451,5010.057480554477,91.80510909102205,-67.85571460728787,116.01769138231644,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_rate_imu,10,1.0,40,45240,0.06538784586231024,0.05213026573978493,0.03662635186960655,-2.1871810434360506,0.034291418912850945,1.906828236781001,193.4268042858591,2358.3732220678703,60.68899182373671,-2.916480182284431,53.19796785248525,unseen_heading
ar20,0,frigate,SS3,90.0,0.0,pitch_rate_imu,20,2.0,40,45240,0.06248861058342737,0.049843737822330654,0.05098966382141035,-0.5018876269209891,0.03428823802844668,1.822450326306785,176.6543487177607,2254.930699082239,117.62154874390886,-3.118305646952649,53.188125942170046,unseen_heading
