model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
persistence,roll_imu,10,1.0,542880,2.6985610675040856,1.6333675332827151,2.6985610675040856,0.0,5.056922571142006,0.5336370153072502,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_imu,20,2.0,542880,5.191027858910364,3.127793622499651,5.191027858910364,0.0,5.05832201115488,1.0262351521834383,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_imu,30,3.0,542880,7.291137761642001,4.3606126902438564,7.291137761642001,0.0,5.05894418945156,1.4412370424731713,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_imu,50,5.0,542880,9.760650010460157,5.695323465469158,9.760650010460157,0.0,5.058899532951392,1.929401828773962,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_imu,100,10.0,542880,5.0273262178872296,2.8031000222909226,5.0273262178872296,0.0,5.0625040885992485,0.9930512904095743,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_imu,150,15.0,542880,7.374167970357992,4.4410230902066825,7.374167970357992,0.0,5.065408120858302,1.4557895029213332,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_imu,10,1.0,542880,0.07017212762229766,0.053732234462228703,0.07017212762229766,0.0,0.10374015231040146,0.6764220608847311,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_imu,20,2.0,542880,0.12267707473241954,0.0922673493386972,0.12267707473241954,0.0,0.10374619868389409,1.1824729608282443,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_imu,30,3.0,542880,0.16069881098649122,0.1198723848751754,0.16069881098649122,0.0,0.10375426677437213,1.5488405053832899,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_imu,50,5.0,542880,0.1770328950899934,0.12915865704313884,0.1770328950899934,0.0,0.10377352217182556,1.705954383979247,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_imu,100,10.0,542880,0.11018934913367359,0.08362964567222111,0.11018934913367359,0.0,0.10384858832942011,1.0610577467277633,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_imu,150,15.0,542880,0.1423593302052436,0.10301346126176257,0.1423593302052436,0.0,0.10393027964476521,1.369757982869182,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_imu,10,1.0,542880,0.43606026730387726,0.2972416040137864,0.43606026730387726,0.0,0.7665509251899301,0.5688601408912703,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_imu,20,2.0,542880,0.8315698274257227,0.5642193724406342,0.8315698274257227,0.0,0.7665892704709703,1.0847658054421114,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_imu,30,3.0,542880,1.1510778266627046,0.7745819970219253,1.1510778266627046,0.0,0.7666802174451053,1.5013793240923454,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_imu,50,5.0,542880,1.4712293274911479,0.9589310506851123,1.4712293274911479,0.0,0.7668735890338293,1.9184769804691333,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_imu,100,10.0,542880,0.7899604023666095,0.4871631443463837,0.7899604023666095,0.0,0.7670895041112283,1.0298151625498775,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave_imu,150,15.0,542880,1.1357286053592752,0.7562887316430356,1.1357286053592752,0.0,0.7671219799837758,1.480505884322719,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate_imu,10,1.0,542880,1.496810441564234,0.9501529358512627,1.496810441564234,0.0,2.7333789633757863,0.5476044345185267,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate_imu,20,2.0,542880,2.8699035942664333,1.81112653707153,2.8699035942664333,0.0,2.7333456523369914,1.0499599974897744,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate_imu,30,3.0,542880,4.009937432526677,2.5065861631578583,4.009937432526677,0.0,2.7337259108484315,1.4668396040048373,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate_imu,50,5.0,542880,5.2850940338863674,3.19988805052739,5.2850940338863674,0.0,2.735092404213842,1.9323274145121552,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate_imu,100,10.0,542880,2.641612470687322,1.5646791452067628,2.641612470687322,0.0,2.7362111422503794,0.9654271302011965,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate_imu,150,15.0,542880,4.093806745232199,2.5390484613815545,4.093806745232199,0.0,2.7371715708908764,1.495633956149769,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch_rate_imu,10,1.0,542880,0.05631446607411629,0.043816749204356846,0.05631446607411629,0.0,0.06871456506916811,0.8195419125105445,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
