model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
ar20,id,heave,10,1.0,1,True,434304,0.008023412524528636,,0.005606877780374066,,0.44174333995484594,0.9996701031086519,,0.9996314752395916,0.9997030937660123,0.7591945699315659,0.010568321800894691,,27450,0.029114530996594112
ar20,id,heave,20,2.0,1,True,434304,0.04257714933111377,,0.02974107133154641,,0.8382135080550518,0.9974198565593911,,0.9971200097240305,0.99767746213894,0.7592353662201028,0.0560789858131696,,27450,0.029114530996594112
ar20,id,heave,30,3.0,1,True,434304,0.11413995716485775,,0.07945993692326375,,1.1513183823181896,0.9901715613104198,,0.9890949159914503,0.9911430609481335,0.7592379733777742,0.15033488993847402,,27450,0.029114530996594112
ar20,id,heave,50,5.0,1,True,434304,0.2953103453400748,,0.20032056724087335,,1.4421558821616272,0.9580692228625522,,0.9541963974862476,0.9617988956394049,0.7593097520603712,0.388919468686865,,27450,0.029114530996594112
ar20,id,heave,100,10.0,1,True,434304,0.5341578736226333,,0.3606308475863991,,0.8335183990732865,0.5893149563177846,,0.5542796878397521,0.6197278543612079,0.7591324816869609,0.7036424952277315,,27450,0.029114530996594112
ar20,id,heave,150,15.0,1,True,434304,0.6743247783035252,,0.45521302089795207,,1.106452908012778,0.6285739434244549,,0.6035862223701518,0.6516643846091794,0.758700750262978,0.8887888644762685,,27450,0.029114530996594112
ar20,id,pitch,10,1.0,1,True,434304,0.033153550589751675,,0.02167244069708878,,0.8963189522817477,0.9986318461613732,,0.9984345249755139,0.9988032668928759,1.2413165389175655,0.02670837739635834,,27450,0.029114530996594112
ar20,id,pitch,20,2.0,1,True,434304,0.18968653332583066,,0.1274902878409156,,1.6396866224861668,0.986617067357147,,0.9849587444086976,0.9880997903597233,1.2413790185919036,0.15280307664696324,,27450,0.029114530996594112
ar20,id,pitch,30,3.0,1,True,434304,0.4419428795571324,,0.30443825827670107,,2.1223575061775537,0.956639408405344,,0.9521863168070106,0.9606824056537109,1.2413993725281671,0.3560037884158869,,27450,0.029114530996594112
ar20,id,pitch,50,5.0,1,True,434304,0.6653180696114038,,0.45472440523269914,,2.2343246831224586,0.9113321718417836,,0.9031846384560005,0.9182111516199762,1.2415168463730468,0.535891294230164,,27450,0.029114530996594112
ar20,id,pitch,100,10.0,1,True,434304,1.0851483050887565,,0.7114888545295721,,1.5591545468409598,0.5156047656736473,,0.5030195536943666,0.5285362861273548,1.2411836658196425,0.8742850353030994,,27450,0.029114530996594112
ar20,id,pitch,150,15.0,1,True,434304,1.2342768842551712,,0.7962447205292508,,1.785131912400982,0.5219376264768576,,0.5016275163336298,0.5398129901410683,1.2405036351372416,0.9949804654289615,,27450,0.029114530996594112
ar20,id,roll,10,1.0,1,True,434304,0.02728331961822389,,0.01955087152461012,,1.9446628367671026,0.999803163428482,,0.9997649179016852,0.9998310117266522,3.682816873957597,0.007408274848297011,,27450,0.029114530996594112
ar20,id,roll,20,2.0,1,True,434304,0.13049248860418083,,0.09366279409008052,,3.7444545258092843,0.9987855101047793,,0.9985541517673807,0.998947107174425,3.683691963859013,0.03542437583936245,,27450,0.029114530996594112
