model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9048,0.0025153481106439716,0.0020008569465431087,0.09638116784611431,0.9993188985160615,0.12757639415971414,0.019716406998421532,0.05724647991313235,18.103753652322048,84.049853455166,-0.23902328427399766,147.26286878013687,id
ar20,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9048,0.013045648289465075,0.010374484127994726,0.1777748684437013,0.9946149393410625,0.12752799363105238,0.10229635014259747,1.5398695227178438,93.86833239009627,285.9521220363862,-0.24333894903290343,147.15115166012708,id
ar20,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9048,0.031675089212365344,0.025183435087676457,0.23188427857464222,0.9813407972688336,0.1274976820763099,0.2484365887797644,9.077960430779074,227.85972067329658,486.5138431459445,-0.2290278271397881,147.08120783963324,id
ar20,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9048,0.049294261309792885,0.03950073055936279,0.2343365500960239,0.9557500624595417,0.1275276941555008,0.38653769784064285,21.985954144211043,357.40261010111453,496.8584220962803,0.04393693520935926,147.15045421620528,id
ar20,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9048,0.09461731805462535,0.07517601616914583,0.17174263658708364,0.6964816059264114,0.12743771291221798,0.7424593230090368,81.001648852692,680.1925942984316,266.87558459159806,-0.31445559005121027,146.94288477158042,id
ar20,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9048,0.1442584426968203,0.11446165297726384,0.15600103051301875,0.1448790536709349,0.1273554754494076,1.1327227367945203,188.29338852169303,1035.6490361382832,220.19503712312823,0.9554914446485157,146.7533870668832,id
ar20,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,9048,0.011671535727295634,0.009316468861581115,0.40259162303967805,0.9991595216332962,0.4904027034009986,0.023799900869942606,1.2325615039210556,84.29541025958594,1466.4999751927025,0.43725630706831,2175.9970756101916,id
ar20,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,9048,0.06971771913199534,0.05556556605308328,0.7308987185906894,0.9909014551580465,0.49026515682608746,0.14220410763705654,43.978350146036554,502.7572416482975,4833.558652505807,0.1896994511662342,2174.7765963084826,id
ar20,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,9048,0.1665373095985821,0.1323923902175265,0.9265359223607406,0.9676928561760187,0.49032592691619137,0.33964614240569696,250.9433438184459,1197.8863466881799,7767.425841964207,-0.4892345082880638,2175.3157946105034,id
ar20,0,frigate,SS3,45.0,0.0,pitch,50,5.0,8,9048,0.1774478067665742,0.1408725980269893,0.831370227251959,0.9544432917102815,0.4908824340289941,0.3614873836697387,284.900927894468,1274.6152669481992,6253.764562677292,-0.7679479455509863,2180.256488597395,id
ar20,0,frigate,SS3,45.0,0.0,pitch,100,10.0,8,9048,0.3926198157865803,0.31261563907641804,0.8025690733120441,0.7606796721042326,0.4908986368927938,0.7997981381079362,1394.7520930825117,2828.54630236343,5827.971678569553,-0.823072114650131,2180.400430843227,id
ar20,0,frigate,SS3,45.0,0.0,pitch,150,15.0,8,9048,0.48264095668759904,0.3831466794250139,0.5082572468055104,0.09826030663378371,0.49098893284815803,0.9829976286590951,2107.661867718359,3466.711155437526,2337.3284809615134,2.811578285491123,2181.2034296296633,id
ar20,0,frigate,SS3,45.0,0.0,roll,10,1.0,8,9048,0.008004019991760881,0.006405802483674269,0.22110436612090448,0.9986895462674241,0.29759987464219606,0.026895239795998248,0.5796541123859391,57.95970087228479,442.3308492139937,1.145026395086461,801.3424662853784,id
ar20,0,frigate,SS3,45.0,0.0,roll,20,2.0,8,9048,0.03713712716616603,0.029736758663493273,0.4078755053402242,0.9917098696386827,0.29771250612448913,0.12474157585653141,12.47869590568337,269.05819238728714,1505.2472472460036,0.5771761145333585,801.9490348871882,id
ar20,0,frigate,SS3,45.0,0.0,roll,30,3.0,8,9048,0.08890214547348696,0.07113719445174761,0.5324676931523448,0.9721235184164766,0.297635977589278,0.29869421765996057,71.51169561865122,643.6493353994124,2565.3056467828633,-0.3211612925042573,801.536772206902,id
ar20,0,frigate,SS3,45.0,0.0,roll,50,5.0,8,9048,0.1519821713117312,0.12159854612917473,0.5466553371242834,0.9227038070090617,0.29763505308228644,0.5106326346235605,208.99595542869386,1100.223645376773,2703.8324572232855,-1.931605131841934,801.5321937683728,id
ar20,0,frigate,SS3,45.0,0.0,roll,100,10.0,8,9048,0.3044008515970909,0.24090060013219222,0.3876066207433909,0.38324972351946907,0.2979732316542096,1.0215711321020287,838.386580243053,2179.668629996075,1359.3614988343154,2.330730835430586,803.354847675151,id
ar20,0,frigate,SS3,45.0,0.0,roll,150,15.0,8,9048,0.4085309553878995,0.3228836906387122,0.3978674442271513,-0.05432166547242945,0.29777455561816807,1.3719471582782001,1510.0889555838367,2921.451632899068,1432.2848567350488,-1.978561630949116,802.2837513489383,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9048,0.09906813386333194,0.07827867208227364,0.09638116784611431,-0.05653428817576711,0.12757639415971414,0.7765396922827867,88.80155209153135,708.2654250004119,84.049853455166,-0.23902328427399766,147.26286878013687,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9048,0.13748477068034615,0.10859386833014321,0.1777748684437013,0.40190736376631164,0.12752799363105238,1.0780752269819238,171.0258585053596,982.5573206511358,285.9521220363862,-0.24333894903290343,147.15115166012708,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9048,0.14333424146778662,0.11327539767446484,0.23188427857464222,0.6179173697882796,0.1274976820763099,1.124210567075237,185.88848882361486,1024.915798158558,486.5138431459445,-0.2290278271397881,147.08120783963324,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9048,0.12533278315180404,0.09907900235255306,0.2343365500960239,0.7139451578437439,0.1275276941555008,0.9827887501751549,142.1287575067579,896.4668132859,496.8584220962803,0.04393693520935926,147.15045421620528,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9048,0.1339065783598047,0.1057917486698663,0.17174263658708364,0.3920784007143384,0.12743771291221798,1.050760997665131,162.23943219522016,957.2037419649504,266.87558459159806,-0.31445559005121027,146.94288477158042,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9048,0.12499013729489918,0.09867844828687712,0.15600103051301875,0.3580568695463091,0.1273554754494076,0.9814272755359619,141.3526914411876,892.8426000996642,220.19503712312823,0.9554914446485157,146.7533870668832,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,9048,0.4112955428687084,0.32720792975594176,0.40259162303967805,-0.043706860740915454,0.4904027034009986,0.8386893873470251,1530.596085385006,2960.577348431761,1466.4999751927025,0.43725630706831,2175.9970756101916,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,9048,0.5321929397361634,0.4226483961788401,0.7308987185906894,0.46981941923437964,0.49026515682608746,1.085520625576394,2562.658933550218,3824.122688626145,4833.558652505807,0.1896994511662342,2174.7765963084826,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,9048,0.5306517089377413,0.42081103423885036,0.9265359223607406,0.6719843154009248,0.49032592691619137,1.0822428099512726,2547.8375051244375,3807.498237793118,7767.425841964207,-0.4892345082880638,2175.3157946105034,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,50,5.0,8,9048,0.46703069302090944,0.3705027016053093,0.831370227251959,0.6844254940671821,0.4908824340289941,0.9514104817067545,1973.528662087051,3352.3084441248384,6253.764562677292,-0.7679479455509863,2180.256488597395,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,100,10.0,8,9048,0.5123855161958687,0.40647465688714923,0.8025690733120441,0.5924049988735094,0.4908986368927938,1.0437705010530869,2375.452122891712,3677.782695514926,5827.971678569553,-0.823072114650131,2180.400430843227,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,150,15.0,8,9048,0.49246864204115376,0.3917814870664243,0.5082572468055104,0.06116341547127191,0.49098893284815803,1.0030137322737849,2194.3694879876275,3544.838894977007,2337.3284809615134,2.811578285491123,2181.2034296296633,id
damped_persistence,0,frigate,SS3,45.0,0.0,roll,10,1.0,8,9048,0.223483944480917,0.17691962523704174,0.22110436612090448,-0.02164030678601314,0.29759987464219606,0.7509544308431294,451.9030244919023,1600.7687691447536,442.3308492139937,1.145026395086461,801.3424662853784,id
damped_persistence,0,frigate,SS3,45.0,0.0,roll,20,2.0,8,9048,0.3187916136385047,0.2523335832195993,0.4078755053402242,0.3891163152903908,0.29771250612448913,1.070803567469891,919.5309847966348,2283.1142609709345,1505.2472472460036,0.5771761145333585,801.9490348871882,id
damped_persistence,0,frigate,SS3,45.0,0.0,roll,30,3.0,8,9048,0.33765131956127725,0.26716430548842673,0.5324676931523448,0.5978849040621043,0.297635977589278,1.134443901224933,1031.5481262661167,2417.302636059285,2565.3056467828633,-0.3211612925042573,801.536772206902,id
damped_persistence,0,frigate,SS3,45.0,0.0,roll,50,5.0,8,9048,0.2965203578561638,0.23500514682649062,0.5466553371242834,0.70577345908806,0.29763505308228644,0.99625482544956,795.5392710942383,2126.326568486087,2703.8324572232855,-1.931605131841934,801.5321937683728,id
damped_persistence,0,frigate,SS3,45.0,0.0,roll,100,10.0,8,9048,0.3098268453527157,0.24536150542718943,0.3876066207433909,0.3610664153629525,0.2979732316542096,1.039780800552789,868.5417152677988,2220.03090110521,1359.3614988343154,2.330730835430586,803.354847675151,id
