control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
shuffle,id,shuffled,window_mean,roll,10,1.0,-3.484030497601765,-3.4779985814083254,-0.0013470116356184558,0.02,True,True
shuffle,id,shuffled,window_mean,roll,20,2.0,-0.26442815812870823,-0.26293637240687096,-0.0011812041797436557,0.02,True,True
shuffle,id,shuffled,window_mean,roll,30,3.0,0.37068005714636465,0.37011422155864127,0.0008983145946294124,0.02,True,True
shuffle,id,shuffled,window_mean,roll,50,5.0,0.7110719003639836,0.7098497805055688,0.004212024586933927,0.02,True,True
shuffle,id,shuffled,window_mean,roll,100,10.0,0.1876346643305804,0.18464812238473027,0.0036628871875357127,0.02,True,True
shuffle,id,shuffled,window_mean,roll,150,15.0,0.38874710503924736,0.3881613535715862,0.0009573626495816834,0.02,True,True
shuffle,id,shuffled,window_mean,pitch,10,1.0,-1.1224723565142742,-1.1240807878543508,0.0007572364239974982,0.02,True,True
shuffle,id,shuffled,window_mean,pitch,20,2.0,0.3389264372970707,0.33721480160150297,0.002582489318867731,0.02,True,True
shuffle,id,shuffled,window_mean,pitch,30,3.0,0.6109120365193923,0.6097808731771663,0.002898790101438342,0.02,True,True
shuffle,id,shuffled,window_mean,pitch,50,5.0,0.6903990875140122,0.690130713374352,0.0008660882224978961,0.02,True,True
shuffle,id,shuffled,window_mean,pitch,100,10.0,0.36610060986190907,0.36562828355867194,0.0007445576323716896,0.02,True,True
shuffle,id,shuffled,window_mean,pitch,150,15.0,0.5022950850000145,0.5023978991733826,-0.00020661925099862977,0.02,True,True
shuffle,id,shuffled,window_mean,heave,10,1.0,-2.338403549339626,-2.33522351662287,-0.0009534691455930222,0.02,True,True
shuffle,id,shuffled,window_mean,heave,20,2.0,0.020347934493746944,0.01932209784014849,0.0010460485051606572,0.02,True,True
shuffle,id,shuffled,window_mean,heave,30,3.0,0.476600046595156,0.47464040061923085,0.003730104062502959,0.02,True,True
shuffle,id,shuffled,window_mean,heave,50,5.0,0.6981632193258024,0.6978686931954982,0.0009748282408046371,0.02,True,True
shuffle,id,shuffled,window_mean,heave,100,10.0,0.23082323998145937,0.23031641368746636,0.0006584865560420594,0.02,True,True
shuffle,id,shuffled,window_mean,heave,150,15.0,0.49131491260196125,0.4906893436825678,0.0012282659151815478,0.02,True,True
untrained,id,untrained,persistence,roll,10,1.0,-3.999500590155625,0.0,-3.999500590155625,0.0,True,True
untrained,id,untrained,persistence,roll,20,2.0,-0.4222361365911229,0.0,-0.4222361365911229,0.0,True,True
untrained,id,untrained,persistence,roll,30,3.0,0.4455543317736901,0.0,0.4455543317736901,0.0,True,False
untrained,id,untrained,persistence,roll,50,5.0,0.6854142141678645,0.0,0.6854142141678645,0.0,True,False
untrained,id,untrained,persistence,roll,100,10.0,-0.07852977795410276,0.0,-0.07852977795410276,0.0,True,True
untrained,id,untrained,persistence,roll,150,15.0,0.14066416298970563,0.0,0.14066416298970563,0.0,True,False
untrained,id,untrained,persistence,pitch,10,1.0,-1.4748834650518319,0.0,-1.4748834650518319,0.0,True,True
untrained,id,untrained,persistence,pitch,20,2.0,0.1331274041681273,0.0,0.1331274041681273,0.0,True,False
untrained,id,untrained,persistence,pitch,30,3.0,0.5413811844627152,0.0,0.5413811844627152,0.0,True,False
untrained,id,untrained,persistence,pitch,50,5.0,0.6562464671220238,0.0,0.6562464671220238,0.0,True,False
untrained,id,untrained,persistence,pitch,100,10.0,0.022289648301314635,0.0,0.022289648301314635,0.0,True,False
untrained,id,untrained,persistence,pitch,150,15.0,0.44754547443374393,0.0,0.44754547443374393,0.0,True,False
untrained,id,untrained,persistence,heave,10,1.0,-2.2010420537863618,0.0,-2.2010420537863618,0.0,True,True
