regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,ar20,0,roll,10,1.0,-0.002729440503794343,-0.003267710930661487,-0.0023400857485867507,384,1000,0.95,0
id,tcn,ar20,0,roll,20,2.0,-0.0003794848143424992,-0.0005018171491354365,-0.0002743430778930015,384,1000,0.95,0
id,tcn,ar20,0,roll,30,3.0,0.002657710615610406,0.0022920097869802134,0.003182048650641192,384,1000,0.95,0
id,tcn,ar20,0,roll,50,5.0,0.010856063261798362,0.009496263330484723,0.012727205671906144,384,1000,0.95,0
id,tcn,ar20,0,roll,100,10.0,0.08493529267780099,0.0742428572322871,0.09955080505281046,384,1000,0.95,0
id,tcn,ar20,0,roll,150,15.0,0.08016293633563189,0.07062756243790153,0.09179150279374675,384,1000,0.95,0
id,tcn,ar20,0,pitch,10,1.0,-0.001124789555356434,-0.001271275338235133,-0.0009713755619747654,384,1000,0.95,0
id,tcn,ar20,0,pitch,20,2.0,0.010108758781589454,0.00871925306769508,0.011639177940467546,384,1000,0.95,0
id,tcn,ar20,0,pitch,30,3.0,0.03987910256072806,0.03581276869057471,0.044354450307397264,384,1000,0.95,0
id,tcn,ar20,0,pitch,50,5.0,0.07254930261358937,0.06560827355724103,0.08109707625847215,384,1000,0.95,0
id,tcn,ar20,0,pitch,100,10.0,0.28496869911347666,0.26434383954105845,0.30510644747092003,384,1000,0.95,0
id,tcn,ar20,0,pitch,150,15.0,0.17867101221766918,0.15930270732195187,0.20008133777384432,384,1000,0.95,0
id,tcn,ar20,0,heave,10,1.0,-0.0013286558508904726,-0.001394902125081901,-0.0012618681353268415,384,1000,0.95,0
id,tcn,ar20,0,heave,20,2.0,0.00126991111578199,0.0010578587928522796,0.0015111479245757387,384,1000,0.95,0
id,tcn,ar20,0,heave,30,3.0,0.00780565345040638,0.006894443653990317,0.008812971940513382,384,1000,0.95,0
id,tcn,ar20,0,heave,50,5.0,0.035603681435878144,0.031892995603405236,0.03950091995271319,384,1000,0.95,0
id,tcn,ar20,0,heave,100,10.0,0.28473838816223085,0.2580013804954312,0.31313650319390096,384,1000,0.95,0
id,tcn,ar20,0,heave,150,15.0,0.1821219386777661,0.1588926600992106,0.20662165472325894,384,1000,0.95,0
id,tcn,ar20,1,roll,10,1.0,-0.0029452308433368835,-0.003587581403189206,-0.002496280156531846,384,1000,0.95,0
