control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.4000151802577046,-3.3914080297037987,-0.001959997908572042,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.23709085269285435,-0.23623964106442408,-0.0006885490483845569,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.3843972032930959,0.38417673066168834,0.00035801282995440165,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7152954703570852,0.715972521215032,-0.002383751251263222,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.11692086802170953,0.11689407791345241,3.033623440529265e-05,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.41684358976880387,0.4158288541685238,0.0017370519025478037,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.5493946702700216,-1.3382493183345203,-0.09030061519953536,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.18625633411988052,0.29088940469089763,-0.14755536197482333,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.5343838272744693,0.5997991964814176,-0.1634563664835591,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.6771615340469463,0.7144225746413116,-0.13047614161926502,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.15480809020445596,0.22461519204297198,-0.09002897802762311,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.516572886100976,0.5364592149871525,-0.04290092593605421,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-2.596280783105213,-2.592337729181344,-0.00109762895950416,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.046237521695956296,-0.044397840695372004,-0.001761475300790849,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.44875382909989114,0.4512070618491698,-0.004470233814496405,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.7010415533150279,0.7029743955457782,-0.006507325300463052,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.15594578077784882,0.16035687763946382,-0.005253537775923078,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.48128646392456376,0.4811962282931431,0.0001739301761892742,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,10,1.0,-4.299926557535577,-4.311336029464496,0.002148135961578146,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,20,2.0,-0.5849918914180181,-0.5878104909106063,0.0017751485512429444,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,30,3.0,0.1650196468204369,0.16344000806526393,0.0018882552003469666,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,50,5.0,0.5890997274433791,0.5883049075167901,0.0019306033545236634,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,100,10.0,0.6659038491219367,0.6650294318625622,0.0026104301169995736,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,150,15.0,-0.8013329873024091,-0.8063221027799121,0.0027620298006788557,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,10,1.0,-1.6076575097162076,-1.605843017682727,-0.0006963167087072897,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,20,2.0,0.21507885215223077,0.21688476919857191,-0.002306068092294611,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,30,3.0,0.562373118672828,0.5639977753238108,-0.0037262577093255533,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,50,5.0,0.7104441948045417,0.7099599794099374,0.001669477865913871,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,100,10.0,0.17427560260878783,0.17235863661923534,0.00231617953665586,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,150,15.0,0.5443826358960093,0.5440356379924596,0.0007610197911563921,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,10,1.0,-2.734385093725432,-2.7245527495777933,-0.002639872438040536,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,20,2.0,-0.08335217708591958,-0.0791038596563729,-0.003936893925019946,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,30,3.0,0.4311141984771498,0.4338973520110866,-0.004916340779934414,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,50,5.0,0.6939525970509586,0.6942582772696753,-0.0009997988367007604,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,100,10.0,0.2419387831727593,0.2409090087894692,0.0013565888611691834,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,heave,150,15.0,0.47908969025030723,0.4789627188651604,0.00024368963554832757,0.02,True
