model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
damped_persistence,id,heave,10,1.0,1,True,434304,0.5340943972091076,,0.3454444207132053,,0.44174333995484594,-0.46182714886613674,,-0.5000793873159017,-0.421369454613278,0.7591945699315659,0.7035013399229806,,6,0.142778688998078
damped_persistence,id,heave,20,2.0,1,True,434304,0.7666348791696123,,0.4933679879857042,,0.8382135080550518,0.1634963548560603,,0.14109556604897774,0.18771620443074435,0.7592353662201028,1.0097460066782036,,6,0.142778688998078
damped_persistence,id,heave,30,3.0,1,True,434304,0.8410597012862076,,0.5373894137322743,,1.1513183823181896,0.4663423104892308,,0.4515875737906873,0.4814994069971563,0.7592379733777742,1.107768223900099,,6,0.142778688998078
damped_persistence,id,heave,50,5.0,1,True,434304,0.8062821645622597,,0.5094290741734202,,1.4421558821616272,0.6874282712160603,,0.6813001910703798,0.6937342874188245,0.7593097520603712,1.061861990280554,,6,0.142778688998078
damped_persistence,id,heave,100,10.0,1,True,434304,0.7310763301829194,,0.47185839004686486,,0.8335183990732865,0.2307011831951743,,0.1629824522047909,0.286006576920424,0.7591324816869609,0.9630418244761514,,6,0.142778688998078
damped_persistence,id,heave,150,15.0,1,True,434304,0.7896313063654334,,0.49963638298715213,,1.106452908012778,0.4906892443978499,,0.46184284717500357,0.5184502809954734,0.758700750262978,1.0407677942742701,,6,0.142778688998078
damped_persistence,id,heave_rate,10,1.0,1,True,434304,0.33327947637441113,,0.2233941473545821,,0.2852226587419099,-0.3653660276152806,,-0.4000658730061497,-0.327902183741085,0.4495602477358838,0.7413455216578946,,6,0.142778688998078
damped_persistence,id,heave_rate,20,2.0,1,True,434304,0.4628728465488788,,0.30929412163086617,,0.5351982235990471,0.2520129437067815,,0.23290606173717063,0.27220890299987993,0.44960586015695647,1.0295080370778327,,6,0.142778688998078
damped_persistence,id,heave_rate,30,3.0,1,True,434304,0.49514860399630534,,0.3292575061437878,,0.7216245802205107,0.5291869607879671,,0.5176464569897486,0.540859767780233,0.4496495382799816,1.1011878404020354,,6,0.142778688998078
damped_persistence,id,heave_rate,50,5.0,1,True,434304,0.46448826140142097,,0.3071032677607912,,0.8524864976952896,0.7031244252447577,,0.6992401521002072,0.7068917585581058,0.44959255402628673,1.0331315704446995,,6,0.142778688998078
damped_persistence,id,heave_rate,100,10.0,1,True,434304,0.4423556330336838,,0.2952499621841984,,0.47861232963563727,0.14576893824628123,,0.0915224062546186,0.19829678114939137,0.4493860488108614,0.9843555094872636,,6,0.142778688998078
damped_persistence,id,heave_rate,150,15.0,1,True,434304,0.46157012814064957,,0.30492359061406815,,0.6814233587032514,0.541181040951902,,0.5215453400595115,0.5586702301811859,0.44913945544323325,1.0276766437389677,,6,0.142778688998078
damped_persistence,id,pitch,10,1.0,1,True,434304,0.9893440253231025,,0.6256358767755112,,0.8963189522817477,-0.2183428300377217,,-0.255785094274819,-0.18268882434778547,1.2413165389175655,0.7970118775552734,,6,0.142778688998078
damped_persistence,id,pitch,20,2.0,1,True,434304,1.3107640531193587,,0.8266969902765591,,1.6396866224861668,0.3609610371651497,,0.34086348641676395,0.37986386915025705,1.2413790185919036,1.0558935131722773,,6,0.142778688998078
