control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed
shuffle,id,shuffled,window_mean,roll,10,1.0,-3.4840715863017424,-3.4779985814083254,-0.0013561873196277219,0.02,True
shuffle,id,shuffled,window_mean,roll,20,2.0,-0.26436531468488167,-0.26293637240687096,-0.0011314443935821483,0.02,True
shuffle,id,shuffled,window_mean,roll,30,3.0,0.37070787141874495,0.37011422155864127,0.000942472239288672,0.02,True
shuffle,id,shuffled,window_mean,roll,50,5.0,0.7110110114519319,0.7098497805055688,0.004002171524758791,0.02,True
shuffle,id,shuffled,window_mean,roll,100,10.0,0.18742863153465505,0.18464812238473027,0.00341019531108111,0.02,True
shuffle,id,shuffled,window_mean,roll,150,15.0,0.38870525558802704,0.3881613535715862,0.0008889631598393288,0.02,True
shuffle,id,shuffled,window_mean,pitch,10,1.0,-1.122430964330376,-1.1240807878543508,0.0007767235283180352,0.02,True
shuffle,id,shuffled,window_mean,pitch,20,2.0,0.3387628006722877,0.33721480160150297,0.002335596924199823,0.02,True
shuffle,id,shuffled,window_mean,pitch,30,3.0,0.6106070604539592,0.6097808731771663,0.002117239315047592,0.02,True
shuffle,id,shuffled,window_mean,pitch,50,5.0,0.6904267939303106,0.690130713374352,0.0009555014605766576,0.02,True
shuffle,id,shuffled,window_mean,pitch,100,10.0,0.3660478055257932,0.36562828355867194,0.0006613188391730862,0.02,True
shuffle,id,shuffled,window_mean,pitch,150,15.0,0.5022708861724432,0.5023978991733826,-0.00025525013003036,0.02,True
shuffle,id,shuffled,window_mean,heave,10,1.0,-2.3384791098872357,-2.33522351662287,-0.0009761244630652754,0.02,True
shuffle,id,shuffled,window_mean,heave,20,2.0,0.02032098015853201,0.01932209784014849,0.001018563094144942,0.02,True
shuffle,id,shuffled,window_mean,heave,30,3.0,0.47658559301795744,0.47464040061923085,0.0037025922834936775,0.02,True
shuffle,id,shuffled,window_mean,heave,50,5.0,0.6982540275977871,0.6978686931954982,0.00127538720288356,0.02,True
shuffle,id,shuffled,window_mean,heave,100,10.0,0.23091338332043265,0.23031641368746636,0.0007756039541213511,0.02,True
shuffle,id,shuffled,window_mean,heave,150,15.0,0.49110933828715597,0.4906893436825678,0.0008246334518601239,0.02,True
shuffle,id,shuffled,window_mean,roll_rate,10,1.0,-3.201702227969534,-3.2153602172295495,0.003240052701591445,0.02,True
shuffle,id,shuffled,window_mean,roll_rate,20,2.0,-0.18785106972537768,-0.19162139589236005,0.0031640302699994516,0.02,True
shuffle,id,shuffled,window_mean,roll_rate,30,3.0,0.4021941426899215,0.4014788502334642,0.0011950997165869337,0.02,True
shuffle,id,shuffled,window_mean,roll_rate,50,5.0,0.7156745234912938,0.7163354349090508,-0.0023299047505109804,0.02,True
shuffle,id,shuffled,window_mean,roll_rate,100,10.0,0.10227651226010614,0.103789370927999,-0.0016880615101155794,0.02,True
shuffle,id,shuffled,window_mean,roll_rate,150,15.0,0.43598377253402265,0.43567086369580277,0.0005544793243693613,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate,10,1.0,-0.6447894040871756,-0.6502407129142918,0.0033033416182596254,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate,20,2.0,0.4635894358080961,0.46318924454691235,0.0007454978446658211,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate,30,3.0,0.6618854834234338,0.6615522671408269,0.0009845428119487076,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate,50,5.0,0.6568903185129711,0.656371558512514,0.0015096538523162728,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate,100,10.0,0.4617103737762659,0.4610023124102339,0.0013136630867530696,0.02,True
shuffle,id,shuffled,window_mean,pitch_rate,150,15.0,0.49589912670792924,0.49568369253211775,0.00042718066543034894,0.02,True
shuffle,id,shuffled,window_mean,heave_rate,10,1.0,-1.7611760652038235,-1.7722261641405654,0.003986001964658481,0.02,True
shuffle,id,shuffled,window_mean,heave_rate,20,2.0,0.17451814558528056,0.17264177238064837,0.0022679090410828717,0.02,True
shuffle,id,shuffled,window_mean,heave_rate,30,3.0,0.544234233664874,0.5446845844030395,-0.0009890961797878184,0.02,True
shuffle,id,shuffled,window_mean,heave_rate,50,5.0,0.7107285605235614,0.7102517252385939,0.0016456880903262805,0.02,True
shuffle,id,shuffled,window_mean,heave_rate,100,10.0,0.14774988841200376,0.14556138168491783,0.0025613387318582648,0.02,True
shuffle,id,shuffled,window_mean,heave_rate,150,15.0,0.5414111579567025,0.5411814761079022,0.0005005941060354235,0.02,True
