model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
ar20,unseen_heading,heave,10,1.0,1,True,542880,0.0031089534130070698,,0.002074155012782159,,0.4420022912223382,0.9999505257308573,,0.9999495415255732,0.9999516385335828,0.7794698459399999,0.003988548664455178,,180900,0.10919459700016887
ar20,unseen_heading,heave,20,2.0,1,True,542880,0.027563602925841594,,0.01838670556520038,,0.8430990468253012,0.9989311548933819,,0.9989107623020065,0.9989539308795825,0.7795381170816457,0.03535889050433014,,180900,0.10919459700016887
ar20,unseen_heading,heave,30,3.0,1,True,542880,0.09858845590120642,,0.0664838275476987,,1.1675647610562139,0.9928699894609597,,0.9927702770593544,0.9929768353754617,0.7795925331975873,0.1264615189384058,,180900,0.10919459700016887
ar20,unseen_heading,heave,50,5.0,1,True,542880,0.3185826905018477,,0.2243730498466335,,1.4948282814139655,0.9545784720472924,,0.9536884399952618,0.9553028161080424,0.7797418971482062,0.4085745445602167,,180900,0.10919459700016887
ar20,unseen_heading,heave,100,10.0,1,True,542880,0.5329274806436467,,0.3811637200819982,,0.8088824179867767,0.5659243346717744,,0.5333214756622919,0.5912389380869235,0.7798418820620302,0.6833788911599603,,180900,0.10919459700016887
ar20,unseen_heading,heave,150,15.0,1,True,542880,0.6325618886077826,,0.45587584150074884,,1.1495384153377484,0.6971977718021823,,0.6879637674309113,0.7049614153859106,0.7799149016983908,0.8110652678007264,,180900,0.10919459700016887
ar20,unseen_heading,heave_rate,10,1.0,1,True,542880,0.009229471232434977,,0.006143847748898361,,0.27069553593565016,0.9988375040372819,,0.9987920448293774,0.9988878338273229,0.44901789131634606,0.02055479616943047,,180900,0.10919459700016887
ar20,unseen_heading,heave_rate,20,2.0,1,True,542880,0.044701145631084016,,0.0299349119381483,,0.5128966998925041,0.9924041304453575,,0.9921320107748668,0.9927068073880331,0.4490640117514402,0.09954292586649403,,180900,0.10919459700016887
ar20,unseen_heading,heave_rate,30,3.0,1,True,542880,0.09739990266644352,,0.06671483465645715,,0.7022072783425681,0.9807608273227801,,0.9802541947664238,0.9813157296958857,0.44910731984426616,0.21687444929692576,,180900,0.10919459700016887
ar20,unseen_heading,heave_rate,50,5.0,1,True,542880,0.10711774097048846,,0.07875698316515528,,0.8646383961207528,0.9846519298495804,,0.9842606366580589,0.9849899438238938,0.44913294867058995,0.23849895957878703,,180900,0.10919459700016887
ar20,unseen_heading,heave_rate,100,10.0,1,True,542880,0.2650023009712801,,0.18937653471399712,,0.4403061225551369,0.6377654752302737,,0.6278824696951286,0.6462839369806354,0.4491261128521456,0.5900398426811582,,180900,0.10919459700016887
ar20,unseen_heading,heave_rate,150,15.0,1,True,542880,0.3951971554062829,,0.2762646799664119,,0.6915545720642212,0.6734311882655102,,0.6638780845101375,0.6829332295983715,0.4491083042103025,0.879959581467069,,180900,0.10919459700016887
ar20,unseen_heading,pitch,10,1.0,1,True,542880,0.013604291920096637,,0.008285474464420467,,0.06419259594153902,0.9550859718211641,,0.9511825669245988,0.9592825700325095,0.09331800023822037,0.1457842204651607,,180900,0.10919459700016887
ar20,unseen_heading,pitch,20,2.0,1,True,542880,0.14695611697691555,,0.08836015648425138,,0.11932083976475145,-0.5168503417370234,,-0.6501239030595033,-0.3722364984970891,0.09331311784801627,1.574870933112216,,180900,0.10919459700016887
ar20,unseen_heading,pitch,30,3.0,1,True,542880,0.5285827583224356,,0.31497021619343435,,0.1581323770827971,-10.173375315131171,,-11.150633722851836,-9.109178478538144,0.0933093260053012,5.664843815208837,,180900,0.10919459700016887
ar20,unseen_heading,pitch,50,5.0,1,True,542880,1.1068677390677053,,0.6697566676548692,,0.17469731727052137,-39.1438468943373,,-42.18937273801521,-35.786486063556104,0.09329922763600644,11.863632391320442,,180900,0.10919459700016887
ar20,unseen_heading,pitch,100,10.0,1,True,542880,0.7548095929105014,,0.46605633875215213,,0.10629142820675849,-49.42876551242539,,-53.14366733274984,-45.358901130386975,0.09327196673014979,8.092566495293084,,180900,0.10919459700016887
ar20,unseen_heading,pitch,150,15.0,1,True,542880,0.526047613964515,,0.34852191477433125,,0.13931379085811119,-13.258107680181817,,-14.235633089602274,-12.262263574543626,0.09328776110372569,5.638977800952991,,180900,0.10919459700016887
ar20,unseen_heading,pitch_rate,10,1.0,1,True,542880,0.0449891546230628,,0.027284988064713387,,0.048713605157262044,0.14706659905966768,,0.06536871683629934,0.2335838325148398,0.06576512293290253,0.6840883528639246,,180900,0.10919459700016887
ar20,unseen_heading,pitch_rate,20,2.0,1,True,542880,0.2511994666212198,,0.1500718150081918,,0.08950371033534088,-6.876900281367053,,-7.6493914979405355,-6.062215889163986,0.06576105880147227,3.8198817233094164,,180900,0.10919459700016887
ar20,unseen_heading,pitch_rate,30,3.0,1,True,542880,0.48702116725702826,,0.28848785388252857,,0.11622431527884762,-16.559076944584955,,-18.295204783466826,-14.737569296205038,0.06575441150073948,7.406669090963596,,180900,0.10919459700016887
ar20,unseen_heading,pitch_rate,50,5.0,1,True,542880,0.33631787862748325,,0.22014630802023252,,0.11920509987056824,-6.959948137171193,,-7.4518543076600805,-6.42307755581998,0.06574188233734778,5.115732416995642,,180900,0.10919459700016887
ar20,unseen_heading,pitch_rate,100,10.0,1,True,542880,0.6394775268802562,,0.3973911100075747,,0.0838813737514642,-57.11918352040666,,-61.69988560341461,-52.27797591362355,0.06572507723549406,9.72958197658707,,180900,0.10919459700016887
ar20,unseen_heading,pitch_rate,150,15.0,1,True,542880,0.3399918478662459,,0.22963906603955594,,0.09488319909746933,-11.839803275922327,,-12.558282235600174,-11.065382723268954,0.0657301350648849,5.172541445877543,,180900,0.10919459700016887
ar20,unseen_heading,roll,10,1.0,1,True,542880,0.00925722000886344,,0.006714345016510076,,2.6983944345487956,0.9999882307088702,,0.9999870884102285,0.9999891286918987,5.0567053318459285,0.0018306821144122574,,180900,0.10919459700016887
ar20,unseen_heading,roll,20,2.0,1,True,542880,0.07779510781857844,,0.05602801479280028,,5.190916990401267,0.999775396558702,,0.9997542740511726,0.9997925032450973,5.058101722258217,0.01538029721233965,,180900,0.10919459700016887
ar20,unseen_heading,roll,30,3.0,1,True,542880,0.2798092227453374,,0.19999567274327912,,7.291040393838889,0.998527195706466,,0.9983914275499829,0.9986374726287017,5.058718148754806,0.055312277639783504,,180900,0.10919459700016887
ar20,unseen_heading,roll,50,5.0,1,True,542880,1.078409138606764,,0.7567202834524577,,9.760557569415065,0.9877927492849939,,0.9867903181934495,0.9885925369794242,5.058662539241705,0.21318068367699775,,180900,0.10919459700016887
ar20,unseen_heading,roll,100,10.0,1,True,542880,1.324031208968067,,0.9785998618762947,,5.02718980701522,0.9306341234733837,,0.9226779955052135,0.9366712894286304,5.062292920246066,0.26154772744831783,,180900,0.10919459700016887
