control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,passed
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.39998989092208,-3.3914080297037987,-0.001954239086924492,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.23832882949653733,-0.23623964106442408,-0.0016899542473127749,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.383839663344812,0.38417673066168834,-0.0005473442360151015,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7157542137045098,0.715972521215032,-0.000768614049091676,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.1177323963827428,0.11689407791345241,0.0009492841666259855,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.4162674192978837,0.4158288541685238,0.0007507476747001807,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.591626816376336,-1.3382493183345203,-0.10836205363348106,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.19066664805960776,0.29088940469089763,-0.14133586113968954,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.541986358520647,0.5997991964814176,-0.14445957492458184,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.6687545066119571,0.7144225746413116,-0.15991483910885096,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.14444308428035324,0.22461519204297198,-0.10339654187171265,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5240902932683438,0.5364592149871525,-0.026683567268985797,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-2.597436302659769,-2.592337729181344,-0.0014192912423038884,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.044582613185515596,-0.044397840695372004,-0.0001769177251655929,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.4499506926477753,0.4512070618491698,-0.002289331939342887,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.7007083574840434,0.7029743955457782,-0.007629100076738116,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.15565851700533206,0.16035687763946382,-0.005595663811218898,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.48148245742368745,0.4811962282931431,0.0005517098104407259,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-3.1277898219425078,-3.1239710122341275,-0.0009260030434383726,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,-0.1650573712429757,-0.16402277801633458,-0.0008888084032205867,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.413926999868758,0.4152625854125328,-0.002284077451614852,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.7203519892070858,0.7209781818615215,-0.002244242613762104,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,0.03963299676418519,0.042242306627440995,-0.0027243945742347897,0.02,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.45606142060882926,0.45782226710468943,-0.003247729275890787,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-1.3872143287384975,-0.9966952022422622,-0.1955827439549549,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.29348056048190607,0.3829941615966961,-0.14507739723571267,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.5839863537870915,0.6406527609863917,-0.15769261885758978,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.6708655124757021,0.704100621980726,-0.11231895696265703,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.3630774730549128,0.3652919511314012,-0.0034889711583709904,0.02,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5149473316097173,0.5150416048700197,-0.0001943945320859175,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-2.157247330276843,-2.121636360614806,-0.01140778923238317,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.07384749780589916,0.08439519908559745,-0.011519927887189363,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.5059080808409182,0.5101420803729321,-0.008643321588507114,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7146171287312574,0.7152645178893378,-0.002273651156088796,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,0.018173641032127485,0.01870395378244749,-0.000540420755147375,0.02,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5388794386825346,0.5393706296169118,-0.0010663474063077327,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,10,1.0,-4.3038813701221965,-4.311336029464496,0.0014035375093846003,0.02,True
shuffle,unseen_vessel,shuffled,window_mean,roll,20,2.0,-0.5874435215048293,-0.5878104909106063,0.0002311166275055232,0.02,True
