model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
ar20,id,heave,10,1.0,1,True,441984,0.0016061319304237994,,0.0010985023878083812,,0.44176164489730846,0.9999867813708245,,0.9999848966416847,0.9999884173810053,0.7588420523524625,0.0021165563050237926,,108900,0.06753703999856953
ar20,id,heave,20,2.0,1,True,441984,0.014727442571394743,,0.01008847582836966,,0.8382274709219251,0.9996913040750851,,0.9996474374725604,0.9997290143250678,0.7589901623461219,0.019403996655069415,,108900,0.06753703999856953
ar20,id,heave,30,3.0,1,True,441984,0.05670760906354425,,0.03858492830448605,,1.1512678447482159,0.9975737814228959,,0.9972272101029449,0.9978742385074248,0.7591491660051453,0.07469890187979197,,108900,0.06753703999856953
ar20,id,heave,50,5.0,1,True,441984,0.24439729160945278,,0.16082304215976828,,1.4417657704203946,0.9712655190569083,,0.9670907646065353,0.9748139879226412,0.7592428798701399,0.3218960599949969,,108900,0.06753703999856953
ar20,id,heave,100,10.0,1,True,441984,0.4538767247251004,,0.30851421186949934,,0.8330535871021622,0.7031548573121847,,0.6700239161431135,0.7296704866054382,0.7593228844826043,0.5977387669994535,,108900,0.06753703999856953
ar20,id,heave,150,15.0,1,True,441984,0.6332544577571538,,0.43054023624708476,,1.106950994995508,0.6727348793843421,,0.6466584317285161,0.6947828848638874,0.7589789870887942,0.8343504478116314,,108900,0.06753703999856953
ar20,id,heave_rate,10,1.0,1,True,441984,0.0048035403320003745,,0.0032924758821409527,,0.2852552458521747,0.9997164330556674,,0.9996811072733849,0.9997484767822051,0.4495774018198838,0.010684568024450744,,108900,0.06753703999856953
ar20,id,heave_rate,20,2.0,1,True,441984,0.024817593046641172,,0.016958878927724488,,0.5352136906829078,0.997849869154993,,0.9975779187659081,0.9981048899477929,0.4495800662022177,0.05520172025482644,,108900,0.06753703999856953
ar20,id,heave_rate,30,3.0,1,True,441984,0.06275649732493167,,0.042116897421298635,,0.7215930065668222,0.9924363267178842,,0.9914512032516487,0.9933533383243659,0.4495552834133054,0.13959684078995807,,108900,0.06753703999856953
ar20,id,heave_rate,50,5.0,1,True,441984,0.12995966524824915,,0.0837492741849544,,0.8524435901074202,0.9767573378689438,,0.9736039881458036,0.9794911199706319,0.44953242177486064,0.2890996487753599,,108900,0.06753703999856953
ar20,id,heave_rate,100,10.0,1,True,441984,0.3149159599901026,,0.21120019360036854,,0.47857922016872095,0.5670062105120062,,0.5476271753236298,0.5873887883951436,0.4494169755457696,0.7007211056228357,,108900,0.06753703999856953
ar20,id,heave_rate,150,15.0,1,True,441984,0.41467236429207954,,0.28012693736512295,,0.6816023493244259,0.6298753340131884,,0.6050790650878618,0.6526177536080278,0.4492651780163546,0.9230013466055547,,108900,0.06753703999856953
ar20,id,pitch,10,1.0,1,True,441984,0.0086033282484045,,0.0055886920069708,,0.8966907219950414,0.9999079449466677,,0.999894597491084,0.999919492401543,1.2414942738632275,0.006929817099867114,,108900,0.06753703999856953
ar20,id,pitch,20,2.0,1,True,441984,0.08397898264881754,,0.05651382840475385,,1.6403012048843704,0.9973788371111859,,0.9970704677160545,0.9976513149916929,1.2415327853866043,0.06764137333889825,,108900,0.06753703999856953
ar20,id,pitch,30,3.0,1,True,441984,0.27275102519499245,,0.18935407068677285,,2.122998045479648,0.9834943134035458,,0.981807373598916,0.9849969844755523,1.2416332907389511,0.2196711599385888,,108900,0.06753703999856953
ar20,id,pitch,50,5.0,1,True,441984,0.6068038089809064,,0.4209922872653161,,2.2344126987335295,0.9262486771202788,,0.9180027466385209,0.9332204741663968,1.2414203979989746,0.48879800103091875,,108900,0.06753703999856953
ar20,id,pitch,100,10.0,1,True,441984,1.0389138900322052,,0.6873893814935347,,1.559113656168873,0.5559789551873437,,0.5433638605410818,0.5679582239549883,1.2413004417338516,0.8369560302266933,,108900,0.06753703999856953
ar20,id,pitch,150,15.0,1,True,441984,1.2230976336149202,,0.7950033096074519,,1.7864119156340135,0.5312308334527958,,0.5097711381924876,0.5488439380292238,1.2412541101955465,0.9853724741521573,,108900,0.06753703999856953
ar20,id,pitch_rate,10,1.0,1,True,441984,0.027863691199538593,,0.018256241747557418,,0.7532807082973466,0.998631755829718,,0.9984865557703564,0.9987634725752812,0.9239888688455106,0.030155873235089108,,108900,0.06753703999856953
ar20,id,pitch_rate,20,2.0,1,True,441984,0.13673005501913654,,0.09347424830004461,,1.3419571056400967,0.9896187246903907,,0.9887107607115435,0.9904432091297604,0.923970107339699,0.14798103740911125,,108900,0.06753703999856953
ar20,id,pitch_rate,30,3.0,1,True,441984,0.24800601800405955,,0.17334055814089463,,1.664455273751304,0.9777986092998258,,0.9757615743483787,0.9796358010655325,0.9238185246193283,0.2684575069613956,,108900,0.06753703999856953
ar20,id,pitch_rate,50,5.0,1,True,441984,0.43787978216900225,,0.2760860598199026,,1.549581026050816,0.9201488441901908,,0.9097381543519983,0.9290253266457229,0.9236574909668279,0.47407159737388865,,108900,0.06753703999856953
ar20,id,pitch_rate,100,10.0,1,True,441984,0.8285205360124752,,0.5475116904516907,,1.2730734843521008,0.5764549509619696,,0.5616508292823329,0.5910297591179822,0.923592844476832,0.8970625324428424,,108900,0.06753703999856953
ar20,id,pitch_rate,150,15.0,1,True,441984,0.9113217426971421,,0.5816425732401177,,1.3086174999358147,0.5150264910806717,,0.5000382419396306,0.5289619830050085,0.9235658452936027,0.9867425775229179,,108900,0.06753703999856953
ar20,id,roll,10,1.0,1,True,441984,0.006651937047320154,,0.004511711324624374,,1.9441887058497527,0.9999882937059441,,0.9999852797452021,0.9999904913904358,3.6812260110585493,0.001806989581008466,,108900,0.06753703999856953
ar20,id,roll,20,2.0,1,True,441984,0.05244617390057111,,0.03611315196352023,,3.7433237763378164,0.999803703373593,,0.9997549330059441,0.9998393387509293,3.68200459667907,0.01424391863819892,,108900,0.06753703999856953
ar20,id,roll,30,3.0,1,True,441984,0.17414970941050884,,0.12200085215999348,,5.265474435851124,0.9989061179620565,,0.9986541808382486,0.9990933239193096,3.682905472408515,0.04728595689332746,,108900,0.06753703999856953
ar20,id,roll,50,5.0,1,True,441984,0.5647373742743149,,0.3961203167101946,,7.084126957314898,0.9936449292618695,,0.992270006574132,0.9946060630850377,3.6839516687677145,0.15329662955736337,,108900,0.06753703999856953
ar20,id,roll,100,10.0,1,True,441984,1.026952694504843,,0.7241005849029464,,3.791928940503627,0.9266533138256625,,0.9153667605364818,0.9347374485909055,3.687975218896941,0.27845976004470024,,108900,0.06753703999856953
ar20,id,roll,150,15.0,1,True,441984,1.6448135234459016,,1.09527875706088,,5.250895133025821,0.9018779425233654,,0.8908868906868799,0.9108366837455588,3.691026864737781,0.4456249124490599,,108900,0.06753703999856953
ar20,id,roll_rate,10,1.0,1,True,441984,0.018878933849296228,,0.012822995824215382,,1.067152512176711,0.9996870305495611,,0.9996078934070087,0.9997454476004958,1.9689364482018927,0.009588391675382507,,108900,0.06753703999856953
ar20,id,roll_rate,20,2.0,1,True,441984,0.08090227445935719,,0.05624730751945185,,2.047558406358368,0.9984388347880251,,0.9980825394307696,0.9987063789425378,1.9690140692926346,0.04108770766093165,,108900,0.06753703999856953
ar20,id,roll_rate,30,3.0,1,True,441984,0.16781271539238948,,0.11859156629336882,,2.8646272877409147,0.9965682670831992,,0.9958584712773683,0.9970910019586534,1.9690705168546092,0.08522432993433536,,108900,0.06753703999856953
ar20,id,roll_rate,50,5.0,1,True,441984,0.2619001434622469,,0.18268123763744468,,3.7964230491902806,0.9952409280610425,,0.9943437536606132,0.9959255255594688,1.9696305994416974,0.13296916870426562,,108900,0.06753703999856953
ar20,id,roll_rate,100,10.0,1,True,441984,0.6787031770828149,,0.4749281963605656,,1.9586932675176199,0.8799321032085476,,0.8617919557624376,0.8932260807794749,1.9713538426324322,0.3442827778581413,,108900,0.06753703999856953
ar20,id,roll_rate,150,15.0,1,True,441984,1.0162156128335695,,0.6988293242228253,,2.8973020365613404,0.8769776035830751,,0.8629998598683313,0.8877144500051445,1.9735510474462146,0.5149173182768988,,108900,0.06753703999856953
damped_persistence,id,heave,10,1.0,1,True,441984,0.5354372316361904,,0.34521293481953663,,0.44176164489730846,-0.469065366782474,,-0.5224927718951771,-0.4137075079396006,0.7588420523524625,0.7055977327248776,,6,0.14087614801246673
damped_persistence,id,heave,20,2.0,1,True,441984,0.7863406097022022,,0.505867344964578,,0.8382274709219251,0.11996968993308887,,0.08858602473199108,0.15288790810666988,0.7589901623461219,1.036035312067204,,6,0.14087614801246673
damped_persistence,id,heave,30,3.0,1,True,441984,0.8686528066514569,,0.5562175381013482,,1.1512678447482159,0.43070193889185426,,0.41090442388311327,0.4514856099318436,0.7591491660051453,1.144245222875697,,6,0.14087614801246673
damped_persistence,id,heave,50,5.0,1,True,441984,0.8047806122427762,,0.5104538405552985,,1.4417657704203946,0.6884228577828976,,0.6798082746430569,0.6968084527240542,0.7592428798701399,1.0599778194567,,6,0.14087614801246673
damped_persistence,id,heave,100,10.0,1,True,441984,0.7274213789806431,,0.4703724615143037,,0.8330535871021622,0.23752388421588044,,0.1584371821145957,0.30128739189983156,0.7593228844826043,0.9579869036560137,,6,0.14087614801246673
damped_persistence,id,heave,150,15.0,1,True,441984,0.8216449312929597,,0.5152893859751727,,1.106950994995508,0.4490507820581209,,0.41127113277300176,0.4849994748981154,0.7589789870887942,1.0825661121983527,,6,0.14087614801246673
damped_persistence,id,heave_rate,10,1.0,1,True,441984,0.3356320199572656,,0.22528270045800383,,0.2852552458521747,-0.3843933155476482,,-0.4273887181533846,-0.34233453521188845,0.4495774018198838,0.7465500236413826,,6,0.14087614801246673
damped_persistence,id,heave_rate,20,2.0,1,True,441984,0.47370812639207766,,0.3175445613623637,,0.5352136906829078,0.21662944773927428,,0.19391736026831982,0.23908664985898698,0.4495800662022177,1.0536679937651137,,6,0.14087614801246673
damped_persistence,id,heave_rate,30,3.0,1,True,441984,0.5083480748463821,,0.3396307096806425,,0.7215930065668222,0.5037074735185064,,0.49084546826074527,0.5162577757293798,0.4495552834133054,1.130779892045056,,6,0.14087614801246673
damped_persistence,id,heave_rate,50,5.0,1,True,441984,0.461346710137012,,0.30603171947808305,,0.8524435901074202,0.707097177239556,,0.7026063430357192,0.7114944167997238,0.44953242177486064,1.0262812820385807,,6,0.14087614801246673
damped_persistence,id,heave_rate,100,10.0,1,True,441984,0.4461353770197047,,0.29733373755852416,,0.47857922016872095,0.13098824728902214,,0.07371600477459303,0.18556971619862786,0.4494169755457696,0.992698098414997,,6,0.14087614801246673
damped_persistence,id,heave_rate,150,15.0,1,True,441984,0.47159001569915504,,0.310825520444868,,0.6816023493244259,0.521296011147084,,0.4973099940411613,0.5427554670803107,0.4492651780163546,1.0496918941756659,,6,0.14087614801246673
damped_persistence,id,pitch,10,1.0,1,True,441984,1.006938496579829,,0.6371671893870283,,0.8966907219950414,-0.26101582666146506,,-0.30392728990825874,-0.21942542452103736,1.2414942738632275,0.8110697872544202,,6,0.14087614801246673
damped_persistence,id,pitch,20,2.0,1,True,441984,1.3612749980264456,,0.8591786172348002,,1.6403012048843704,0.31127709228898737,,0.28920033106006116,0.33282495928586076,1.2415327853866043,1.0964470806162034,,6,0.14087614801246673
damped_persistence,id,pitch,30,3.0,1,True,441984,1.4089695957766797,,0.885354670755326,,2.122998045479648,0.5595424543802403,,0.5466364183061285,0.5721411846916329,1.2416332907389511,1.1347711166298862,,6,0.14087614801246673
damped_persistence,id,pitch,50,5.0,1,True,441984,1.2395616442402386,,0.7750688369971045,,2.2344126987335295,0.6922419107172287,,0.6864663973938248,0.6972954682704549,1.2414203979989746,0.9985027201407902,,6,0.14087614801246673
