model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9208,0.0005493595728991166,0.0004389740746279493,0.09612096136461297,0.9999673354122177,0.12736312758022347,0.00431333293502145,0.0027789370186129653,4.042073279174157,85.0749146793575,-0.3773576373791627,149.36635605136735,id
ar20,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9208,0.004951581299174979,0.003954676964216541,0.17731494701881384,0.9992201750341799,0.1273107483236445,0.038893662666935704,0.22576319299242092,36.4146654865059,289.50495673731007,0.15983010445737023,149.24351206368226,id
ar20,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9208,0.017389194668444487,0.013906155598370233,0.2313630697696273,0.9943510092606777,0.12728045271480262,0.13662109379362805,2.784352711926672,128.0478807497931,492.89383545009986,0.43498660916478116,149.1725085761692,id
ar20,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9208,0.04820168406248659,0.03859519851390894,0.23411070091219038,0.957608196521548,0.1274380797703576,0.37823611395703416,21.39388880620159,355.38458791607354,504.6704091529457,0.16106136138799343,149.54219694571822,id
ar20,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9208,0.08249048393528502,0.06526240198365635,0.17111696033814347,0.7676077777543016,0.12742143721759824,0.6473830913899958,62.65749288639216,600.9361974655077,269.619577974288,0.02918701576666649,149.50313836972083,id
ar20,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9208,0.12746660342942306,0.10097209446604302,0.15621898374853732,0.33422848442004083,0.12731254848420906,1.0012100531098325,149.60914378638967,929.7510458433242,224.7154470945845,0.1627339754191155,149.24773277023303,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,9208,0.0016603280004983604,0.00132625195475399,0.07633500384403934,0.9995269137555527,0.09868249435846684,0.016824949666018513,0.025383592949551642,12.212127999374738,53.65531813169436,0.5786318931986898,89.66970141268567,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,9208,0.008055385927925535,0.006437030699202918,0.1403085031189296,0.9967038670460199,0.09873036051456985,0.08158975502512,0.5975001444595334,59.27217867826047,181.27307144514677,0.4403439248471841,89.7566961342754,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,9208,0.016663059982399538,0.013341961820390488,0.1817272976297923,0.9915924554279165,0.09878699600709709,0.16867665437667953,2.5566708859326295,122.85278444215561,304.09245696084014,0.09966508955949394,89.85968138036804,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,9208,0.01912825074107196,0.015120734844306014,0.17818061333937382,0.9884753004257416,0.09872209764912558,0.19375855250824267,3.3691149028138505,139.23172644636978,292.33863157171805,-0.2296803908629954,89.7416577406029,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,9208,0.06644214025572104,0.05250349429047812,0.14210778161530008,0.7813993205637495,0.09886432067067141,0.6720537784004763,40.64925008021443,483.45217542672253,185.9520756524857,-0.16196858039802464,90.00041197563307,id
