model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
persistence,roll,10,1.0,441984,1.9441887058497527,1.0376391666711577,1.9441887058497527,0.0,3.6812260110585493,0.5281361970195072,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll,20,2.0,441984,3.7433237763378164,1.9889288367508204,3.7433237763378164,0.0,3.68200459667907,1.0166537488068461,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll,30,3.0,441984,5.265474435851124,2.7769902715423904,5.265474435851124,0.0,3.682905472408515,1.4297066474550744,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll,50,5.0,441984,7.084126957314898,3.6495384503863666,7.084126957314898,0.0,3.6839516687677145,1.9229695702507805,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll,100,10.0,441984,3.791928940503627,1.8808152204889255,3.791928940503627,0.0,3.687975218896941,1.0281872071900142,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll,150,15.0,441984,5.250895133025821,2.775710307552533,5.250895133025821,0.0,3.691026864737781,1.4226109225024177,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch,10,1.0,441984,0.8966907219950414,0.5665905256340152,0.8966907219950414,0.0,1.2414942738632275,0.7222673039036729,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch,20,2.0,441984,1.6403012048843704,1.0366945424751026,1.6403012048843704,0.0,1.2415327853866043,1.3211904060782353,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch,30,3.0,441984,2.122998045479648,1.3395565433243384,2.122998045479648,0.0,1.2416332907389511,1.7098430440892556,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch,50,5.0,441984,2.2344126987335295,1.377141336591562,2.2344126987335295,0.0,1.2414203979989746,1.7998839896099204,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch,100,10.0,441984,1.559113656168873,0.9837140825994295,1.559113656168873,0.0,1.2413004417338516,1.2560324670400496,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,pitch,150,15.0,441984,1.7864119156340135,1.1014593821836718,1.7864119156340135,0.0,1.2412541101955465,1.4391991945570137,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave,10,1.0,441984,0.44176164489730846,0.29314612367589893,0.44176164489730846,0.0,0.7588420523524625,0.582152298397034,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave,20,2.0,441984,0.8382274709219251,0.5538813710975136,0.8382274709219251,0.0,0.7589901623461219,1.1043983341376546,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave,30,3.0,441984,1.1512678447482159,0.7548397692759489,1.1512678447482159,0.0,0.7591491660051453,1.5165238879290464,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave,50,5.0,441984,1.4417657704203946,0.9156648682608908,1.4417657704203946,0.0,0.7592428798701399,1.8989519805137884,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave,100,10.0,441984,0.8330535871021622,0.5177948289379383,0.8330535871021622,0.0,0.7593228844826043,1.097100593339548,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,heave,150,15.0,441984,1.106950994995508,0.6987377632766578,1.106950994995508,0.0,0.7589789870887942,1.4584738363329737,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate,10,1.0,441984,1.067152512176711,0.596462981486495,1.067152512176711,0.0,1.9689364482018927,0.5419943915159248,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate,20,2.0,441984,2.047558406358368,1.137267635254164,2.047558406358368,0.0,1.9690140692926346,1.039890185799409,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate,30,3.0,441984,2.8646272877409147,1.5746648782645398,2.8646272877409147,0.0,1.9690705168546092,1.4548119344739703,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate,50,5.0,441984,3.7964230491902806,2.0205500254385362,3.7964230491902806,0.0,1.9696305994416974,1.9274797265367412,384,0.0,0.0,0,True,0,0.0,,,,,id
persistence,roll_rate,100,10.0,441984,1.9586932675176199,1.0299687031173306,1.9586932675176199,0.0,1.9713538426324322,0.9935777257025019,384,0.0,0.0,0,True,0,0.0,,,,,id
