control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
shuffle,id,shuffled,window_mean,roll,10,1.0,-4.011141372739873,-4.014439474258743,0.0006577208750450092,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,20,2.0,-0.33225263201514266,-0.33143835396467436,-0.0006115777332413863,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,30,3.0,0.37919750653558393,0.3794797376175816,-0.00045482975997290787,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,50,5.0,0.7503880377388688,0.749652692626698,0.0029372998650800675,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,100,10.0,0.08822009145027088,0.08613313801063216,0.002283651510347706,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,150,15.0,0.38151067470231737,0.38142791688232736,0.00013378848197109772,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,10,1.0,-1.2687539976150068,-1.2737608540449177,0.002202015405887492,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,20,2.0,0.27396257579533057,0.2737878569225991,0.0002405893021715233,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,30,3.0,0.5772683093505884,0.5775881933129345,-0.0007572798801600555,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,50,5.0,0.6978880403497616,0.6970367021213557,0.0028100375008027756,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,100,10.0,0.3461019956420851,0.3457785317204699,0.000494425721714431,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,150,15.0,0.4848602343953671,0.4850253571239098,-0.00032064244487961524,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,10,1.0,-2.8344000424707128,-2.8407705585741936,0.0016586557323137185,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,20,2.0,-0.10266722914105375,-0.10462834007649979,0.0017753581583016542,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,30,3.0,0.4287769002185734,0.42828881932700114,0.0008537193395408149,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,50,5.0,0.7041935152723989,0.7037534048020628,0.0014856220374179774,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,100,10.0,0.23766546061790017,0.23632773554559405,0.0017517004801291813,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,150,15.0,0.44949320745803745,0.44904362884181537,0.0008159967644570942,0.02,True,True,True
