regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,ar20,0,roll,10,1.0,-0.001856062786648877,-0.0022356132023977106,-0.0015914197018248846,384,1000,0.95,0
id,tcn,ar20,0,roll,20,2.0,-0.0007437811534748551,-0.0009175345660202921,-0.0006206102613811026,384,1000,0.95,0
id,tcn,ar20,0,roll,30,3.0,3.0586361597520937e-05,-6.557780596939539e-05,0.00013392007636676913,384,1000,0.95,0
id,tcn,ar20,0,roll,50,5.0,0.005279565276942027,0.0044125660390061305,0.006492129702148594,384,1000,0.95,0
id,tcn,ar20,0,roll,100,10.0,0.051910972085023065,0.04437268756046381,0.06226777581121357,384,1000,0.95,0
id,tcn,ar20,0,roll,150,15.0,0.05602043146260192,0.04669140453255968,0.06669076486638525,384,1000,0.95,0
id,tcn,ar20,0,pitch,10,1.0,-0.001839547354836819,-0.0020110683097576353,-0.001676406412961834,384,1000,0.95,0
id,tcn,ar20,0,pitch,20,2.0,0.0004594504500767795,0.0002498115519572846,0.0007114385297856482,384,1000,0.95,0
id,tcn,ar20,0,pitch,30,3.0,0.012935098427874658,0.011447041748715463,0.01463292290812375,384,1000,0.95,0
id,tcn,ar20,0,pitch,50,5.0,0.06104338317266067,0.05454268296277919,0.06876910029532114,384,1000,0.95,0
id,tcn,ar20,0,pitch,100,10.0,0.25048408622254786,0.22888654636471573,0.27249604058103305,384,1000,0.95,0
id,tcn,ar20,0,pitch,150,15.0,0.16420794361937632,0.1446096074439957,0.1861417315289791,384,1000,0.95,0
id,tcn,ar20,0,heave,10,1.0,-0.002490831837460316,-0.0027031188364873325,-0.0022903231841925565,384,1000,0.95,0
id,tcn,ar20,0,heave,20,2.0,-0.0008174076996629963,-0.0008605967826305727,-0.0007751430289767846,384,1000,0.95,0
id,tcn,ar20,0,heave,30,3.0,0.0008704238830663302,0.0006374224145319904,0.0011594206948198236,384,1000,0.95,0
id,tcn,ar20,0,heave,50,5.0,0.020866004993546114,0.017346116233556582,0.024911817771442607,384,1000,0.95,0
id,tcn,ar20,0,heave,100,10.0,0.17449141291129322,0.15507906440490357,0.19763105934579725,384,1000,0.95,0
id,tcn,ar20,0,heave,150,15.0,0.13337916881195047,0.1131417385426893,0.15711054451664,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,10,1.0,-0.004887833913313942,-0.005870567933008995,-0.004192410915175725,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,20,2.0,-0.0008238525086818312,-0.001026194244264413,-0.000654909601050889,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,30,3.0,0.0018333953110416254,0.001448491035108872,0.0023070684959526568,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,50,5.0,0.003255182887086683,0.0027057710017052896,0.003910165137856708,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,100,10.0,0.08124880390378816,0.07037243251412335,0.09540515768749573,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,150,15.0,0.07128087580028673,0.061502976116240914,0.08315734079176713,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,10,1.0,-0.001925165717776394,-0.0021334740207458185,-0.001711779498175577,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,20,2.0,0.00679036407910333,0.005970243531638649,0.007732255243932387,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,30,3.0,0.01816268029916583,0.016402826880264346,0.02024017283838232,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,50,5.0,0.05067015584648895,0.04373261111295046,0.0590992160334171,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,100,10.0,0.19376643672639007,0.1768051300957066,0.213262704112067,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,150,15.0,0.1129280759096063,0.09873813388921099,0.12762598777106893,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,10,1.0,-0.0036822908410792466,-0.003886685242660388,-0.0034824761962904357,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,20,2.0,0.0001616293963988085,-3.6056440099702024e-05,0.0003947809590335801,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,30,3.0,0.004993023400835174,0.004142916996184312,0.005893165189208402,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,50,5.0,0.01638432673649403,0.013567032284365748,0.019382107207137875,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,100,10.0,0.2479401775580612,0.2218568826712378,0.27379813402334796,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,150,15.0,0.1466347246873689,0.12629592842591253,0.16835609042557398,384,1000,0.95,0
id,tcn,ar20,1,roll,10,1.0,-0.002842811781234347,-0.0033891711823865406,-0.002455807285948443,384,1000,0.95,0
id,tcn,ar20,1,roll,20,2.0,-0.0007330586882321313,-0.0008788271036332607,-0.0006282989957212944,384,1000,0.95,0
id,tcn,ar20,1,roll,30,3.0,0.0001091943273929329,2.0143367224104044e-05,0.00021842118804014989,384,1000,0.95,0
id,tcn,ar20,1,roll,50,5.0,0.005357796442548358,0.004480646100421432,0.006614089352257891,384,1000,0.95,0
id,tcn,ar20,1,roll,100,10.0,0.05249331248131184,0.04497793380943615,0.06300566854749369,384,1000,0.95,0
id,tcn,ar20,1,roll,150,15.0,0.056519761995873344,0.04705962344414117,0.06740210858974634,384,1000,0.95,0
id,tcn,ar20,1,pitch,10,1.0,-0.001339606006937818,-0.001423084750187645,-0.0012572184285291293,384,1000,0.95,0
id,tcn,ar20,1,pitch,20,2.0,0.000583296376121439,0.0003639675921693037,0.000846373788120457,384,1000,0.95,0
id,tcn,ar20,1,pitch,30,3.0,0.01296698722143498,0.011476259067369918,0.014676177691230625,384,1000,0.95,0
id,tcn,ar20,1,pitch,50,5.0,0.06133670456149266,0.05481747870373707,0.06903073753657912,384,1000,0.95,0
id,tcn,ar20,1,pitch,100,10.0,0.2509716811923513,0.22964735445291223,0.2729707491803332,384,1000,0.95,0
id,tcn,ar20,1,pitch,150,15.0,0.1650502883193271,0.14562418704501412,0.18707025798128632,384,1000,0.95,0
id,tcn,ar20,1,heave,10,1.0,-0.0017718561089637562,-0.0018846750628632091,-0.0016631241716237196,384,1000,0.95,0
id,tcn,ar20,1,heave,20,2.0,-0.0005944008410994616,-0.0006234523762175108,-0.0005649648409133823,384,1000,0.95,0
id,tcn,ar20,1,heave,30,3.0,0.0010088637377696447,0.000753845847531221,0.001304736268440367,384,1000,0.95,0
id,tcn,ar20,1,heave,50,5.0,0.020813127742461916,0.01728224722280899,0.02484162683565329,384,1000,0.95,0
id,tcn,ar20,1,heave,100,10.0,0.1734577961782613,0.15398878786047884,0.19696500486769808,384,1000,0.95,0
id,tcn,ar20,1,heave,150,15.0,0.13244348010761897,0.11218291039770904,0.1557548088557194,384,1000,0.95,0
id,tcn,ar20,1,roll_rate,10,1.0,-0.004061247101704689,-0.004913112185824569,-0.0034727511425959876,384,1000,0.95,0
id,tcn,ar20,1,roll_rate,20,2.0,-0.0008541271388611997,-0.0010479776116042473,-0.0006913162378105504,384,1000,0.95,0
id,tcn,ar20,1,roll_rate,30,3.0,0.0019895538471161782,0.0015820431490751127,0.0024979598088855828,384,1000,0.95,0
id,tcn,ar20,1,roll_rate,50,5.0,0.00319143906950052,0.002645739375197817,0.003845485268514149,384,1000,0.95,0
id,tcn,ar20,1,roll_rate,100,10.0,0.0804467541102137,0.06969493060447947,0.0947407713554134,384,1000,0.95,0
id,tcn,ar20,1,roll_rate,150,15.0,0.07062975573210094,0.06071670311581389,0.08267701896877047,384,1000,0.95,0
id,tcn,ar20,1,pitch_rate,10,1.0,-0.00236522478198377,-0.0025960765253911257,-0.0021237168530335343,384,1000,0.95,0
id,tcn,ar20,1,pitch_rate,20,2.0,0.006932795781922874,0.006106277102730156,0.007875119337952942,384,1000,0.95,0
id,tcn,ar20,1,pitch_rate,30,3.0,0.018269528358449097,0.01648732569662778,0.02034278189666737,384,1000,0.95,0
id,tcn,ar20,1,pitch_rate,50,5.0,0.05067056480895231,0.043730904546054515,0.059033600122645725,384,1000,0.95,0
id,tcn,ar20,1,pitch_rate,100,10.0,0.19499154794276918,0.17782362865628387,0.21461238274824643,384,1000,0.95,0
id,tcn,ar20,1,pitch_rate,150,15.0,0.11262327650947847,0.09848415790211393,0.12777609788307592,384,1000,0.95,0
id,tcn,ar20,1,heave_rate,10,1.0,-0.002771672666846681,-0.0029018653779876685,-0.002645096184038618,384,1000,0.95,0
