control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.844619386505185,-3.831827705369241,-0.0026473794009107543,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.28682477012418595,-0.28211958681956584,-0.0036698474565011185,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.4006857374799796,0.4016476833058852,-0.0016076578949677511,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7571146606056935,0.7556018265526472,0.006190038295733169,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.004517842452817944,-0.0013950307415515617,0.0059046360455682345,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.4204000452171667,0.419541200518053,0.0014795963122278266,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.3603596737627237,-1.4023343245926627,0.01747244353137911,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.2767694968210386,0.25093167631496127,0.03449327609925923,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.5995163523542382,0.5760981420139681,0.05524441542089609,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.7177034085381453,0.7189674736669598,-0.004497931770774732,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.16748632807105424,0.19278467877459515,-0.03134027568398534,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5161265690172476,0.5312846613004749,-0.03233965486447321,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-3.0687969778487547,-3.0652928912021986,-0.0008619518298766948,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.13921919103105274,-0.1403035492883149,0.0009509382461704297,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.42874463730685974,0.42632554948464185,0.004216830329544452,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.7208403991900414,0.7203563272721978,0.0017310311837979153,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.14208219301265057,0.14006464938934549,0.002346157326678533,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.44829124790865116,0.44722680087015176,0.001925648783578926,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-3.463484913044873,-3.473722523197466,0.0022883873775157992,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,-0.19328724745909254,-0.1981672727205852,0.004072908159485911,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.4337175688536393,0.43200401510524067,0.003016841305165441,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.75550516517588,0.7564240162457807,-0.0037723385357562034,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,-0.07906695257387697,-0.0755047164486311,-0.0033121529555057982,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.46607161263426544,0.46506100854835863,0.0018891950335576668,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-0.9843613007124083,-1.042437315258514,0.0284346619170317,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.36413335932618196,0.3363170243193009,0.04191208156025328,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.6229960718744689,0.6106437860044811,0.031724897217461634,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.7178623968386336,0.7076718592244347,0.034859926886145254,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.3661606902663821,0.33465622576060317,0.047350656496025656,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5171182251938318,0.5120663439428355,0.010353623260627165,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-2.3463733591754012,-2.3561851237497904,0.0029234872966205083,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.035933138948878174,0.03387594495282398,0.002129326958900446,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.4951594292979522,0.49586385035358727,-0.0013972833650772731,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7282118265781925,0.7276649948576983,0.002007937687659611,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,-0.011016977421415719,-0.01199284769492115,0.0009643055044590287,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5232914133475535,0.5228773563556022,0.0008678208789014707,0.02,True,True
