model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
ar20,id,heave,10,1.0,1,True,418944,0.001862400512969004,,0.0012888148683347853,,0.44162564996543524,0.9999822156668242,,0.9999799467790371,0.9999842605047895,0.7586744785454769,0.002454808439766657,,108900,0.053999768002540804
ar20,id,heave,20,2.0,1,True,418944,0.016174940652662333,,0.011140973499417348,,0.8379625080040977,0.9996274056921136,,0.9995786720907316,0.9996717691415218,0.7587896097620423,0.021316766129329076,,108900,0.053999768002540804
ar20,id,heave,30,3.0,1,True,418944,0.058852603206967335,,0.040171889088017255,,1.1508797207979575,0.9973850012836866,,0.9970286247845725,0.9977047455309509,0.758921162789381,0.07754771653837825,,108900,0.053999768002540804
ar20,id,heave,50,5.0,1,True,418944,0.22309862904164668,,0.1473146474794408,,1.4411635486480023,0.976035561092062,,0.9727392437751945,0.978980483854567,0.7589656362018378,0.2939508963253196,,108900,0.053999768002540804
ar20,id,heave,100,10.0,1,True,418944,0.46880880136454006,,0.3186731751131837,,0.8345105274387918,0.684406628132533,,0.6474815416432814,0.7141397468728046,0.7592839391596414,0.6174354245967684,,108900,0.053999768002540804
ar20,id,heave,150,15.0,1,True,418944,0.6311993230454678,,0.4300718169236094,,1.1055277079536523,0.6740178759564859,,0.6487371965985536,0.695493771186874,0.759468366891061,0.8311067986008793,,108900,0.053999768002540804
ar20,id,heave_rate,10,1.0,1,True,418944,0.005470622301202997,,0.003782753506858557,,0.2851862134952766,0.9996320266139138,,0.9995891436071197,0.9996731329988534,0.4494429055050756,0.01217200724317856,,108900,0.053999768002540804
ar20,id,heave_rate,20,2.0,1,True,418944,0.026314255545210087,,0.018036056587340858,,0.5351005334146711,0.9975816931387366,,0.9972839733146518,0.9978697748794114,0.4494530144731941,0.05854728903321106,,108900,0.053999768002540804
ar20,id,heave_rate,30,3.0,1,True,418944,0.061527169439245986,,0.04143136532521374,,0.7214322878188286,0.9927265120958336,,0.9917774748460269,0.9936105231754103,0.4494430721740169,0.1368964686487006,,108900,0.053999768002540804
ar20,id,heave_rate,50,5.0,1,True,418944,0.10711654777836113,,0.06921493169718995,,0.8521061512116869,0.9841975023587002,,0.9822786372470798,0.9859217016964738,0.44946461013569566,0.23832031568853018,,108900,0.053999768002540804
