model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,8728,0.0007318036208711306,0.0005862246463916338,0.09655247051390696,0.9999425536649802,0.12772283077649094,0.005729622624413588,0.004674162916931411,5.1165687137061795,81.3657288200937,-1.7228129753934525,142.38126453029932,id
ar20,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,8728,0.0062909445947528795,0.0050373760784454946,0.17803367499390566,0.9987513882796004,0.1276539440844107,0.04928123952514163,0.3454191874290181,43.966218412672276,276.6425957610614,-1.0518770631028644,142.22750772462234,id
ar20,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,8728,0.0211045001138212,0.016894368151068012,0.23211938560342857,0.9917333925540113,0.12757697756186392,0.16542561610371528,3.8874505458737483,147.45404522252161,470.25948326118606,0.19093446935542602,142.05593023584254,id
ar20,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,8728,0.05057046778616354,0.0404802448656502,0.23418662332539444,0.9533695321750486,0.12745176636513003,0.39678122342601985,22.320744667308333,353.31157718739496,478.67297302483394,2.2560038270453617,141.77780272782076,id
ar20,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,8728,0.0860075814277436,0.06832291746729721,0.1721371800837256,0.7503542929627605,0.12693211807405508,0.6775872232555422,64.56366986229995,596.3224236545701,258.6211901199207,-2.8466918506460104,140.62439242840017,id
ar20,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,8728,0.12880052721266672,0.10205899620152473,0.1551284416343138,0.31062993323781884,0.12608622193221533,1.0215273741956565,144.79381767195716,890.7709188469078,210.03786594915806,2.228347406518452,138.75600315184585,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,8728,0.0021698081344418,0.001738236712647424,0.07678716472879256,0.9992015175009629,0.0991170742278345,0.021891365855434674,0.04109201174604943,15.171330027986716,51.46263292633293,0.28444587987723935,85.74557802372924,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,8728,0.009919762316632944,0.007941814597350343,0.1410631976742704,0.9950548999366263,0.09910651056160844,0.1000919340255294,0.8588499016045895,69.3161578056738,173.67695104205202,1.0200371266237198,85.72741181401815,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,8728,0.01911832374258706,0.015301275126681491,0.1825690538919619,0.9890340744486384,0.09908343149183234,0.19295177260956112,3.190173922195741,133.54952930567606,290.91697798364515,1.379353915237516,85.68758837606191,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,8728,0.014380190187922083,0.011567651108900415,0.17857766497651234,0.9935155226157717,0.09898555604037812,0.14527564185279845,1.8048619839705946,100.96245887848282,278.3357666356293,0.28471216420985,85.51817786621564,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,8728,0.06329910639640123,0.050695810338037786,0.14305863556607606,0.8042205965313947,0.09860101957973649,0.6419721283430808,34.97114852644775,442.4730326303938,178.62526857711885,0.6012165423362603,84.8550631645567,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,150,15.0,8,8728,0.0961748000936532,0.07653216618137802,0.11106917912940041,0.25021722296937765,0.09769835413705442,0.9844055300945609,80.73044048641668,667.9727464310674,107.67177235803527,-1.8896076352921227,83.30889330381548,id
ar20,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,8728,0.002835036447928102,0.0022734325046353176,0.4046602657183312,0.9999509164270842,0.4926842797400909,0.005754266098004362,0.07015070353791314,19.84251890045705,1429.2093947239389,-2.9391571570122323,2118.6165038245254,id
ar20,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,8728,0.03047069044402937,0.024462903218946036,0.7347820599663037,0.9982803205491396,0.492372658497463,0.06188542340473273,8.10362485571381,213.512219294961,4712.288009058579,-1.6944281745636545,2115.9366553986674,id
ar20,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,8728,0.1066472378010314,0.08558297693911782,0.9314565877409874,0.9868908665096657,0.49254075643084666,0.21652469650195294,99.26907170938726,746.9682227246203,7572.512079656618,0.5966910805618681,2117.381391587346,id
ar20,0,frigate,SS3,45.0,0.0,pitch,50,5.0,8,8728,0.1892232546263513,0.15065682739520475,0.8341191973887634,0.9485372745298947,0.4922148630141193,0.38443222430876367,312.5098811176431,1314.932789505347,6072.5482038292,5.628452882159763,2114.583943773046,id
ar20,0,frigate,SS3,45.0,0.0,pitch,100,10.0,8,8728,0.36256435783907603,0.28883215754230707,0.8077096919030734,0.798507155363767,0.49066173968947857,0.738929344824256,1147.321029684883,2520.9270710292562,5694.103092128209,-7.553051449951454,2101.263308988162,id
ar20,0,frigate,SS3,45.0,0.0,pitch,150,15.0,8,8728,0.4705933083120411,0.3753509779848361,0.5034581180355248,0.12629504521874602,0.487372625209087,0.9655718929846595,1932.8859636354105,3276.0633358516493,2212.2868287033343,3.274223163130955,2073.181185902849,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,10,1.0,8,8728,0.009408017574691747,0.00754763777138573,0.35143128100137433,0.9992833362975175,0.4177693869353407,0.02251964329820043,0.7725222160168662,65.87578246865465,1077.9424342839777,0.7874424598162477,1523.3089140866302,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,20,2.0,8,8728,0.05177494406723918,0.04156128163344456,0.6346709320592185,0.9933450919288461,0.41815450979062,0.12381773448566688,23.39666810387063,362.74686609670414,3515.7011717840055,1.753378830010206,1526.119029978729,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,30,3.0,8,8728,0.09589909327069199,0.07690238329784466,0.7964953094530418,0.9855035201351829,0.4180182037395308,0.22941367723413114,80.2682397947496,671.2040014235881,5537.084902215522,2.772633604796738,1525.1247812293861,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,50,5.0,8,8728,0.15031869091737088,0.1209629844598267,0.6869128074804774,0.9521124363550703,0.4180450405586005,0.3595753479493787,197.21534674777024,1055.7649283653675,4118.29986194445,1.011055243292958,1525.3198501273532,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,100,10.0,8,8728,0.3635192008280623,0.29181397040996115,0.7050998942767635,0.7342009583501281,0.41638053657032853,0.8730456130882629,1153.372115387235,2546.952333738141,4339.263634014651,3.085453964395583,1513.1984635209785,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,150,15.0,8,8728,0.4011904981605626,0.3215014535700859,0.4352770643573728,0.15048762557956252,0.4133486521351522,0.9705862014747438,1404.8049044273887,2806.0646867597097,1653.6603194106362,-7.900509065158531,1491.247992032681,id
ar20,0,frigate,SS3,45.0,0.0,roll,10,1.0,8,8728,0.0019111337516861443,0.0015294425892250156,0.22176475781216207,0.9999257327908931,0.29843359253952356,0.006403882804959499,0.031878428388526774,13.348974918755935,429.23961694374566,-1.0108977989402774,777.3385697985694,id
ar20,0,frigate,SS3,45.0,0.0,roll,20,2.0,8,8728,0.016013199658581296,0.01283861641419177,0.4090305560183456,0.998467343850136,0.29842429858454894,0.05365916828667512,2.238056132531173,112.05544406306576,1460.2467309642766,-3.426784145656711,777.2913824337445,id
ar20,0,frigate,SS3,45.0,0.0,roll,30,3.0,8,8728,0.055058405925026734,0.04420041180464159,0.5339322629870557,0.9893665317489738,0.2982776336722117,0.18458777900032708,26.45830413390781,385.7811942309118,2488.2101972095984,-4.473179333854205,776.5284965711617,id
ar20,0,frigate,SS3,45.0,0.0,roll,50,5.0,8,8728,0.1507124119713903,0.12079205266592138,0.5480052105630002,0.924363980567236,0.2983013537554681,0.5052354274427345,198.24980923485893,1054.2730356681618,2621.1031558990417,-0.07774437965053949,776.6497138021723,id
ar20,0,frigate,SS3,45.0,0.0,roll,100,10.0,8,8728,0.34898296329771183,0.27850566809292704,0.3875590013535318,0.18916442344484563,0.2967487217133916,1.1760217913752955,1062.9753404896708,2430.7974711150673,1310.9628773391216,-3.6113213152966637,768.587462132959,id
ar20,0,frigate,SS3,45.0,0.0,roll,150,15.0,8,8728,0.45754446030674834,0.36271975078115387,0.3968457356169879,-0.32930049754717095,0.29423321650337386,1.5550401336196582,1827.1800325977315,3165.817984817911,1374.5425025938448,6.98178688889675,755.6163496756101,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,10,1.0,8,8728,0.0055239060740641804,0.0044223184136558645,0.17615108397978932,0.9990166187332984,0.2276815735034751,0.024261542069762047,0.2663221624140457,38.59799511438838,270.8228958919598,-2.683797949946893,452.45073496161365,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,20,2.0,8,8728,0.025446063535944717,0.020420287299859397,0.3228672439636818,0.9937885464564907,0.2275912822496032,0.11180596762945247,5.651398760620728,178.2282675531728,909.8351490572134,-1.930943553124962,452.09155363981654,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,30,3.0,8,8728,0.05292614374186318,0.04250924818534722,0.4165598582507623,0.9838569470916276,0.22766396941618508,0.2324748350719943,24.448670162402717,371.0207181617106,1514.501024135453,-0.005536997829040047,452.3799465685848,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,50,5.0,8,8728,0.05690707101011636,0.04561755626301609,0.40641479145346243,0.9803937988054993,0.22731494810548666,0.2503446055105375,28.26488377173532,398.15003106360444,1441.6297931117444,3.824650860253314,450.9956393779298,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,100,10.0,8,8728,0.19601162456850402,0.15673090317611404,0.32540925283966554,0.6371694384681248,0.22632307468596752,0.8660699967976228,335.3346211991098,1367.9473229211235,924.2182350442664,-4.559618138380756,447.0691687354571,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,150,15.0,8,8728,0.27672085028281745,0.2201083243341662,0.27845214379295,0.012396466223046576,0.2245374003338732,1.2324042670457158,668.3416161483104,1921.1054547886024,676.7306852298616,2.64116832169384,440.0407605701893,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,8728,0.09754666305932033,0.07695869125021206,0.09655247051390696,-0.020699855694491953,0.12772283077649094,0.7637370896517514,83.0499876651468,671.6954572318508,81.3657288200937,-1.7228129753934525,142.38126453029932,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,8728,0.13287339302182932,0.10473934339585872,0.17803367499390566,0.4429787840792122,0.1276539440844107,1.040887486672306,154.0957950663094,914.1649891590549,276.6425957610614,-1.0518770631028644,142.22750772462234,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,8728,0.13844762561944152,0.10914882158425217,0.23211938560342857,0.6442473046030123,0.12757697756186392,1.0852085404853415,167.29607870616158,952.6509147873529,470.25948326118606,0.19093446935542602,142.05593023584254,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,8728,0.12713796607882363,0.1002571977195647,0.23418662332539444,0.7052686390490108,0.12745176636513003,0.9975378898601734,141.0799367900654,875.0448216963607,478.67297302483394,2.2560038270453617,141.77780272782076,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,8728,0.1298741412427624,0.10261175845027007,0.1721371800837256,0.4307592141759268,0.12693211807405508,1.0231779254403592,147.2177294946207,895.5954277539572,258.6211901199207,-2.8466918506460104,140.62439242840017,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,8728,0.12450124056889504,0.0987026184111261,0.1551284416343138,0.35588339037959804,0.12608622193221533,0.9874293849158841,135.28887810707616,861.4764534923086,210.03786594915806,2.228347406518452,138.75600315184585,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,8728,0.07771179130778023,0.061287347230003425,0.07678716472879256,-0.024227837848481926,0.0991170742278345,0.7840404079033727,52.70946125212807,534.9159666234699,51.46263292633293,0.28444587987723935,85.74557802372924,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,8728,0.10343595980172474,0.08155032625121855,0.1410631976742704,0.46233019370464556,0.09910651056160844,1.0436848115788009,93.38085262474786,711.7712475206355,173.67695104205202,1.0200371266237198,85.72741181401815,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,8728,0.10646848142268722,0.08388739656600058,0.1825690538919619,0.6599147553920877,0.09908343149183234,1.0745336512842074,98.93657161816262,732.1691972280531,290.91697798364515,1.379353915237516,85.68758837606191,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,8728,0.09806411927915877,0.07726188711816663,0.17857766497651234,0.6984453813491667,0.09898555604037812,0.9906911998267356,83.93343596469451,674.3417507673583,278.3357666356293,0.28471216420985,85.51817786621564,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,8728,0.10096425650418667,0.07971324978969198,0.14305863556607606,0.5019107762589358,0.09860101957973649,1.0239676722869897,88.97132136611624,695.7372441644316,178.62526857711885,0.6012165423362603,84.8550631645567,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,150,15.0,8,8728,0.0966157247368631,0.07669425072302759,0.11106917912940041,0.24332652945955846,0.09769835413705442,0.9889186526246637,81.47237366939493,669.3874203105848,107.67177235803527,-1.8896076352921227,83.30889330381548,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,8728,0.4036213626070076,0.3210936521060507,0.4046602657183312,0.005128101704552246,0.4926842797400909,0.8192292289494861,1421.880263590693,2802.50539558161,1429.2093947239389,-2.9391571570122323,2118.6165038245254,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,8728,0.5176834027302942,0.4112795805476564,0.7347820599663037,0.5036232921291102,0.492372658497463,1.0514056655990407,2339.0700084759674,3589.648179019945,4712.288009058579,-1.6944281745636545,2115.9366553986674,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,8728,0.5227002521535717,0.4149010174133409,0.9314565877409874,0.6850945463343232,0.49254075643084666,1.0612324875230088,2384.625351833085,3621.256079983639,7572.512079656618,0.5966910805618681,2117.381391587346,id
damped_persistence,0,frigate,SS3,45.0,0.0,pitch,50,5.0,8,8728,0.4835393535629284,0.38415320616303844,0.8341191973887634,0.6639472777907476,0.4922148630141193,0.982374547980803,2040.696354643709,3352.8891833909997,6072.5482038292,5.628452882159763,2114.583943773046,id
