control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,enforced,passed
shuffle,id,shuffled,window_mean,roll,10,1.0,-2.682613950504035,-2.680637505160985,-0.0005369845143072816,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,20,2.0,-0.045114370360338496,-0.04540729403507582,0.0002802005270182706,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,30,3.0,0.4560943606640303,0.4556317066317219,0.0008498915861644418,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,50,5.0,0.7057240925670697,0.7057797623349584,-0.00018921121242554406,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,100,10.0,0.14538434246690612,0.14519012436265788,0.00022720620079808018,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll,150,15.0,0.4588985897991129,0.4592036216892087,-0.0005640420356523013,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,10,1.0,-1.0044417455741765,-1.0017248622272619,-0.0013572711206133459,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,20,2.0,0.3877747238736762,0.387746061283163,4.6814873209677366e-05,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,30,3.0,0.6367681949971381,0.636842566803818,-0.00020479219170965735,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,50,5.0,0.6918227895498134,0.6916719368605471,0.0004892603278802143,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,100,10.0,0.36908327027462895,0.369515286205807,-0.0006852123798184451,0.02,True,True,True
shuffle,id,shuffled,window_mean,pitch,150,15.0,0.5102258913179594,0.5103385900320265,-0.00023015641374413143,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,10,1.0,-2.0840930394204427,-2.082046805056643,-0.0006639205999214859,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,20,2.0,0.11605764518759543,0.11622694273535816,-0.00019156224142746758,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,30,3.0,0.5273131022849908,0.5271553077079412,0.00033371333044851514,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,50,5.0,0.7118289971721288,0.7119566116133116,-0.0004430389529077594,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,100,10.0,0.20242769570585661,0.2029307065314222,-0.0006310754029636989,0.02,True,True,True
shuffle,id,shuffled,window_mean,heave,150,15.0,0.513448431168412,0.5138730587022072,-0.0008734910528958029,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll_rate,10,1.0,-2.503679453749813,-2.505414423422199,0.0004949399593935366,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll_rate,20,2.0,-0.0020773415981818477,-0.0017921492833334884,-0.00028468212198751175,0.02,True,True,True
shuffle,id,shuffled,window_mean,roll_rate,30,3.0,0.47343359969592447,0.47389302883956796,-0.0008732618437465867,0.02,True,True,True
