model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime
persistence,roll,10,1.0,523680,2.697897513410246,1.632386730386611,2.697897513410246,0.0,5.056322481397262,0.533569115367165,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,20,2.0,523680,5.19022115425725,3.126541644872276,5.19022115425725,0.0,5.056996988280291,1.0263445215185432,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,30,3.0,523680,7.290482390738133,4.359191560285345,7.290482390738133,0.0,5.057530912723518,1.4415101986617724,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,50,5.0,523680,9.760571515330518,5.693792320575305,9.760571515330518,0.0,5.058598032252167,1.9295013071012799,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,100,10.0,523680,5.028820623687556,2.8024777070182934,5.028820623687556,0.0,5.062743782240931,0.9932994518363006,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll,150,15.0,523680,7.375354928320517,4.439947166571426,7.375354928320517,0.0,5.066780440794619,1.4556294701342627,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,10,1.0,523680,0.06420293830876847,0.04790855604967068,0.06420293830876847,0.0,0.09332436934600122,0.6879546977781903,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,20,2.0,523680,0.11934868234825846,0.08882302697298682,0.11934868234825846,0.0,0.09333665010532012,1.2786904416816613,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,30,3.0,523680,0.15817580952239704,0.11713059587100305,0.15817580952239704,0.0,0.09335358633520026,1.694373143356729,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,50,5.0,523680,0.1747531704357987,0.126374521507655,0.1747531704357987,0.0,0.09335704034097117,1.8718799331849167,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,100,10.0,523680,0.10637667867111276,0.07994320048306883,0.10637667867111276,0.0,0.0933970173286122,1.138972974873837,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,pitch,150,15.0,523680,0.13937788113765479,0.09910250147704427,0.13937788113765479,0.0,0.09341040339836806,1.492102336216758,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,10,1.0,523680,0.4420519563766116,0.30056781564317603,0.4420519563766116,0.0,0.7795114815459023,0.5670884481392734,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,20,2.0,523680,0.843269727432346,0.5706984111108664,0.843269727432346,0.0,0.7797270150985163,1.0814935369730665,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,30,3.0,523680,1.1678733575159437,0.7838294566537009,1.1678733575159437,0.0,0.7799869447915249,1.4972985962323937,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,50,5.0,523680,1.4953025370587927,0.9719363954148328,1.4953025370587927,0.0,0.7803116436734177,1.9162888945491872,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,100,10.0,523680,0.809685004759201,0.4969161794539507,0.809685004759201,0.0,0.7809870809852986,1.0367457086968672,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,heave,150,15.0,523680,1.150392565012314,0.7650544932126467,1.150392565012314,0.0,0.7811825468654663,1.4726296300759933,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate,10,1.0,523680,1.4963658010006886,0.9494011623131028,1.4963658010006886,0.0,2.7329053966256955,0.5475366263494682,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate,20,2.0,523680,2.869237261280038,1.8103199066559554,2.869237261280038,0.0,2.733103738947202,1.0498091310596485,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
persistence,roll_rate,30,3.0,523680,4.008853145998577,2.505488279581616,4.008853145998577,0.0,2.7334550855651965,1.4665882630259741,480,0.0,0.0,0,True,0,0.0,,,,,unseen_heading
