control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-2.5795010523537347,-2.5941459534694786,0.004074653980483678,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.01968305681042426,-0.024477279578190902,0.0046796770053705306,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.46744168781395534,0.46430964134174624,0.005846747886323667,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.708714149149055,0.7074422135027993,0.0043476390134219445,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.08353209940365325,0.08135002446710582,0.0023753061499638406,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.48645737105113973,0.48478924773378873,0.003237749425868075,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.0476786765567478,-1.2010306303682015,0.06967279405184834,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.3749639014007863,0.34509531078864175,0.04560753817187124,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.6420645963256305,0.6276706480872167,0.03865918215812736,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.7444964776648763,0.7142100925404664,0.10597429907036948,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.26925910596308267,0.2271187241278052,0.05452374530321247,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5520055478881893,0.5474451471149051,0.01007701219909829,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-2.1864735081770394,-2.224361276282935,0.011750472375593235,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,0.08500603669627793,0.0814427658700908,0.0038792039230548525,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.5132892517507336,0.5141666199319781,-0.0018059034583455258,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.7172002083536455,0.7149938008154075,0.00774161244404703,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.1150015833724003,0.11233666248605667,0.0030021752321180983,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.5203970012007484,0.5201283071099208,0.0005599290285480674,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-2.4029107262667377,-2.428796326807271,0.007549471614325065,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,0.023850379888779805,0.017990570145541285,0.005967162396909975,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.4845365503646587,0.48259315537914205,0.003756028753235219,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.7118890369971783,0.7103134128536273,0.005439064884129152,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,0.026377576629674215,0.020582966049227158,0.005916387381045163,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.5149757684684071,0.5132334893929784,0.0035792911744400024,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-0.6889696276067687,-0.9020681620908273,0.11203517241454286,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.47395022217145455,0.4233064722073925,0.08781744119430235,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.6855844637155775,0.6610963858958856,0.07225676210159537,0.02,False,False
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.7044380423072213,0.7001954329965561,0.014151249772711094,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.3159391486622515,0.3755079573379295,-0.09538761842624854,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5160965418046681,0.5196007949939785,-0.00729446084172114,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-1.852364853648917,-1.858840680248902,0.00226519324589336,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.18328637043969587,0.17618290781552837,0.008622621078826609,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.5620360545077433,0.5563388453761184,0.012841352172142995,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7218790112196991,0.7215485068797678,0.0011869368564980665,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,-0.013339380709339377,-0.011250598480342155,-0.002065543627006061,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5652602028413142,0.5651369411751119,0.0002834493841241681,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,10,1.0,-4.149483344869731,-4.139007763790214,-0.002038444299175657,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,20,2.0,-0.3916524303235831,-0.3898597448878267,-0.0012898319001972691,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,30,3.0,0.3182530299984595,0.31724783133259105,0.0014722745851256658,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,50,5.0,0.6784652021271558,0.6772415460784278,0.003791243990235893,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,100,10.0,0.6037192451328071,0.602571064304412,0.0028890217225514547,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,150,15.0,-0.7782005305369324,-0.775799796975565,-0.0013519167900886142,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,10,1.0,-1.4611712139651676,-1.4638056452018997,0.0010692528616704777,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,20,2.0,0.2764455613413348,0.2754407970552569,0.0013867248970054202,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,30,3.0,0.5966439717549041,0.5961322245521994,0.001267115709188027,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,50,5.0,0.7152039583914664,0.7156108501117477,-0.0014307568359805956,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,100,10.0,0.16701665845218838,0.1665356566050935,0.0005771114876199634,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,150,15.0,0.5560594790496953,0.5560427247832804,3.773846572674433e-05,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,10,1.0,-2.409825687570482,-2.4232806570361407,0.003930431306589988,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,20,2.0,0.03548551828698632,0.03134616885819097,0.004273301044931621,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,30,3.0,0.4935321373669421,0.4923807239602491,0.002268261787999659,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,50,5.0,0.70955348357259,0.7100980406775756,-0.0018784181599131866,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,100,10.0,0.20563188582520686,0.20585540441105354,-0.0002814582975043667,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,150,15.0,0.5086464222904911,0.5084653719566989,0.0003683368850589952,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,10,1.0,-3.7104363137711873,-3.733101670256336,0.0047886899678454276,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,20,2.0,-0.28564961220884344,-0.29001396192086903,0.0033831802142102463,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll_rate,30,3.0,0.357932909928498,0.35802550775243347,-0.00014423910148098074,0.02,True,True
