model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
ar20,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9048,0.0006324942670566984,0.0005053530273605118,0.09638116784611431,0.999956934567,0.12757639415971414,0.004957768803724556,0.003619643332633572,4.57243419155791,84.049853455166,-0.23902328427399766,147.26286878013687,id
ar20,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9048,0.005450945607197278,0.004354968593002037,0.1777748684437013,0.999059837412698,0.12752799363105238,0.042743129974797955,0.2688414868982157,39.40375582948243,285.9521220363862,-0.24333894903290343,147.15115166012708,id
ar20,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9048,0.018201256943053846,0.014545927711018201,0.23188427857464222,0.9938388731436957,0.1274976820763099,0.1427575517189405,2.997473504970331,131.61155392929268,486.5138431459445,-0.2290278271397881,147.08120783963324,id
ar20,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9048,0.04541094013191853,0.036308002908426944,0.2343365500960239,0.9624473212278919,0.1275276941555008,0.35608689102891433,18.658364720198104,328.514810315447,496.8584220962803,0.04393693520935926,147.15045421620528,id
ar20,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9048,0.08840189505082861,0.07011015163259819,0.17174263658708364,0.7350481854391513,0.12743771291221798,0.69368708077586,70.70917039953117,634.3566519717484,266.87558459159806,-0.31445559005121027,146.94288477158042,id
ar20,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9048,0.131826638187486,0.10396939584776702,0.15600103051301875,0.2859125188360907,0.1273554754494076,1.0351077385742602,157.23851942404815,940.7150936305959,220.19503712312823,0.9554914446485157,146.7533870668832,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,9048,0.0018822357849352731,0.0015039413046153997,0.0765425984784432,0.9993952976607892,0.09894816142616517,0.01902244324509043,0.0320553589052225,13.607660924160136,53.010145366817525,-0.011125899918624782,88.58660331542863,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,9048,0.008600117709792543,0.0068709189936753635,0.14066248333332157,0.9962618886826743,0.09894841825041212,0.08691516106935569,0.6692083987824559,62.16807505477469,179.0231327999126,0.001066204093149281,88.58706316321646,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,9048,0.016495356496240152,0.01319686029644844,0.18215907343347137,0.9917998500371018,0.09895907516570328,0.16668866871097263,2.4619317191674956,119.40519196226549,300.2300848529061,0.036191323704770184,88.60614629439165,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,9048,0.02281510882901347,0.018319523437980934,0.17850272692401234,0.9836636368393707,0.09889510382533258,0.23070008470095,4.709748119079782,165.7550480668515,288.29844640270346,0.2520647814289987,88.49163266269632,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,9048,0.07456633778059864,0.059572731658392795,0.14263149702723618,0.7266904879823167,0.09896935795174235,0.753428529029736,50.30813522913349,539.014076045138,184.07019520739743,-0.6118471433383093,88.62460251801303,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate,150,15.0,8,9048,0.10208427591053905,0.08087594242680263,0.11208749413397678,0.17052483935474383,0.09891937678207949,1.0319947338066218,94.29101206424417,731.7655270777102,113.67551017548777,0.7731075573374255,88.53513605381445,id
ar20,0,frigate,SS3,45.0,0.0,pitch,10,1.0,8,9048,0.002711003280489568,0.002174317492422158,0.40259162303967805,0.9999546548734619,0.4904027034009986,0.005528116508511171,0.06649862694319439,19.673224671435687,1466.4999751927025,0.43725630706831,2175.9970756101916,id
ar20,0,frigate,SS3,45.0,0.0,pitch,20,2.0,8,9048,0.029301211777404218,0.02350150739379448,0.7308987185906894,0.9983928487080322,0.49026515682608746,0.05976604979863638,7.768260033176591,212.64163889905245,4833.558652505807,0.1896994511662342,2174.7765963084826,id
ar20,0,frigate,SS3,45.0,0.0,pitch,30,3.0,8,9048,0.10326020090085614,0.08272720236299466,0.9265359223607406,0.9875794334068989,0.49032592691619137,0.21059502513010253,96.47582992709062,748.5157269803757,7767.425841964207,-0.4892345082880638,2175.3157946105034,id
ar20,0,frigate,SS3,45.0,0.0,pitch,50,5.0,8,9048,0.1937100294201562,0.15483480075153985,0.831370227251959,0.9457105703768014,0.4908824340289941,0.39461593243467874,339.513311105522,1400.9452771999327,6253.764562677292,-0.7679479455509863,2180.256488597395,id
ar20,0,frigate,SS3,45.0,0.0,pitch,100,10.0,8,9048,0.365579380422452,0.29138055063282,0.8025690733120441,0.7925093437636432,0.4908986368927938,0.7447145967575585,1209.2496681132982,2636.411222125755,5827.971678569553,-0.823072114650131,2180.400430843227,id
ar20,0,frigate,SS3,45.0,0.0,pitch,150,15.0,8,9048,0.4800295177447403,0.38092016407718476,0.5082572468055104,0.10799204375499072,0.49098893284815803,0.9776788958564835,2084.9156013757315,3446.5656445703676,2337.3284809615134,2.811578285491123,2181.2034296296633,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,10,1.0,8,9048,0.00900193524887953,0.0072206021546579015,0.3494758074298539,0.999336505181639,0.415549793033295,0.021662711424231828,0.7332032162599791,65.33200829534469,1105.0624601277148,0.06372507342575773,1562.4233931224653,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,20,2.0,8,9048,0.050009970611791695,0.04008619493994013,0.6313033700692857,0.9937246640136247,0.41592108663509786,0.1202390843330028,22.629022309038852,362.6998918165783,3606.025614910458,-0.5324139431354524,1565.2167209132356,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,30,3.0,8,9048,0.09391098931337312,0.07514272393529907,0.7924675400407674,0.9859566775835578,0.41616705880550947,0.22565695031922567,79.7967903722115,679.891366166586,5682.187448661263,-0.7210067952287318,1567.0686059683017,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,50,5.0,8,9048,0.15807167217195,0.1273265825887908,0.6837249917223829,0.9465503106099711,0.4162116849864133,0.3797867236166376,226.07924125920326,1152.050919263379,4229.757812238629,0.7316201090111463,1567.4047036342943,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,100,10.0,8,9048,0.37284308925676185,0.29873169022999907,0.7013602874020092,0.7174014999181293,0.4168908252247252,0.8943422754765126,1257.7802973806442,2702.9243332010315,4450.767774833402,-2.1609507549324007,1572.5244596003945,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate,150,15.0,8,9048,0.4065408435405936,0.32420381498085377,0.4400704630402935,0.146577816764775,0.41629070844211735,0.976579191647081,1495.4123391586782,2933.396117946765,1752.253888561629,1.5730580214408292,1568.0001606931796,id
ar20,0,frigate,SS3,45.0,0.0,roll,10,1.0,8,9048,0.0020125555175965456,0.0016086338441519716,0.22110436612090448,0.999917148361472,0.29759987464219606,0.006762622195376387,0.036647835628822296,14.55491902188704,442.3308492139937,1.145026395086461,801.3424662853784,id
ar20,0,frigate,SS3,45.0,0.0,roll,20,2.0,8,9048,0.017049827564298292,0.013649881243423164,0.4078755053402242,0.9982526305745972,0.29771250612448913,0.057269436834369566,2.6302230175094232,123.5041254904928,1505.2472472460036,0.5771761145333585,801.9490348871882,id
ar20,0,frigate,SS3,45.0,0.0,roll,30,3.0,8,9048,0.06026520756419862,0.048314655361322636,0.5324676931523448,0.9871900690673382,0.297635977589278,0.20247957942558084,32.86138815645577,437.1510017092472,2565.3056467828633,-0.3211612925042573,801.536772206902,id
ar20,0,frigate,SS3,45.0,0.0,roll,50,5.0,8,9048,0.1941079086980491,0.1557096703157324,0.5466553371242834,0.8739162039008925,0.29763505308228644,0.6521675007291045,340.90946022268963,1408.8610970167467,2703.8324572232855,-1.931605131841934,801.5321937683728,id
ar20,0,frigate,SS3,45.0,0.0,roll,100,10.0,8,9048,0.3410060752539718,0.2714916225250067,0.3876066207433909,0.22599839849474568,0.2979732316542096,1.144418488066407,1052.147977122343,2456.4562006062606,1359.3614988343154,2.330730835430586,803.354847675151,id
ar20,0,frigate,SS3,45.0,0.0,roll,150,15.0,8,9048,0.47718053553749373,0.37756093251202255,0.3978674442271513,-0.438429668806837,0.29777455561816807,1.6024892877327481,2060.2410321104444,3416.17131736878,1432.2848567350488,-1.978561630949116,802.2837513489383,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,10,1.0,8,9048,0.005822384368623621,0.004656593800735236,0.1755356209053961,0.9988998010528808,0.22701430614280968,0.0256476539630982,0.30672864529126176,42.13286070905241,278.7938000617052,-0.38018140594795113,466.2931764853691,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,20,2.0,8,9048,0.027419941969060852,0.02197516582366616,0.3217330526791867,0.9927365708722143,0.22690974910121445,0.12084073988742557,6.802767912724142,198.83130037253142,936.5779982213561,-0.7527219720868743,465.8637963984785,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,30,3.0,8,9048,0.06041603893369146,0.04843366259887864,0.41521787985987796,0.9788284622528824,0.22698681885346073,0.26616540660316995,33.0260845364369,438.227779194654,1559.9284724102445,-1.003907249563781,466.18035955073935,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,50,5.0,8,9048,0.08531096915324164,0.0685778015989779,0.40586817408324727,0.9558185712645135,0.22718182212450702,0.37551846514589077,65.85099527076567,620.4919488675521,1490.4677633902384,-0.2766382063491619,466.9815870469621,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,100,10.0,8,9048,0.22634799349866544,0.18111204133112999,0.32448185133510543,0.5133995843735133,0.22710148070683978,0.9966821563389673,463.55993132756885,1638.7017499640642,952.6500932613183,-0.4563860064590699,466.6513698353922,id
ar20,0,frigate,SS3,45.0,0.0,roll_rate,150,15.0,8,9048,0.2966865030895774,0.2351678620463454,0.27962547176587726,-0.12575042581121343,0.22699802223467636,1.3070003877956933,796.4310283332413,2127.798815795333,707.4667795566986,1.4277155393283465,466.22649307104166,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9048,0.09906813386333194,0.07827867208227364,0.09638116784611431,-0.05653428817576711,0.12757639415971414,0.7765396922827867,88.80155209153135,708.2654250004119,84.049853455166,-0.23902328427399766,147.26286878013687,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9048,0.13748477068034615,0.10859386833014321,0.1777748684437013,0.40190736376631164,0.12752799363105238,1.0780752269819238,171.0258585053596,982.5573206511358,285.9521220363862,-0.24333894903290343,147.15115166012708,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9048,0.14333424146778662,0.11327539767446484,0.23188427857464222,0.6179173697882796,0.1274976820763099,1.124210567075237,185.88848882361486,1024.915798158558,486.5138431459445,-0.2290278271397881,147.08120783963324,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9048,0.12533278315180404,0.09907900235255306,0.2343365500960239,0.7139451578437439,0.1275276941555008,0.9827887501751549,142.1287575067579,896.4668132859,496.8584220962803,0.04393693520935926,147.15045421620528,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9048,0.1339065783598047,0.1057917486698663,0.17174263658708364,0.3920784007143384,0.12743771291221798,1.050760997665131,162.23943219522016,957.2037419649504,266.87558459159806,-0.31445559005121027,146.94288477158042,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9048,0.12499013729489918,0.09867844828687712,0.15600103051301875,0.3580568695463091,0.1273554754494076,0.9814272755359619,141.3526914411876,892.8426000996642,220.19503712312823,0.9554914446485157,146.7533870668832,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,9048,0.07924361917565433,0.062594843675047,0.0765425984784432,-0.07182085021622187,0.09894816142616517,0.800859945586616,56.817379077147876,566.3581455718253,53.010145366817525,-0.011125899918624782,88.58660331542863,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,9048,0.10706627108463523,0.0845386541640464,0.14066248333332157,0.4206396181267221,0.09894841825041212,1.0820412592516537,103.7189105831079,764.9057428762919,179.0231327999126,0.001066204093149281,88.58706316321646,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,9048,0.10974804945262381,0.0866205742234273,0.18215907343347137,0.6370122210420424,0.09895907516570328,1.1090246070797933,108.97985167711553,783.7429555735702,300.2300848529061,0.036191323704770184,88.60614629439165,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,9048,0.0957790177865489,0.07557173744066592,0.17850272692401234,0.7120937797584413,0.09889510382533258,0.9684909978527626,83.00291600531594,683.7730803631453,288.29844640270346,0.2520647814289987,88.49163266269632,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,100,10.0,8,9048,0.10417216101110684,0.08220615071176543,0.14263149702723618,0.4665761051912195,0.09896935795174235,1.0525698374430335,98.18744044574245,743.8012516400536,184.07019520739743,-0.6118471433383093,88.62460251801303,id
damped_persistence,0,frigate,SS3,45.0,0.0,heave_rate,150,15.0,8,9048,0.09749463460765882,0.07698143353160808,0.11208749413397678,0.24343349201539144,0.09891937678207949,0.9855969353955859,86.00308377683763,696.5280105939898,113.67551017548777,0.7731075573374255,88.53513605381445,id
