regime,model_a,model_b,seed,dof,horizon_samples,horizon_s,skill_diff,ci_lo,ci_hi,n_realizations,n_boot,ci_level,bootstrap_seed
id,tcn,ar20,0,roll,10,1.0,-0.007552929185872354,-0.00809932102689843,-0.007051707078300681,384,1000,0.95,0
id,tcn,ar20,0,roll,20,2.0,-0.0033773257816852235,-0.0036206925262303727,-0.003149029022840426,384,1000,0.95,0
id,tcn,ar20,0,roll,30,3.0,-0.001256576663998728,-0.0014071128940893584,-0.0010686827344882134,384,1000,0.95,0
id,tcn,ar20,0,roll,50,5.0,0.0058519122743596564,0.004942328804169891,0.007178213138840725,384,1000,0.95,0
id,tcn,ar20,0,roll,100,10.0,0.05359784952327104,0.04548668763700577,0.06519261799548705,384,1000,0.95,0
id,tcn,ar20,0,roll,150,15.0,0.05472601436961602,0.04720685128551692,0.06456004320489399,384,1000,0.95,0
id,tcn,ar20,0,pitch,10,1.0,-0.005600232368814116,-0.005874734382164044,-0.005310152264267005,384,1000,0.95,0
id,tcn,ar20,0,pitch,20,2.0,-0.0014401878592750492,-0.0017490609986868884,-0.0011156443321865732,384,1000,0.95,0
id,tcn,ar20,0,pitch,30,3.0,0.01221546926437104,0.01062144881249209,0.01400097814457654,384,1000,0.95,0
id,tcn,ar20,0,pitch,50,5.0,0.06029863977438497,0.054495828295803676,0.06761123683180183,384,1000,0.95,0
id,tcn,ar20,0,pitch,100,10.0,0.2775583002389469,0.2557777143818543,0.2991863070590895,384,1000,0.95,0
id,tcn,ar20,0,pitch,150,15.0,0.1740010498504753,0.155837198378612,0.1940746492696025,384,1000,0.95,0
id,tcn,ar20,0,heave,10,1.0,-0.005632218133479496,-0.005889414814820509,-0.005402834273539804,384,1000,0.95,0
id,tcn,ar20,0,heave,20,2.0,-0.0032875383400580685,-0.003412914721481946,-0.0031644265798536166,384,1000,0.95,0
id,tcn,ar20,0,heave,30,3.0,-0.00038752785251316144,-0.0006172710573527148,-0.00012802313882364467,384,1000,0.95,0
id,tcn,ar20,0,heave,50,5.0,0.01972401669835059,0.01726674117713209,0.022306179432097027,384,1000,0.95,0
id,tcn,ar20,0,heave,100,10.0,0.22792195008317157,0.20707707295379427,0.2535582089215617,384,1000,0.95,0
id,tcn,ar20,0,heave,150,15.0,0.15578444960904347,0.1358567495629481,0.1786419512208369,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,10,1.0,-0.007303136004556836,-0.007759587622000332,-0.0068796101418893245,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,20,2.0,-0.0024158696833258535,-0.002628739898765699,-0.0021872242878492347,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,30,3.0,0.0009492105007845064,0.0005132442581402611,0.0015720121793599197,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,50,5.0,0.002699790719078346,0.0022217073244319993,0.0033392653276993196,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,100,10.0,0.0820803242440552,0.0724117861226001,0.09474103169268432,384,1000,0.95,0
id,tcn,ar20,0,roll_rate,150,15.0,0.07247880013933004,0.06352597469880149,0.08348268791754779,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,10,1.0,-0.00300993288327068,-0.003234006355278105,-0.0027394164018726434,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,20,2.0,0.004591260187887085,0.0036333780887649867,0.005640174522881814,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,30,3.0,0.015929377378312487,0.014084934967715805,0.018118198201334697,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,50,5.0,0.049920603523058826,0.04372632777537576,0.057211361110496205,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,100,10.0,0.19812828237694655,0.18132999526404942,0.2167274798307754,384,1000,0.95,0
id,tcn,ar20,0,pitch_rate,150,15.0,0.11497509504246026,0.10094766991202467,0.12881489498702642,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,10,1.0,-0.004954665587740709,-0.005139188933035312,-0.004769183355647917,384,1000,0.95,0
id,tcn,ar20,0,heave_rate,20,2.0,-0.0010953943184784745,-0.0012835653822999731,-0.0008818479545294431,384,1000,0.95,0
