control,regime,subject_model,null_model,dof,horizon_samples,horizon_s,skill_subject,skill_null,excess,tol,asserted,passed
shuffle,unseen_heading,shuffled,window_mean,roll,10,1.0,-3.3999855350981836,-3.3914080297037987,-0.001953247190050744,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,20,2.0,-0.2383267830448179,-0.23623964106442408,-0.0016882988629913775,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,30,3.0,0.383841075014975,0.38417673066168834,-0.0005450519060021808,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,50,5.0,0.7157547072206739,0.715972521215032,-0.0007668764842396758,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,100,10.0,0.11773394781477009,0.11689407791345241,0.0009510409570500089,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll,150,15.0,0.4162680824161695,0.4158288541685238,0.0007518828185540949,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,pitch,10,1.0,-1.590736146945129,-1.3382493183345203,-0.1079811406896718,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,20,2.0,0.19113891483246093,0.29088940469089763,-0.1406698623857896,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,30,3.0,0.542508809497505,0.5997991964814176,-0.14315410284090646,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,50,5.0,0.6689360712329451,0.7144225746413116,-0.15927905838927936,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,100,10.0,0.1448043564305711,0.22461519204297198,-0.10293061560321926,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch,150,15.0,0.5241356725966029,0.5364592149871525,-0.026585670104968484,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,heave,10,1.0,-2.597426125186106,-2.592337729181344,-0.0014164581362792195,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,20,2.0,-0.044578868529969506,-0.044397840695372004,-0.00017333225667814922,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,30,3.0,0.44995362222590196,0.4512070618491698,-0.0022839937180885173,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,50,5.0,0.7007096903801069,0.7029743955457782,-0.007624612598071012,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,100,10.0,0.15566177465508235,0.16035687763946382,-0.005591784008403211,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave,150,15.0,0.4814835983296404,0.4811962282931431,0.0005539089192659885,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,10,1.0,-3.127779848405181,-3.1239710122341275,-0.0009235846129262981,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,20,2.0,-0.16505528175998263,-0.16402277801633458,-0.0008870133498655175,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,30,3.0,0.413927481974508,0.4152625854125328,-0.002283252969141225,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,50,5.0,0.7203522985722673,0.7209781818615215,-0.002243133864691327,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,100,10.0,0.03963310101717976,0.042242306627440995,-0.002724285723118003,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,roll_rate,150,15.0,0.4560616814262618,0.45782226710468943,-0.003247248220663357,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,10,1.0,-1.385617215939102,-0.9966952022422622,-0.19478286583755278,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,20,2.0,0.29404795727584043,0.3829941615966961,-0.14415780011260804,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,30,3.0,0.5841482950793606,0.6406527609863917,-0.1572419647974288,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,50,5.0,0.671276285656573,0.704100621980726,-0.11093073781998575,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,100,10.0,0.363439525838414,0.3652919511314012,-0.0029185470332213637,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,pitch_rate,150,15.0,0.5152644195696494,0.5150416048700197,0.0004594511650221067,0.02,False,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,10,1.0,-2.157233412570284,-2.121636360614806,-0.011403330767350228,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,20,2.0,0.07385174662138472,0.08439519908559745,-0.011515287440261535,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,30,3.0,0.505909594493678,0.5101420803729321,-0.008640231605270943,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,50,5.0,0.7146180277279978,0.7152645178893378,-0.002270493851162403,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,100,10.0,0.01817446426772118,0.01870395378244749,-0.0005395818283047138,0.02,True,True
shuffle,unseen_heading,shuffled,window_mean,heave_rate,150,15.0,0.5388806413939218,0.5393706296169118,-0.0010637363887209261,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,10,1.0,-4.303879168940758,-4.311336029464496,0.0014039519402220257,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,20,2.0,-0.5874378159982889,-0.5878104909106063,0.00023470994457508443,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,30,3.0,0.1628699001252033,0.16344000806526393,-0.0006814908022820809,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,50,5.0,0.5880279144921822,0.5883049075167901,-0.0006728110916678354,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,100,10.0,0.665363898196798,0.6650294318625622,0.0009984946919231463,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,roll,150,15.0,-0.8034300123380731,-0.8063221027799121,0.0016010934248039677,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,10,1.0,-1.6086348407996458,-1.605843017682727,-0.0010713704156291026,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,20,2.0,0.21445740761807253,0.21688476919857191,-0.0030996224885260215,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,30,3.0,0.5621071254793202,0.5639977753238108,-0.0043363307283461605,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,50,5.0,0.7104748565783445,0.7099599794099374,0.0017751935314294087,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,100,10.0,0.17435386886945226,0.17235863661923534,0.0024107449657503333,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,pitch,150,15.0,0.5447094871479536,0.5440356379924596,0.0014778548756030352,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,10,1.0,-2.732909985909012,-2.7245527495777933,-0.0022438227870893446,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,20,2.0,-0.0833801957633844,-0.0791038596563729,-0.003962858689406712,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,30,3.0,0.430939153548219,0.4338973520110866,-0.005225551361359271,0.02,True,True
shuffle,unseen_vessel,shuffled,window_mean,heave,50,5.0,0.6937721205094811,0.6942582772696753,-0.00159008968698382,0.02,True,True
