model,regime,dof,horizon_samples,horizon_s,n_seeds,deterministic,n_windows,rmse_mean,rmse_std,mae_mean,mae_std,rmse_persistence,skill_mean,skill_std,skill_ci_lo,skill_ci_hi,signal_std,nrmse_mean,nrmse_std,n_params,fit_time_s_mean
dlinear_ols,id,heave,10,1.0,1,True,434304,0.0043726212192825055,,0.002477458250345813,,0.44174333995484594,0.9999020185877205,,0.9998784057742951,0.9999238735414189,0.7591945699315659,0.005759552810917306,,60300,0.17190022199065425
dlinear_ols,id,heave,20,2.0,1,True,434304,0.0430678693825785,,0.02424888479670457,,0.8382135080550518,0.9973600392875007,,0.9967163189466663,0.9979573350382671,0.7592353662201028,0.05672532036671892,,60300,0.17190022199065425
dlinear_ols,id,heave,30,3.0,1,True,434304,0.1531398082947669,,0.08530215820236706,,1.1513183823181896,0.9823076582150417,,0.9779104832834473,0.9863638179614487,0.7592379733777742,0.20170198760404873,,60300,0.17190022199065425
dlinear_ols,id,heave,50,5.0,1,True,434304,0.3264686555728227,,0.17632676441308207,,1.4421558821616272,0.9487541654390362,,0.9354132598579574,0.961127895408575,0.7593097520603712,0.42995451419787084,,60300,0.17190022199065425
dlinear_ols,id,heave,100,10.0,1,True,434304,0.5869675887568989,,0.35785104794868694,,0.8335183990732865,0.5040957158398585,,0.4525406816812122,0.5571366560972446,0.7591324816869609,0.7732083699705835,,60300,0.17190022199065425
dlinear_ols,id,heave,150,15.0,1,True,434304,0.7428417564703946,,0.4712975060023062,,1.106452908012778,0.5492593285082926,,0.4952320756084547,0.5971307077367146,0.758700750262978,0.9790971686965033,,60300,0.17190022199065425
dlinear_ols,id,heave_rate,10,1.0,1,True,434304,0.0022844978338797165,,0.001502452610892147,,0.2852226587419099,0.9999358475194894,,0.9999283157304637,0.9999428281256332,0.4495602477358838,0.005081627758203961,,60300,0.17190022199065425
dlinear_ols,id,heave_rate,20,2.0,1,True,434304,0.02216554474806946,,0.014546758595091048,,0.5351982235990471,0.9982847497483155,,0.9980737882941132,0.998475564277876,0.44960586015695647,0.049299946269231266,,60300,0.17190022199065425
dlinear_ols,id,heave_rate,30,3.0,1,True,434304,0.07710281407030585,,0.050340486579049576,,0.7216245802205107,0.9885838984746265,,0.9871082611249554,0.9899184907766931,0.4496495382799816,0.1714731307525474,,60300,0.17190022199065425
dlinear_ols,id,heave_rate,50,5.0,1,True,434304,0.15625227808015457,,0.10005765233308982,,0.8524864976952896,0.9664047638950836,,0.9614993926026363,0.970790324678067,0.44959255402628673,0.3475419614512095,,60300,0.17190022199065425
dlinear_ols,id,heave_rate,100,10.0,1,True,434304,0.3250321136752849,,0.2188243363746032,,0.47861232963563727,0.5388047991961823,,0.5151194482702891,0.5637441548733226,0.4493860488108614,0.7232803833927767,,60300,0.17190022199065425
dlinear_ols,id,heave_rate,150,15.0,1,True,434304,0.4309065652768249,,0.28994888390136453,,0.6814233587032514,0.6001176934478063,,0.5764577116519217,0.6223453402017108,0.44913945544323325,0.959404835301287,,60300,0.17190022199065425
dlinear_ols,id,pitch,10,1.0,1,True,434304,0.009441741200490959,,0.005460755757753631,,0.8963189522817477,0.9998890367865136,,0.9998747457715482,0.9999029529188432,1.2413165389175655,0.007606231693911213,,60300,0.17190022199065425
dlinear_ols,id,pitch,20,2.0,1,True,434304,0.08599676800576458,,0.05078089228430567,,1.6396866224861668,0.997249304276622,,0.9969131889132858,0.9975652502522631,1.2413790185919036,0.0692751905081421,,60300,0.17190022199065425
dlinear_ols,id,pitch,30,3.0,1,True,434304,0.27618326232848756,,0.166575745623854,,2.1223575061775537,0.9830660751812946,,0.9812623243536546,0.9848125218726488,1.2413993725281671,0.22247736581824396,,60300,0.17190022199065425
dlinear_ols,id,pitch,50,5.0,1,True,434304,0.4775415934190685,,0.2943235656667669,,2.2343246831224586,0.9543196059266156,,0.9495111068492822,0.9587995602976086,1.2415168463730468,0.38464366779569126,,60300,0.17190022199065425
dlinear_ols,id,pitch,100,10.0,1,True,434304,1.0244467029139281,,0.6448375785723881,,1.5591545468409598,0.5682817509441911,,0.5560555052005054,0.5817774897543337,1.2411836658196425,0.8253788146957386,,60300,0.17190022199065425
dlinear_ols,id,pitch,150,15.0,1,True,434304,1.2375828445708743,,0.7760716962751867,,1.785131912400982,0.5193732556327721,,0.4950788213998468,0.542864757192327,1.2405036351372414,0.9976454800424314,,60300,0.17190022199065425
dlinear_ols,id,pitch_rate,10,1.0,1,True,434304,0.014302818419473671,,0.006538524111927129,,0.7528444431836472,0.999639061880037,,0.9995574613663882,0.9997160291409996,0.9236173504276821,0.015485653677738659,,60300,0.17190022199065425
dlinear_ols,id,pitch_rate,20,2.0,1,True,434304,0.11847908084307959,,0.05733011261381203,,1.3414123591158549,0.9921988478947477,,0.9905141054984254,0.9937181672322298,0.9237371608217294,0.12826059821787844,,60300,0.17190022199065425
dlinear_ols,id,pitch_rate,30,3.0,1,True,434304,0.3368218628350029,,0.17454147302490608,,1.664055642972382,0.9590301042873391,,0.9512140071110307,0.966218637959496,0.9238676654473805,0.3645780401589202,,60300,0.17190022199065425
