model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,sse,sae,sse_persistence,sy,syy,regime
dlinear_ols,0,frigate,SS3,45.0,0.0,heave,10,1.0,8,9048,0.000630301724274194,0.0004993916721527862,0.09638116784611431,0.9999572326223367,0.12757639415971414,0.004940582687147538,0.0035945918252611037,4.518495849638409,84.049853455166,-0.23902328427399766,147.26286878013687,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave,20,2.0,8,9048,0.006121796246395856,0.00484700302847091,0.1777748684437013,0.9988141848089385,0.12752799363105238,0.04800354864914327,0.33908637022703203,43.8556834016048,285.9521220363862,-0.24333894903290343,147.15115166012708,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave,30,3.0,8,9048,0.02119872268094914,0.016764268192548067,0.23188427857464222,0.9916424924645095,0.1274976820763099,0.16626751432438813,4.06604311021267,151.6830986061749,486.5138431459445,-0.2290278271397881,147.08120783963324,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave,50,5.0,8,9048,0.04169033358968055,0.03289759104783534,0.2343365500960239,0.9683487638290782,0.1275276941555008,0.32691200029732737,15.72618326128092,297.6574038008141,496.8584220962803,0.04393693520935926,147.15045421620528,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave,100,10.0,8,9048,0.10421005794924527,0.08236599641540557,0.17174263658708364,0.631817601123139,0.12743771291221798,0.817733271947744,98.25889293659921,745.2475355665896,266.87558459159806,-0.31445559005121027,146.94288477158042,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave,150,15.0,8,9048,0.13784906651321105,0.10889764981360846,0.15600103051301875,0.21917677155646875,0.1273554754494076,1.08239607309206,171.9333997737242,985.3059355135293,220.19503712312823,0.9554914446485157,146.7533870668832,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave_rate,10,1.0,8,9048,0.0005131295649187155,0.0004076366733246693,0.0765425984784432,0.9999550584886973,0.09894816142616517,0.005185842339290067,0.002382356047161929,3.688296620241608,53.010145366817525,-0.011125899918624782,88.58660331542863,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave_rate,20,2.0,8,9048,0.004973398293842423,0.003948523967943093,0.14066248333332157,0.9987498851296431,0.09894841825041212,0.050262534578936625,0.22379948045103382,35.726244861949105,179.0231327999126,0.001066204093149281,88.58706316321646,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave_rate,30,3.0,8,9048,0.01716367494293758,0.013603173672621543,0.18215907343347137,0.9911219222329782,0.09895907516570328,0.17344215186123804,2.665466041323657,123.08151538987973,300.2300848529061,0.036191323704770184,88.60614629439165,id
dlinear_ols,0,frigate,SS3,45.0,0.0,heave_rate,50,5.0,8,9048,0.03339453219743141,0.026377533466267224,0.17850272692401234,0.9650005662481231,0.09889510382533258,0.3376762944342771,10.090282375640443,238.66392280278583,288.29844640270346,0.2520647814289987,88.49163266269632,id
