source_experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,matched_n_samples,matched_lookback,matched_stride,matched_max_horizon,matched_lookbacks,matched_n_origins,matched_origin_first,matched_origin_last,matched_origin_stride,matched_windows_before
deep,persistence,roll,10,1.0,418944,1.9461019982798347,1.0387516077010088,1.9461019982798347,0.0,3.687222002970601,0.5277962641554977,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll,20,2.0,418944,3.747341945419572,1.9913290181076926,3.747341945419572,0.0,3.6877754460978944,1.0161524203933583,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll,30,3.0,418944,5.271807875224931,2.780773531392883,5.271807875224931,0.0,3.688478647638728,1.4292634928495007,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll,50,5.0,418944,7.095209199845273,3.6557532379748623,7.095209199845273,0.0,3.69030276033271,1.9226631690256177,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll,100,10.0,418944,3.8042041036484933,1.8855042578872583,3.8042041036484933,0.0,3.694076084821685,1.0298120602548781,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,roll,150,15.0,418944,5.250462508623207,2.7773174780478374,5.250462508623207,0.0,3.6967972023470375,1.4202733396600096,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch,10,1.0,418944,0.8961445522125455,0.5664447414183473,0.8961445522125455,0.0,1.2403442750018743,0.7224966247465378,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch,20,2.0,418944,1.6391044953318454,1.036390953978283,1.6391044953318454,0.0,1.240393189409016,1.3214394510766339,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch,30,3.0,418944,2.1211392967275144,1.3391519034317336,2.1211392967275144,0.0,1.2402854523142828,1.7102025124697078,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
deep,persistence,pitch,50,5.0,418944,2.2310378683549135,1.3765761082906856,2.2310378683549135,0.0,1.240068055500173,1.7991253451448996,384,0.0,0.0,id,0,True,0,0.0,,,,,6000,200,5,150,100|200|400,1091,399,5849,5,1131
