experiment,model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_realizations,skill_ci_lo,skill_ci_hi,regime,phase_lag_s,phase_lag_raw_s,phase_lag_std_s,dominant_period_s,phase_lag_identified,n_realizations_phase,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
deep,persistence,roll,10,1.0,434304,1.9446628367671026,1.0377724380721711,1.9446628367671026,0.0,3.682816873957597,0.5280367999067371,384,0.0,0.0,id,0.9962766130334263,1.0,0.0040051896078332335,9.475000000000001,True,32,0,True,0,0.0,,,,
deep,persistence,roll,20,2.0,434304,3.7444545258092843,1.9893467593938703,3.7444545258092843,0.0,3.683691963859013,1.0164950171041491,384,0.0,0.0,id,1.9959093274226527,2.0,0.004039528052946847,9.475000000000001,True,32,0,True,0,0.0,,,,
deep,persistence,roll,30,3.0,434304,5.26736094690192,2.7778542667166164,5.26736094690192,0.0,3.6845301229084004,1.4295882436005447,384,0.0,0.0,id,2.9950341461061507,3.0,0.00570075172897112,9.475000000000001,False,32,0,True,0,0.0,,,,
deep,persistence,roll,50,5.0,434304,7.0875605548865055,3.6512930748556176,7.0875605548865055,0.0,3.685983647312865,1.922841019670133,384,0.0,0.0,id,4.995134440781877,5.0,0.0070258440855385206,9.475000000000001,False,32,0,True,0,0.0,,,,
deep,persistence,roll,100,10.0,434304,3.793711335438843,1.8813973293221398,3.793711335438843,0.0,3.6900743810329235,1.0280853293740138,384,0.0,0.0,id,9.995019546171799,10.0,0.007285466355497656,9.45,False,32,0,True,0,0.0,,,,
deep,persistence,roll,150,15.0,434304,5.251935256462554,2.7772202327352713,5.251935256462554,0.0,3.6937274583324062,1.4218524013229785,384,0.0,0.0,id,14.9954458433328,15.0,0.00701151358606766,9.475,False,32,0,True,0,0.0,,,,
deep,persistence,pitch,10,1.0,434304,0.8963189522817477,0.566439951063036,0.8963189522817477,0.0,1.2413165389175655,0.7220712237213422,384,0.0,0.0,id,0.9966177782651855,1.0,0.0031472662276338997,7.725,True,32,0,True,0,0.0,,,,
deep,persistence,pitch,20,2.0,434304,1.6396866224861668,1.0364395185752229,1.6396866224861668,0.0,1.2413790185919036,1.3208589785463456,384,0.0,0.0,id,1.9968325899893282,2.0,0.0037171408935616945,7.725,False,32,0,True,0,0.0,,,,
deep,persistence,pitch,30,3.0,434304,2.1223575061775537,1.3392454379687988,2.1223575061775537,0.0,1.2413993725281671,1.7096492499873548,384,0.0,0.0,id,2.9968528711007845,3.0,0.0036207742198977075,7.7,False,32,0,True,0,0.0,,,,
deep,persistence,pitch,50,5.0,434304,2.2343246831224586,1.3769632072350333,2.2343246831224586,0.0,1.2415168463730468,1.7996732703626126,384,0.0,0.0,id,4.9972443252453544,5.0,0.0032874315905082846,7.75,False,32,0,True,0,0.0,,,,
deep,persistence,pitch,100,10.0,434304,1.5591545468409598,0.983825040124923,1.5591545468409598,0.0,1.2411836658196425,1.2561835848938105,384,0.0,0.0,id,9.997699060613336,10.0,0.0027594643713545574,7.725,False,32,0,True,0,0.0,,,,
deep,persistence,pitch,150,15.0,434304,1.785131912400982,1.101074990896007,1.785131912400982,0.0,1.2405036351372414,1.439038034099341,384,0.0,0.0,id,14.99687650422594,15.0,0.0031209634242781487,7.75,False,32,0,True,0,0.0,,,,
deep,persistence,heave,10,1.0,434304,0.44174333995484594,0.2931133682116353,0.44174333995484594,0.0,0.7591945699315659,0.5818578760312588,384,0.0,0.0,id,0.9961503174393329,1.0,0.0037888511647934144,8.875,True,32,0,True,0,0.0,,,,
deep,persistence,heave,20,2.0,434304,0.8382135080550518,0.5538148385082536,0.8382135080550518,0.0,0.7592353662201028,1.1040232651807913,384,0.0,0.0,id,1.9958370640052057,2.0,0.0050618422303697255,8.850000000000001,True,32,0,True,0,0.0,,,,
deep,persistence,heave,30,3.0,434304,1.1513183823181896,0.7547539654835521,1.1513183823181896,0.0,0.7592379733777742,1.5164130650579668,384,0.0,0.0,id,2.9958172502988214,3.0,0.006150706384734152,8.850000000000001,False,32,0,True,0,0.0,,,,
