experiment,model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,regime,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name
probabilistic,dlinear_quantile,quantile,384,roll,10,1.0,434304,9,0.1,0.9740435271146478,0.22494810351931954,0.24500303932874637,0.01402332918162245,0.007011664590811231,0.4274310160624816,0.9682108039529914,0.9801642397951665,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,20,2.0,434304,9,0.1,0.964729774535809,1.4119453201085503,1.6045518899925335,0.09178327048700866,0.04589163524350435,0.1508804892425582,0.9571054491784556,0.9729278339596228,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,30,3.0,434304,9,0.1,0.9609351974653699,3.445016527224636,4.037094145157991,0.2597915875052967,0.12989579375264837,0.019357408635425878,0.9525442432029178,0.969703940097259,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,50,5.0,434304,9,0.1,0.9625262488947833,4.16892403421241,4.820552260497249,0.34188470331087323,0.17094235165543661,0.008959162245800177,0.954552341217212,0.970937580588712,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,100,10.0,434304,9,0.1,0.9593740789861479,8.809762711864044,10.19676090647688,0.7804290613939641,0.3902145306969818,0.0009025935750073681,0.9515979590333039,0.9683809612621573,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll,150,15.0,434304,9,0.1,0.9423353227232537,10.944838182640622,13.820343011458828,1.1546782381967693,0.5773391190983842,0.0,0.9318242521367521,0.9541252210433245,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,10,1.0,434304,9,0.1,0.8618663424697908,0.07890792458336152,0.17468574400902553,0.016482961956997617,0.008241480978498812,0.6565654472443265,0.8426322345638079,0.879955284777483,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,20,2.0,434304,9,0.1,0.847885352195697,0.4872859020852328,1.0702253637264707,0.09884573045315223,0.0494228652265761,0.3385992300324197,0.8285518323570586,0.8662182480474506,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,30,3.0,434304,9,0.1,0.8624580938697318,1.1801596355302093,2.2385813620336,0.21312397579219214,0.1065619878960961,0.13916749557913352,0.8452799191349838,0.8789429754273504,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,50,5.0,434304,9,0.1,0.8600979958738579,1.425190000011101,2.6860872382235788,0.25581577713938847,0.12790788856969415,0.06601827291482464,0.8430947562076334,0.8763367940428823,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,100,10.0,434304,9,0.1,0.8575329722959033,3.010519149479464,5.504210155062249,0.5531531376725768,0.27657656883628834,0.008222351164161508,0.8412333296492779,0.873884767351901,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,pitch,150,15.0,434304,9,0.1,0.8758496352785146,3.74005824377002,6.217846439663566,0.6276312676284285,0.31381563381421407,0.0,0.8612263529693487,0.8905174716327734,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,10,1.0,434304,9,0.1,0.9323377173592691,0.04668800702271031,0.06563395655558062,0.00504404524369274,0.0025220226218463696,0.6417256115531977,0.9202867691755084,0.9445874318449748,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,20,2.0,434304,9,0.1,0.9135881778661951,0.29287436975947256,0.47061014543160934,0.036813298363254046,0.01840664918162702,0.24408248600058946,0.8991424785403772,0.928200523135868,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,30,3.0,434304,9,0.1,0.90224819481285,0.7149482197911443,1.264762120587519,0.10506427666945925,0.05253213833472962,0.044646146478043026,0.8862375778256705,0.9183514312555261,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,50,5.0,434304,9,0.1,0.900495965959328,0.8676834165730163,1.5295402014194504,0.14180246720945205,0.07090123360472604,0.03523338491010905,0.8846957430739758,0.9165907981506042,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,100,10.0,434304,9,0.1,0.9017024941055114,1.8289205895637606,2.810400169841146,0.2835751337450408,0.1417875668725204,0.004747826407309166,0.8880136379126141,0.9156079036803714,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,heave,150,15.0,434304,9,0.1,0.8862156461833186,2.2713596166113095,3.7144742019332866,0.3789655573474253,0.1894827786737126,0.000297026967285588,0.8710428064213086,0.901714006778662,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,10,1.0,434304,9,0.1,0.9752385425876805,0.1203516238159972,0.12913142662311095,0.008263673231430213,0.004131836615715107,0.4725491821396994,0.9699420221780136,0.9810747771146477,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,20,2.0,434304,9,0.1,0.9668780393457118,0.7553249299100732,0.8381316631696548,0.052743229940583176,0.026371614970291585,0.16862151856763927,0.9601770303750369,0.9743579382183908,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,30,3.0,434304,9,0.1,0.9635531793398173,1.843077230143557,2.092744882551911,0.14212313024839066,0.07106156512419538,0.021086612142646625,0.9564590125810492,0.971803218482906,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,50,5.0,434304,9,0.1,0.9642117042440318,2.230054128151974,2.5144685362897734,0.1847909579673762,0.09239547898368813,0.006624392130857648,0.9570149020041261,0.9719673892020335,id,0,False,542700,,,,,pinball
probabilistic,dlinear_quantile,quantile,384,roll_rate,100,10.0,434304,9,0.1,0.9575412614205717,4.713231242715607,5.438856371694656,0.439221373222973,0.21961068661148636,0.0007644414972001179,0.9498544222480106,0.9662065626842028,id,0,False,542700,,,,,pinball
