experiment,model,train_seed,regime,observation_mode,threshold_set,rule,group_level,ss,heading_deg,speed_kn,scorable,base_rate,n_true_onsets,n_pred_onsets,n_matched,precision,recall,f1,f1_ci_lo,f1_ci_hi,n_boot,ci_level,bootstrap_seed,false_alarms_per_min,lead_p10,lead_p50,lead_p90,n_realizations,duration_s,n_excluded_true,n_excluded_pred
deep,ar10,0,id,ideal,permissive,point,cell,SS3,45.0,0.0,True,0.9995905172413793,1,9,1,0.1111111111111111,1.0,0.19999999999999998,0.0,0.2,1000,0.95,0,0.10344827586206896,2.5,2.5,2.5,8,4640.0,9,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,45.0,6.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,45.0,12.0,True,0.726875,410,3121,408,0.13072733098365907,0.9951219512195122,0.2310960067969414,0.21996173180835568,0.24433166127774444,1000,0.95,0,35.081896551724135,2.1,4.15,6.830000000000001,8,4640.0,23,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,90.0,0.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,90.0,6.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,90.0,12.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,135.0,0.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,135.0,6.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,135.0,12.0,False,1.0,0,0,0,,,,,,1000,0.95,0,0.0,,,,8,4640.0,8,0
deep,ar10,0,id,ideal,permissive,point,cell,SS3,180.0,0.0,True,0.9978879310344828,8,44,7,0.1590909090909091,0.875,0.26923076923076916,0.06037296037296059,0.3809791332263242,1000,0.95,0,0.47844827586206895,1.12,3.0,3.18,8,4640.0,17,0
