vessel,ss,heading_deg,speed_kn,threshold_set,n_realizations,base_rate,raw_onsets_per_realization,scorable_onsets_per_realization,duration_s,scorable
frigate,SS3,45.0,0.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,45.0,0.0,strict,6,0.9460555555555556,7.833333333333333,5.833333333333333,600.0,True
frigate,SS3,45.0,6.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,45.0,6.0,strict,6,0.8630555555555555,12.833333333333334,11.166666666666666,600.0,True
frigate,SS3,45.0,12.0,permissive,6,0.7680833333333333,45.5,44.5,600.0,True
frigate,SS3,45.0,12.0,strict,6,0.23611111111111113,13.333333333333334,13.0,600.0,True
frigate,SS3,90.0,0.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,90.0,0.0,strict,6,1.0,1.0,0.0,600.0,False
frigate,SS3,90.0,6.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,90.0,6.0,strict,6,0.9973333333333333,1.1666666666666667,0.0,600.0,False
frigate,SS3,90.0,12.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,90.0,12.0,strict,6,1.0,1.0,0.0,600.0,False
frigate,SS3,135.0,0.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,135.0,0.0,strict,6,0.927611111111111,6.333333333333333,4.333333333333333,600.0,True
frigate,SS3,135.0,6.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,135.0,6.0,strict,6,0.9574722222222224,3.6666666666666665,1.8333333333333333,600.0,True
frigate,SS3,135.0,12.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,135.0,12.0,strict,6,0.99775,1.8333333333333333,0.16666666666666666,600.0,True
frigate,SS3,180.0,0.0,permissive,6,0.9978055555555555,1.6666666666666667,0.5,600.0,True
frigate,SS3,180.0,0.0,strict,6,0.7093611111111112,13.666666666666666,12.333333333333334,600.0,True
frigate,SS3,180.0,6.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,180.0,6.0,strict,6,0.876388888888889,10.833333333333334,9.5,600.0,True
frigate,SS3,180.0,12.0,permissive,6,1.0,1.0,0.0,600.0,False
frigate,SS3,180.0,12.0,strict,6,0.9864722222222221,3.0,1.3333333333333333,600.0,True
frigate,SS4,45.0,0.0,permissive,6,0.9603333333333333,14.166666666666666,12.5,600.0,True
frigate,SS4,45.0,0.0,strict,6,0.4642777777777778,18.166666666666668,17.5,600.0,True
frigate,SS4,45.0,6.0,permissive,6,0.764611111111111,37.666666666666664,36.0,600.0,True
frigate,SS4,45.0,6.0,strict,6,0.2254722222222222,11.666666666666666,11.5,600.0,True
frigate,SS4,45.0,12.0,permissive,6,0.31105555555555553,32.166666666666664,32.166666666666664,600.0,True
frigate,SS4,45.0,12.0,strict,6,0.06661111111111111,4.166666666666667,4.166666666666667,600.0,True
frigate,SS4,90.0,0.0,permissive,6,0.9611944444444444,14.333333333333334,12.333333333333334,600.0,True
frigate,SS4,90.0,0.0,strict,6,0.5381111111111111,20.333333333333332,19.333333333333332,600.0,True
frigate,SS4,90.0,6.0,permissive,6,0.9611944444444444,15.333333333333334,13.5,600.0,True
frigate,SS4,90.0,6.0,strict,6,0.5371388888888889,22.0,20.833333333333332,600.0,True
frigate,SS4,90.0,12.0,permissive,6,0.9660000000000001,13.0,11.166666666666666,600.0,True
frigate,SS4,90.0,12.0,strict,6,0.5389166666666667,19.333333333333332,18.833333333333332,600.0,True
frigate,SS4,135.0,0.0,permissive,6,0.9588888888888888,16.666666666666668,14.666666666666666,600.0,True
frigate,SS4,135.0,0.0,strict,6,0.40136111111111106,18.166666666666668,17.833333333333332,600.0,True
frigate,SS4,135.0,6.0,permissive,6,0.9790555555555556,10.166666666666666,8.5,600.0,True
frigate,SS4,135.0,6.0,strict,6,0.5334722222222222,19.5,18.833333333333332,600.0,True
frigate,SS4,135.0,12.0,permissive,6,0.9907222222222223,4.666666666666667,2.8333333333333335,600.0,True
frigate,SS4,135.0,12.0,strict,6,0.6493611111111112,18.666666666666668,17.333333333333332,600.0,True
frigate,SS4,180.0,0.0,permissive,6,0.8696666666666667,33.5,32.5,600.0,True
frigate,SS4,180.0,0.0,strict,6,0.3519722222222222,18.0,17.666666666666668,600.0,True
frigate,SS4,180.0,6.0,permissive,6,0.8746111111111111,23.833333333333332,22.333333333333332,600.0,True
frigate,SS4,180.0,6.0,strict,6,0.414,20.0,19.166666666666668,600.0,True
frigate,SS4,180.0,12.0,permissive,6,0.9546944444444444,15.166666666666666,13.166666666666666,600.0,True
frigate,SS4,180.0,12.0,strict,6,0.5243333333333333,23.166666666666668,22.166666666666668,600.0,True
frigate,SS5,45.0,0.0,permissive,6,0.5596388888888889,37.0,36.166666666666664,600.0,True
frigate,SS5,45.0,0.0,strict,6,0.08041666666666665,8.166666666666666,8.166666666666666,600.0,True
frigate,SS5,45.0,6.0,permissive,6,0.23961111111111114,25.333333333333332,25.0,600.0,True
frigate,SS5,45.0,6.0,strict,6,0.03911111111111111,2.6666666666666665,2.6666666666666665,600.0,True
frigate,SS5,45.0,12.0,permissive,6,0.14461111111111113,22.333333333333332,21.833333333333332,600.0,True
frigate,SS5,45.0,12.0,strict,6,0.005444444444444444,0.16666666666666666,0.16666666666666666,600.0,True
frigate,SS5,90.0,0.0,permissive,6,0.4964166666666667,47.5,46.666666666666664,600.0,True
frigate,SS5,90.0,0.0,strict,6,0.09141666666666666,6.833333333333333,6.666666666666667,600.0,True
frigate,SS5,90.0,6.0,permissive,6,0.5111388888888889,45.5,45.333333333333336,600.0,True
frigate,SS5,90.0,6.0,strict,6,0.09683333333333333,7.666666666666667,7.666666666666667,600.0,True
frigate,SS5,90.0,12.0,permissive,6,0.5163611111111112,42.833333333333336,42.0,600.0,True
frigate,SS5,90.0,12.0,strict,6,0.09919444444444443,7.666666666666667,7.5,600.0,True
frigate,SS5,135.0,0.0,permissive,6,0.5449722222222221,36.166666666666664,35.5,600.0,True
frigate,SS5,135.0,0.0,strict,6,0.07958333333333333,7.833333333333333,7.666666666666667,600.0,True
frigate,SS5,135.0,6.0,permissive,6,0.7248055555555556,29.0,28.0,600.0,True
frigate,SS5,135.0,6.0,strict,6,0.23725,14.666666666666666,14.666666666666666,600.0,True
frigate,SS5,135.0,12.0,permissive,6,0.75725,25.166666666666668,23.833333333333332,600.0,True
frigate,SS5,135.0,12.0,strict,6,0.26369444444444445,17.166666666666668,16.833333333333332,600.0,True
frigate,SS5,180.0,0.0,permissive,6,0.49747222222222226,39.0,38.0,600.0,True
frigate,SS5,180.0,0.0,strict,6,0.13574999999999998,11.166666666666666,10.833333333333334,600.0,True
frigate,SS5,180.0,6.0,permissive,6,0.5545833333333333,35.5,35.0,600.0,True
frigate,SS5,180.0,6.0,strict,6,0.13661111111111113,12.666666666666666,12.333333333333334,600.0,True
frigate,SS5,180.0,12.0,permissive,6,0.6117777777777778,33.333333333333336,32.666666666666664,600.0,True
frigate,SS5,180.0,12.0,strict,6,0.2034166666666667,15.166666666666666,15.0,600.0,True
frigate,SS6,45.0,0.0,permissive,6,0.1401388888888889,18.833333333333332,18.833333333333332,600.0,True
frigate,SS6,45.0,0.0,strict,6,0.0036666666666666666,0.3333333333333333,0.3333333333333333,600.0,True
frigate,SS6,45.0,6.0,permissive,6,0.20958333333333334,23.333333333333332,23.333333333333332,600.0,True
frigate,SS6,45.0,6.0,strict,6,0.019944444444444445,1.5,1.5,600.0,True
frigate,SS6,45.0,12.0,permissive,6,0.22666666666666668,24.166666666666668,23.833333333333332,600.0,True
frigate,SS6,45.0,12.0,strict,6,0.020833333333333332,2.1666666666666665,2.1666666666666665,600.0,True
frigate,SS6,90.0,0.0,permissive,6,0.0811111111111111,10.333333333333334,10.333333333333334,600.0,True
frigate,SS6,90.0,0.0,strict,6,0.005638888888888889,0.6666666666666666,0.6666666666666666,600.0,True
frigate,SS6,90.0,6.0,permissive,6,0.104,12.833333333333334,12.833333333333334,600.0,True
frigate,SS6,90.0,6.0,strict,6,0.011361111111111112,1.3333333333333333,1.3333333333333333,600.0,True
frigate,SS6,90.0,12.0,permissive,6,0.08213888888888889,10.666666666666666,10.666666666666666,600.0,True
frigate,SS6,90.0,12.0,strict,6,0.0020277777777777777,0.3333333333333333,0.3333333333333333,600.0,True
frigate,SS6,135.0,0.0,permissive,6,0.1525,19.333333333333332,19.166666666666668,600.0,True
frigate,SS6,135.0,0.0,strict,6,0.011611111111111112,0.8333333333333334,0.8333333333333334,600.0,True
frigate,SS6,135.0,6.0,permissive,6,0.21783333333333332,29.666666666666668,29.333333333333332,600.0,True
frigate,SS6,135.0,6.0,strict,6,0.006027777777777778,0.8333333333333334,0.8333333333333334,600.0,True
frigate,SS6,135.0,12.0,permissive,6,0.3325555555555556,34.666666666666664,34.0,600.0,True
frigate,SS6,135.0,12.0,strict,6,0.022444444444444444,2.8333333333333335,2.8333333333333335,600.0,True
frigate,SS6,180.0,0.0,permissive,6,0.3405277777777778,26.166666666666668,25.833333333333332,600.0,True
frigate,SS6,180.0,0.0,strict,6,0.06577777777777778,7.0,6.833333333333333,600.0,True
frigate,SS6,180.0,6.0,permissive,6,0.3171388888888889,25.833333333333332,25.0,600.0,True
frigate,SS6,180.0,6.0,strict,6,0.056416666666666664,6.166666666666667,6.0,600.0,True
frigate,SS6,180.0,12.0,permissive,6,0.3251944444444444,26.0,25.666666666666668,600.0,True
frigate,SS6,180.0,12.0,strict,6,0.07091666666666667,7.833333333333333,7.833333333333333,600.0,True
