arm,arm_source,reference_source,regimes,model,quantity,n_rows,n_differing,max_abs_diff,max_rel_diff,tol,bitwise_identical
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",any,mae_mean,360,62,3.420353767991102e-07,3.221276770283317e-06,1e-09,False
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",ar20,mae_mean,72,62,3.420353767991102e-07,3.221276770283317e-06,1e-09,False
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",damped_persistence,mae_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",dlinear_ols,mae_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",persistence,mae_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",window_mean,mae_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",any,nrmse_mean,360,71,1.0149714379181773e-05,3.950842923627518e-06,1e-09,False
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",ar20,nrmse_mean,72,71,1.0149714379181773e-05,3.950842923627518e-06,1e-09,False
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",damped_persistence,nrmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",dlinear_ols,nrmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",persistence,nrmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",window_mean,nrmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",any,rmse_mean,360,70,6.673884959673693e-07,3.9508429240152405e-06,1e-09,False
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",ar20,rmse_mean,72,70,6.673884959673693e-07,3.9508429240152405e-06,1e-09,False
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",damped_persistence,rmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",dlinear_ols,rmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",persistence,rmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",window_mean,rmse_mean,72,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",any,rmse_persistence,360,0,0.0,0.0,1e-09,True
e04f_revin_ood,e04/e04f_revin_ood/baselines.csv,e02/baselines.csv,"unseen_heading,unseen_vessel",ar20,rmse_persistence,72,0,0.0,0.0,1e-09,True
