model,head,n_realizations,dof,horizon_samples,horizon_s,n_windows,n_quantiles,alpha,picp,mean_interval_width,winkler,crps,pinball,crossing_rate,picp_ci_lo,picp_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,val_loss_name,regime,signal_std
dlinear_quantile_conformal,quantile,384,roll,10,1.0,434304,9,0.1,0.9020478743000294,0.09053569301911248,0.15578533356448993,0.011848146556380385,0.0059240732781901916,0.0,0.8855376072981138,0.9199573340333039,0,False,543600,,,,,conformal,id,3.682816873957597
dlinear_quantile_conformal,quantile,384,roll,20,2.0,434304,9,0.1,0.9017784777483053,0.6276388548297086,1.0998901187912755,0.08021745446533385,0.04010872723266689,0.0,0.8849287595785441,0.9197178704317713,0,False,543600,,,,,conformal,id,3.683691963859013
dlinear_quantile_conformal,quantile,384,roll,30,3.0,434304,9,0.1,0.9022527998821103,1.8069122378396711,3.196585615797647,0.24050207016951994,0.12025103508476001,0.0,0.885212892351901,0.920083858311229,0,False,543600,,,,,conformal,id,3.6845301229084
dlinear_quantile_conformal,quantile,384,roll,50,5.0,434304,9,0.1,0.8986907788093133,2.2222556439355077,3.9861531076447108,0.3206939288456068,0.1603469644228034,0.0,0.8818201075744179,0.9169244929818745,0,False,543600,,,,,conformal,id,3.685983647312865
dlinear_quantile_conformal,quantile,384,roll,100,10.0,434304,9,0.1,0.8996417256115532,5.2576487910248915,8.71419296800801,0.7384172170249171,0.3692086085124587,0.0,0.8838406392757147,0.9173783225574712,0,False,543600,,,,,conformal,id,3.690074381032924
dlinear_quantile_conformal,quantile,384,roll,150,15.0,434304,9,0.1,0.8991720085470085,7.880323598529587,13.03970243082661,1.1275561606705087,0.5637780803352541,0.0,0.8830498913203655,0.91690313697318,0,False,543600,,,,,conformal,id,3.6937274583324062
dlinear_quantile_conformal,quantile,384,pitch,10,1.0,434304,9,0.1,0.9040142388741527,0.10033438860510477,0.16584677318865368,0.016284425297549893,0.008142212648774953,0.0,0.8886164414787798,0.9182296847369584,0,False,543600,,,,,conformal,id,1.2413165389175655
dlinear_quantile_conformal,quantile,384,pitch,20,2.0,434304,9,0.1,0.9019787982611258,0.6637430504204641,1.0331194370900143,0.09782169345746793,0.048910846728734,0.0,0.8879004107721781,0.9150136194923372,0,False,543600,,,,,conformal,id,1.2413790185919036
dlinear_quantile_conformal,quantile,384,pitch,30,3.0,434304,9,0.1,0.9030748047450634,1.4770488616724313,2.2215644777144368,0.21237770278835677,0.10618885139417843,0.0,0.8899304979921898,0.9161611451886237,0,False,543600,,,,,conformal,id,1.2413993725281671
dlinear_quantile_conformal,quantile,384,pitch,50,5.0,434304,9,0.1,0.9010439692012968,1.769785920696986,2.6567038216362255,0.2548647662693071,0.12743238313465352,0.0,0.8874541219974948,0.914071825265252,0,False,543600,,,,,conformal,id,1.2415168463730468
dlinear_quantile_conformal,quantile,384,pitch,100,10.0,434304,9,0.1,0.902342598732685,3.7142275987846274,5.3907675783145885,0.5502120494469992,0.27510602472349954,0.0,0.889941665285146,0.9149200214596227,0,False,543600,,,,,conformal,id,1.2411836658196425
dlinear_quantile_conformal,quantile,384,pitch,150,15.0,434304,9,0.1,0.9031899314765695,4.2715917683458455,6.16717129408477,0.6262876987054457,0.31314384935272277,0.0,0.8910035942565576,0.9155940884725906,0,False,543600,,,,,conformal,id,1.2405036351372414
dlinear_quantile_conformal,quantile,384,heave,10,1.0,434304,9,0.1,0.8965839596227527,0.03433868587854922,0.06069351347632388,0.004959355685852381,0.0024796778429261907,0.0,0.8807268641320365,0.9128323133104922,0,False,543600,,,,,conformal,id,0.7591945699315659
dlinear_quantile_conformal,quantile,384,heave,20,2.0,434304,9,0.1,0.8979815981432361,0.25654942524156693,0.4593632322548242,0.036676904022466754,0.018338452011233384,0.0,0.8818761742926613,0.9143239528072502,0,False,543600,,,,,conformal,id,0.7592353662201028
dlinear_quantile_conformal,quantile,384,heave,30,3.0,434304,9,0.1,0.8960014183613322,0.6844443114255722,1.2626120265515146,0.10505530174457933,0.05252765087228971,0.0,0.8791995353485116,0.9128289170719128,0,False,543600,,,,,conformal,id,0.7592379733777742
dlinear_quantile_conformal,quantile,384,heave,50,5.0,434304,9,0.1,0.8972655098732685,0.8499418801449103,1.5323799883189244,0.14188055809911718,0.07094027904955857,0.0,0.8809675941276156,0.9137747982979664,0,False,543600,,,,,conformal,id,0.7593097520603712
dlinear_quantile_conformal,quantile,384,heave,100,10.0,434304,9,0.1,0.8992871352785146,1.8061222219291793,2.811179600501616,0.2836433327902049,0.1418216663951025,0.0,0.8854362957743884,0.9134729360079576,0,False,543600,,,,,conformal,id,0.7591324816869609
dlinear_quantile_conformal,quantile,384,heave,150,15.0,434304,9,0.1,0.8990016209843796,2.4235694838536657,3.696425371230802,0.37832343500710736,0.1891617175035536,0.0,0.8853009067381373,0.913073100869437,0,False,543600,,,,,conformal,id,0.758700750262978
dlinear_quantile_conformal,quantile,384,roll_rate,10,1.0,434304,9,0.1,0.8996532382847038,0.05470718993419813,0.0856301525751843,0.007379085866515545,0.0036895429332577724,0.0,0.8853005037945771,0.9146834360263778,0,False,543600,,,,,conformal,id,1.9695482829582032
dlinear_quantile_conformal,quantile,384,roll_rate,20,2.0,434304,9,0.1,0.9003900493663425,0.37093747196271226,0.5863602808827978,0.048017748370739036,0.024008874185369518,0.0,0.8858590986958444,0.9158768972885352,0,False,543600,,,,,conformal,id,1.969895124963157
dlinear_quantile_conformal,quantile,384,roll_rate,30,3.0,434304,9,0.1,0.9008068081343943,0.9961104908447787,1.6249183331880628,0.13342586051144725,0.06671293025572363,0.0,0.8856454810455349,0.9180554979921898,0,False,543600,,,,,conformal,id,1.9702531268505945
dlinear_quantile_conformal,quantile,384,roll_rate,50,5.0,434304,9,0.1,0.9031599985263778,1.2784274344416198,2.035554065682856,0.1750927057374967,0.08754635286874841,0.0,0.8882273706896552,0.9200576094164457,0,False,543600,,,,,conformal,id,1.9711142946671736
