regime,model,seed,dof,horizon_samples,gamma,gamma_realization,alpha,n_windows_total,n_windows_used,n_realizations,window_stride,order_index,n_degenerate_cells,fitted_on,norm_stats_fitted_on,calibration_time_s
id,dlinear_quantile,0,roll,10,0.40247368812561035,0.3653712272644043,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch,10,1.2715375423431396,0.9029623866081238,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave,10,0.7354926466941833,0.472323477268219,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll_rate,10,0.4545612931251526,0.324615478515625,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch_rate,10,1.6938587427139282,1.3933134078979492,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave_rate,10,0.8123406767845154,0.5115265250205994,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll,20,0.44452065229415894,0.37350624799728394,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch,20,1.3621224164962769,0.92783123254776,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave,20,0.8759709000587463,0.5622183084487915,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll_rate,20,0.491096556186676,0.32529568672180176,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch_rate,20,1.8589494228363037,1.4644758701324463,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave_rate,20,0.9064415693283081,0.5771945714950562,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll,30,0.52450031042099,0.451454758644104,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch,30,1.251567006111145,0.8415650129318237,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave,30,0.9573341012001038,0.6770181059837341,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll_rate,30,0.5404605269432068,0.39968782663345337,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch_rate,30,1.5994880199432373,1.2145462036132812,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave_rate,30,0.9451772570610046,0.5565906167030334,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll,50,0.5330525636672974,0.44129154086112976,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch,50,1.24178946018219,0.8590552806854248,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave,50,0.9795529842376709,0.6828451156616211,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll_rate,50,0.5732719302177429,0.43862298130989075,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch_rate,50,1.5922281742095947,1.1922869682312012,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave_rate,50,0.9900941252708435,0.6258824467658997,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll,100,0.5967980027198792,0.45069581270217896,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch,100,1.2337498664855957,0.8622255921363831,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave,100,0.9875345230102539,0.6461932063102722,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll_rate,100,0.6443740129470825,0.4611935019493103,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch_rate,100,1.3864270448684692,0.9782726764678955,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave_rate,100,1.045680284500122,0.6668235659599304,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll,150,0.7200036644935608,0.5947301983833313,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch,150,1.14211905002594,0.7990734577178955,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave,150,1.0670126676559448,0.7361754179000854,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,roll_rate,150,0.7636394500732422,0.5877096056938171,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,pitch_rate,150,1.1558809280395508,0.8090305924415588,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,0,heave_rate,150,1.093336582183838,0.7295114398002625,0.1,271440,24677,240,11,22211,0,id/val,id/train,14.969323147000978
id,dlinear_quantile,1,roll,10,0.35000646114349365,0.28996431827545166,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch,10,1.1798205375671387,0.8341541290283203,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave,10,0.6786422729492188,0.4395509958267212,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,roll_rate,10,0.4122682511806488,0.2820190489292145,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch_rate,10,1.6233887672424316,1.3575778007507324,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave_rate,10,0.7461931109428406,0.47221243381500244,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,roll,20,0.42632150650024414,0.3552677631378174,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch,20,1.2930916547775269,0.9085361957550049,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave,20,0.8306898474693298,0.5450875759124756,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,roll_rate,20,0.4752044081687927,0.319042444229126,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,pitch_rate,20,1.7925746440887451,1.4256043434143066,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
id,dlinear_quantile,1,heave_rate,20,0.8597949147224426,0.5505661368370056,0.1,271440,24677,240,11,22211,0,id/val,id/train,16.04638675300157
