table_id,section,source,source_exists,csv_rows_stated,csv_rows_actual,rows_stated,rows_rendered,filtered,has_f1,has_base_rate,has_picp,has_width,has_horizon,line,problems
core_metrics,6.1,e04/metrics_full.csv,True,6192,6192,3312,3312,True,False,False,False,False,True,45,
quiescence_detection,6.2,e04/quiescence.csv,True,17290,17290,8778,8778,True,True,True,False,False,False,3383,
quiescence_base_rate,6.2,e04/quiescence.csv,True,17290,17290,240,240,True,False,True,False,False,False,12171,
quiescence_lead_time,6.2,e04/quiescence.csv,True,17290,17290,8778,8778,True,False,True,False,False,False,12421,
ablation_channels,6.3,e04/ablations.csv,True,5149,5149,396,396,True,False,False,False,False,True,21227,
ablation_lookback,6.3,e04/ablations.csv,True,5149,5149,1584,1584,True,False,False,False,False,True,21633,
ablation_normalization,6.3,e04/ablations.csv,True,5149,5149,72,72,True,False,False,False,False,True,23227,
ablation_observation_mode,6.3,e04/ablations.csv,True,5149,5149,792,792,True,False,False,False,False,True,23309,
ablation_ss_conditioning,6.3,e04/ablations.csv,True,5149,5149,792,792,True,False,False,False,False,True,24111,
ablation_not_fittable,6.3,e04/ablations.csv,True,5149,5149,1,1,True,False,False,False,False,False,24913,
ablation_revin_closed_form,6.3,e04/ablations.csv,True,5149,5149,720,720,True,False,False,False,False,True,24924,
reference_reproducibility,6.3,e04/reference_reproducibility.csv,True,36,36,36,36,False,False,False,False,False,False,25650,
probabilistic_floor,6.4,e04/probabilistic_baseline.csv,True,144,144,144,144,True,False,False,True,True,True,25698,
probabilistic_heads,6.4,e03/probabilistic.csv,True,864,864,864,864,True,False,False,True,True,True,25852,
probabilistic_head_minus_floor,6.4,e03/probabilistic.csv,True,864,864,864,864,True,False,False,True,True,True,26728,
controls_point_asserted,controls,e04/controls.csv,True,1728,1728,51,51,True,False,False,False,False,False,27614,
controls_point_reported_only,controls,e04/controls.csv,True,1728,1728,6,6,True,False,False,False,False,False,27675,
controls_interval_asserted,controls,e04/interval_controls.csv,True,864,864,21,21,True,False,False,False,False,False,27689,
controls_interval_reported_only,controls,e04/interval_controls.csv,True,864,864,13,13,True,False,False,False,False,False,27722,
pipeline_sanity,controls,e04/pipeline_sanity.csv,True,288,288,288,288,False,False,False,False,False,True,27745,
