model,seed,vessel,ss,heading_deg,speed_kn,dof,horizon_samples,horizon_s,n_realizations,n_windows,rmse,mae,rmse_persistence,skill,sse,sae,sse_persistence,regime
ar10,0,frigate,SS3,45.0,0.0,heave_imu,10,1.0,8,9048,0.0014283257241338525,0.0011394907831118353,0.09594817541625018,0.9997783942244537,0.018458954857965126,10.310112605595886,83.29636180492162,id
ar10,0,frigate,SS3,45.0,0.0,heave_imu,20,2.0,8,9048,0.010528523371082352,0.008412340920654137,0.17698304982173343,0.9964610731844437,1.0029690299888663,76.11486065007863,283.4105033141813,id
ar10,0,frigate,SS3,45.0,0.0,heave_imu,30,3.0,8,9048,0.033944589702231055,0.02712253293471747,0.23083890154623274,0.9783766424729693,10.42542381863783,245.40467799332367,482.13714293006143,id
ar10,0,frigate,SS3,45.0,0.0,heave_imu,50,5.0,8,9048,0.09479192204732872,0.07565770610048018,0.23311359237811238,0.8346487568165681,81.30088077614211,684.5509247971447,491.68593601652714,id
ar10,0,frigate,SS3,45.0,0.0,heave_imu,100,10.0,8,9048,0.14472847096132554,0.11543818511515659,0.1710835165575444,0.28436493716576616,189.5223966159558,1044.4846989219368,264.8310660818695,id
ar10,0,frigate,SS3,45.0,0.0,heave_imu,150,15.0,8,9048,0.17931360745826055,0.14279396966361524,0.15506277630167023,-0.33724623783920915,290.9236901286018,1291.9998375163907,217.55431564996672,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate_imu,10,1.0,8,9048,0.0038353147134116616,0.003062481761404765,0.07638628248647396,0.9974790091821402,0.13309281322785155,27.709334977190313,52.79385084823154,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate_imu,20,2.0,8,9048,0.018243471539184777,0.014570407357991672,0.1403620151242942,0.9831066500838564,3.011393848391855,131.83304577510864,178.25912938168142,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate_imu,30,3.0,8,9048,0.039791159760731463,0.03174806156522262,0.1817483129418059,0.9520672420389992,14.32602770290149,287.2564610421343,298.8776008790788,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate_imu,50,5.0,8,9048,0.05300393019442041,0.042474135721516544,0.1780969607226386,0.911426637845618,25.419601542065564,384.30598000828167,286.9892360838644,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate_imu,100,10.0,8,9048,0.08818221264446474,0.07001185945508773,0.14233815439314415,0.6161873159069182,70.35817656795231,633.4673043496338,183.3138389738291,id
ar10,0,frigate,SS3,45.0,0.0,heave_rate_imu,150,15.0,8,9048,0.1127421078178728,0.08941190045791092,0.11181005815183684,-0.016741507316447635,115.00716345496213,808.998875343178,113.11347341224226,id
ar10,0,frigate,SS3,45.0,0.0,pitch_imu,10,1.0,8,9048,0.06082060168879973,0.04853854190329128,0.40390359925312685,0.9773250688023738,33.469869296398464,439.1767271409795,1476.0736870461765,id
ar10,0,frigate,SS3,45.0,0.0,pitch_imu,20,2.0,8,9048,0.17196184657440836,0.13716090116604646,0.7319907028425656,0.944810930729016,267.55729217603266,1241.0318337503884,4848.01240010588,id
ar10,0,frigate,SS3,45.0,0.0,pitch_imu,30,3.0,8,9048,0.26076351726208336,0.2078562088173643,0.9275949661858474,0.9209727455031447,615.2423927869105,1880.6829773795123,7785.192547861989,id
ar10,0,frigate,SS3,45.0,0.0,pitch_imu,50,5.0,8,9048,0.22770176972596387,0.18252516793684845,0.8322459885396782,0.9251435217732537,469.121572031967,1651.4877194926048,6266.9468714646155,id
ar10,0,frigate,SS3,45.0,0.0,pitch_imu,100,10.0,8,9048,0.44053009182949954,0.3521321223220208,0.8036924709691043,0.6995505871842322,1755.9160608325162,3186.091442769644,5844.298527250658,id
ar10,0,frigate,SS3,45.0,0.0,pitch_imu,150,15.0,8,9048,0.49209084376438517,0.39085988290083035,0.5095510778250288,0.0673576775988739,2191.0039497795046,3536.500220486713,2349.243538657644,id
ar10,0,frigate,SS3,45.0,0.0,pitch_rate_imu,10,1.0,8,9048,0.09301826847601627,0.07441817354208476,0.35082817351957285,0.9297012541832058,78.28689954945943,673.3356342087828,1113.6315255677994,id
ar10,0,frigate,SS3,45.0,0.0,pitch_rate_imu,20,2.0,8,9048,0.1306124238314681,0.10402781616148374,0.6323653959188964,0.9573388277734415,154.35530838461776,941.2436806291048,3618.168473310836,id
ar10,0,frigate,SS3,45.0,0.0,pitch_rate_imu,30,3.0,8,9048,0.11834865498237918,0.09437262925801164,0.7935531743593712,0.9777579615748507,126.72994462377864,853.8835495264893,5697.766643568231,id
ar10,0,frigate,SS3,45.0,0.0,pitch_rate_imu,50,5.0,8,9048,0.2761657964921196,0.2208515645404137,0.6849799273647837,0.8374510797542076,690.0687666324434,1998.264955961663,4245.298988076828,id
ar10,0,frigate,SS3,45.0,0.0,pitch_rate_imu,100,10.0,8,9048,0.3971864111580607,0.317385521975345,0.7023471851287795,0.6801951314480059,1427.3857450475941,2871.7042028329215,4463.30211141088,id
ar10,0,frigate,SS3,45.0,0.0,pitch_rate_imu,150,15.0,8,9048,0.41637339454926764,0.33185990539732896,0.44103147200758014,0.10869410554389014,1568.622839773368,3002.6684240350323,1759.9152541570127,id
ar10,0,frigate,SS3,45.0,0.0,roll_imu,10,1.0,8,9048,0.048661995138866855,0.03891301636067426,0.2230177574797324,0.9523896983630631,21.42557144705888,352.08497203138074,450.01965352886054,id
ar10,0,frigate,SS3,45.0,0.0,roll_imu,20,2.0,8,9048,0.14226983414674454,0.11395025254916934,0.40910283328127767,0.8790625865377188,183.13790524727062,1031.0218850648841,1514.3196799424609,id
ar10,0,frigate,SS3,45.0,0.0,roll_imu,30,3.0,8,9048,0.28254852237791905,0.2264836992575975,0.5334955250971353,0.7195053908261584,722.3350235214102,2049.2245108827424,2575.2189165023487,id
ar10,0,frigate,SS3,45.0,0.0,roll_imu,50,5.0,8,9048,0.3812253521104558,0.3039166902344088,0.5476512289914394,0.5154312362667497,1314.9708947420722,2749.838213240931,2713.6930672360654,id
ar10,0,frigate,SS3,45.0,0.0,roll_imu,100,10.0,8,9048,0.5004251529457132,0.3974254529006756,0.3889887227385625,-0.6550237851190392,2265.8484193242994,3595.9054978453128,1369.0730246280575,id
ar10,0,frigate,SS3,45.0,0.0,roll_imu,150,15.0,8,9048,0.6388204047538684,0.5085120496699574,0.3991798275163437,-1.5610637371938507,3692.4119782265016,4601.017025413775,1441.7493499292077,id
ar10,0,frigate,SS3,45.0,0.0,roll_rate_imu,10,1.0,8,9048,0.07090768567880956,0.05669150276080924,0.17799674251093434,0.8413052670261282,45.49243818956328,512.944716979802,286.6663394370709,id
ar10,0,frigate,SS3,45.0,0.0,roll_rate_imu,20,2.0,8,9048,0.137601542207116,0.11012503238816998,0.32333445130649596,0.818889912481275,171.31650061204382,996.411293048162,945.9246746503355,id
ar10,0,frigate,SS3,45.0,0.0,roll_rate_imu,30,3.0,8,9048,0.15138225560331292,0.12058041423367961,0.41670834306304444,0.8680268591974895,207.34928199487518,1091.011587986333,1571.1475890776921,id
ar10,0,frigate,SS3,45.0,0.0,roll_rate_imu,50,5.0,8,9048,0.14753635318492794,0.11849835826681719,0.4075812642557617,0.8689703248017588,196.94759442450334,1072.173145598162,1503.076262125597,id
ar10,0,frigate,SS3,45.0,0.0,roll_rate_imu,100,10.0,8,9048,0.2718112609071105,0.2173976722286902,0.32584792159972603,0.30416706632977997,668.4785593579035,1967.014138325189,960.6883017622722,id
ar10,0,frigate,SS3,45.0,0.0,roll_rate_imu,150,15.0,8,9048,0.2999849969323683,0.23806682161089032,0.2819234917685087,-0.13223490292938944,814.2385533830738,2154.0286019353357,719.1427779486612,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,10,1.0,8,9048,0.001040810363939675,0.000829175752236136,0.09594817541625018,0.9998823289103026,0.00980157366141499,7.502382206232559,83.29636180492162,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,20,2.0,8,9048,0.008443547657265942,0.006741740286429281,0.17698304982173343,0.9977239250003818,0.6450635612226358,60.99926611161214,283.4105033141813,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,30,3.0,8,9048,0.027743500353109126,0.022105166374659924,0.23083890154623274,0.9855554335614309,6.964261993555159,200.007545357923,482.13714293006143,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,50,5.0,8,9048,0.07055348338739016,0.056036753210369265,0.23311359237811238,0.908398680994188,45.0390802757212,507.0205430474211,491.68593601652714,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,100,10.0,8,9048,0.15365310767829063,0.12244463337806334,0.1710835165575444,0.19338487748755406,213.61674281272883,1107.879042804717,264.8310660818695,id
ar20,0,frigate,SS3,45.0,0.0,heave_imu,150,15.0,8,9048,0.18581659336922524,0.14793311651314975,0.15506277630167023,-0.4359981373597186,312.4075920479205,1338.4988382109789,217.55431564996672,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,10,1.0,8,9048,0.0031846597413120337,0.002543608472202883,0.07638628248647396,0.9982618176870017,0.09176533777946348,23.014569456491685,52.79385084823154,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,20,2.0,8,9048,0.015503862549976374,0.012363260155961198,0.1403620151242942,0.9877994157076198,2.17486553390753,111.86277789113691,178.25912938168142,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,30,3.0,8,9048,0.03312900681637111,0.026336624205036536,0.1817483129418059,0.9667741533758601,9.930461326199152,238.2937758071706,298.8776008790788,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,50,5.0,8,9048,0.04242040311040706,0.03401594545648819,0.1780969607226386,0.9432668933113248,16.28179094924727,307.7762744903052,286.9892360838644,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,100,10.0,8,9048,0.0930017597395386,0.07393552479093966,0.14233815439314415,0.5730867130324311,78.259113542961,668.9686283084221,183.3138389738291,id
ar20,0,frigate,SS3,45.0,0.0,heave_rate_imu,150,15.0,8,9048,0.11490736983454988,0.09089705015869695,0.11181005815183684,-0.0561704715766107,119.46711055547632,822.43650983589,113.11347341224226,id
ar20,0,frigate,SS3,45.0,0.0,pitch_imu,10,1.0,8,9048,0.04577269331202075,0.036592163593116664,0.40390359925312685,0.9871572659702323,18.95682177107253,331.0858961905196,1476.0736870461765,id
ar20,0,frigate,SS3,45.0,0.0,pitch_imu,20,2.0,8,9048,0.12575949290560953,0.10037974087461587,0.7319907028425656,0.9704831216804558,143.09819210556654,908.2358954335244,4848.01240010588,id
ar20,0,frigate,SS3,45.0,0.0,pitch_imu,30,3.0,8,9048,0.2069430781355322,0.16547884017472192,0.9275949661858474,0.9502280056766832,387.48455929811485,1497.252545900884,7785.192547861989,id
ar20,0,frigate,SS3,45.0,0.0,pitch_imu,50,5.0,8,9048,0.2715886986523077,0.2163483270519035,0.8322459885396782,0.893507268367152,667.3842913401977,1957.5196631656227,6266.9468714646155,id
ar20,0,frigate,SS3,45.0,0.0,pitch_imu,100,10.0,8,9048,0.44906271678905063,0.3582030880847141,0.8036924709691043,0.6877990651033199,1824.5954640229459,3241.0215409904936,5844.298527250658,id
ar20,0,frigate,SS3,45.0,0.0,pitch_imu,150,15.0,8,9048,0.49428216752143445,0.39258574849942934,0.5095510778250288,0.05903290692265806,2210.5608635014114,3552.1158524228367,2349.243538657644,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate_imu,10,1.0,8,9048,0.06942852372362998,0.05557770006651398,0.35082817351957285,0.9608360094769625,43.61425451349311,502.8670302018185,1113.6315255677994,id
ar20,0,frigate,SS3,45.0,0.0,pitch_rate_imu,20,2.0,8,9048,0.10850003170725178,0.08673699606407669,0.6323653959188964,0.9705609672296253,106.51538025453456,784.7963403877659,3618.168473310836,id
