model,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,n_realizations,skill_ci_lo,skill_ci_hi,seed,deterministic,n_params,fit_time_s,best_epoch,epochs_run,best_val_loss,regime
persistence,roll_imu,10,1.0,434304,1.9448708998621889,1.0403035114178378,1.9448708998621889,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_imu,20,2.0,434304,3.7445627859317203,1.9910524326151253,3.7445627859317203,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_imu,30,3.0,434304,5.267438807686876,2.7793417327133922,5.267438807686876,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_imu,50,5.0,434304,7.087624231053461,3.6528670762110256,7.087624231053461,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_imu,100,10.0,434304,3.793831212709033,1.8833718525693348,3.793831212709033,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_imu,150,15.0,434304,5.252023789483733,2.778945392427803,5.252023789483733,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_imu,10,1.0,434304,0.8967465758949417,0.5682321898610497,0.8967465758949417,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_imu,20,2.0,434304,1.639889871399927,1.0374405683885457,1.639889871399927,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_imu,30,3.0,434304,2.122484405245588,1.3400564379547395,2.122484405245588,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_imu,50,5.0,434304,2.234427726290816,1.3777938835471204,2.234427726290816,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_imu,100,10.0,434304,1.5593436358220714,0.9849593179765626,1.5593436358220714,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_imu,150,15.0,434304,1.7853551102885246,1.102282683111488,1.7853551102885246,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_imu,10,1.0,434304,0.4360860094370759,0.289655936663249,0.4360860094370759,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_imu,20,2.0,434304,0.8272378841486192,0.5471590024792518,0.8272378841486192,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_imu,30,3.0,434304,1.1355767624159623,0.7452985940086,1.1355767624159623,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_imu,50,5.0,434304,1.419148162303668,0.902518480788973,1.419148162303668,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_imu,100,10.0,434304,0.8123875004006482,0.5077734958337422,0.8123875004006482,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_imu,150,15.0,434304,1.0935546656669395,0.6903844394249921,1.0935546656669395,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_rate_imu,10,1.0,434304,1.0678999900390298,0.5994217617127983,1.0678999900390298,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_rate_imu,20,2.0,434304,2.0486112451264518,1.1394235830242683,2.0486112451264518,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_rate_imu,30,3.0,434304,2.8661560416217173,1.576804089661738,2.8661560416217173,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_rate_imu,50,5.0,434304,3.7984644418446996,2.023367787952602,3.7984644418446996,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_rate_imu,100,10.0,434304,1.958924104837112,1.0319859991335552,1.958924104837112,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,roll_rate_imu,150,15.0,434304,2.8982735890952527,1.5756268969552845,2.8982735890952527,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_rate_imu,10,1.0,434304,0.7534204829087303,0.46873547055429277,0.7534204829087303,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_rate_imu,20,2.0,434304,1.3417844978848232,0.8370058806773679,1.3417844978848232,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_rate_imu,30,3.0,434304,1.664371083650498,1.0441904386761365,1.664371083650498,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_rate_imu,50,5.0,434304,1.5495762479562236,0.9699477115645773,1.5495762479562236,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_rate_imu,100,10.0,434304,1.2735265809317058,0.7944588240700075,1.2735265809317058,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,pitch_rate_imu,150,15.0,434304,1.3083418485724552,0.8186928422289175,1.3083418485724552,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_rate_imu,10,1.0,434304,0.2838667559561788,0.1925976111734511,0.2838667559561788,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_rate_imu,20,2.0,434304,0.5325577215099725,0.3604215951988917,0.5325577215099725,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_rate_imu,30,3.0,434304,0.7178513821406037,0.48332253093899735,0.7178513821406037,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_rate_imu,50,5.0,434304,0.8471498442942375,0.5560802224523462,0.8471498442942375,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_rate_imu,100,10.0,434304,0.47470625601314864,0.3197633886946329,0.47470625601314864,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
persistence,heave_rate_imu,150,15.0,434304,0.6780395407647745,0.4370094852911231,0.6780395407647745,0.0,384,0.0,0.0,0,True,0,0.0,,,,id
window_mean,roll_imu,10,1.0,434304,4.115217024349787,2.1011588188178028,1.9448708998621889,-3.4771735627874953,384,-3.538287457922032,-3.4068441793384983,0,True,0,0.0,,,,id
window_mean,roll_imu,20,2.0,434304,4.208095071246779,2.145417591313762,3.7445627859317203,-0.26289967732381814,384,-0.2808863089859649,-0.24243589385648287,0,True,0,0.0,,,,id
window_mean,roll_imu,30,3.0,434304,4.180522946789294,2.1301022444735254,5.267438807686876,0.3701136093429417,384,0.3613725213263709,0.37961627445030544,0,True,0,0.0,,,,id
window_mean,roll_imu,50,5.0,434304,3.817821953677138,1.951679189546809,7.087624231053461,0.709845057022098,384,0.706808503843803,0.7130265462654061,0,True,0,0.0,,,,id
window_mean,roll_imu,100,10.0,434304,3.4256626273516826,1.790813638315883,3.793831212709033,0.1846704759403497,384,0.14865248428692412,0.21824390227773616,0,True,0,0.0,,,,id
window_mean,roll_imu,150,15.0,434304,4.108145448036896,2.085606415631704,5.252023789483733,0.38815945456871104,384,0.3667382386544931,0.4084880878796795,0,True,0,0.0,,,,id
window_mean,pitch_imu,10,1.0,434304,1.3064390598074391,0.8216979698281421,0.8967465758949417,-1.1224567963738061,384,-1.2170756555035782,-1.0327588685192823,0,True,0,0.0,,,,id
window_mean,pitch_imu,20,2.0,434304,1.3350134329955468,0.839063058890066,1.639889871399927,0.3372619520833131,384,0.31038921137522774,0.36273906577398435,0,True,0,0.0,,,,id
window_mean,pitch_imu,30,3.0,434304,1.325906507134781,0.8319245076140295,2.122484405245588,0.6097555026369217,384,0.5969226000280413,0.622353766999072,0,True,0,0.0,,,,id
window_mean,pitch_imu,50,5.0,434304,1.2438917780781555,0.7799474550138291,2.234427726290816,0.6900921544037586,384,0.6843143319384933,0.6950989426155972,0,True,0,0.0,,,,id
window_mean,pitch_imu,100,10.0,434304,1.241967897690329,0.7814157077265462,1.5593436358220714,0.36563812149505726,384,0.33537587292349397,0.39708327122080606,0,True,0,0.0,,,,id
window_mean,pitch_imu,150,15.0,434304,1.2594021621943297,0.7925796056052827,1.7853551102885246,0.5024008300847815,384,0.48301619938820145,0.5199761716435861,0,True,0,0.0,,,,id
window_mean,heave_imu,10,1.0,434304,0.79309902127688,0.5047607929971605,0.4360860094370759,-2.3075812417468393,384,-2.4307558466433044,-2.1776292287029957,0,True,0,0.0,,,,id
window_mean,heave_imu,20,2.0,434304,0.815741789042771,0.5188171253454243,0.8272378841486192,0.02760080241637408,384,-0.007189540319189222,0.06385919142394599,0,True,0,0.0,,,,id
window_mean,heave_imu,30,3.0,434304,0.8197871978785356,0.5205045278561059,1.1355767624159623,0.47884216639980814,384,0.46170657858110054,0.49666402319065445,0,True,0,0.0,,,,id
window_mean,heave_imu,50,5.0,434304,0.7780831536411339,0.49268632660221184,1.419148162303668,0.6993947600783856,384,0.6933266965448807,0.7056378985339024,0,True,0,0.0,,,,id
window_mean,heave_imu,100,10.0,434304,0.7196212022809825,0.4651602726969099,0.8123875004006482,0.21534014112395128,384,0.14857995826151935,0.27067831608926585,0,True,0,0.0,,,,id
window_mean,heave_imu,150,15.0,434304,0.7763681378585712,0.49208425032348196,1.0935546656669395,0.4959722920711881,384,0.46788985773876046,0.5226753581459478,0,True,0,0.0,,,,id
window_mean,roll_rate_imu,10,1.0,434304,2.19185036508454,1.1601756031432078,1.0678999900390298,-3.2127010332577814,384,-3.2932270375254573,-3.1220742738619176,0,True,0,0.0,,,,id
window_mean,roll_rate_imu,20,2.0,434304,2.236155173374535,1.1825106707899438,2.0486112451264518,-0.19147454906357142,384,-0.2138083272302107,-0.16710890844135678,0,True,0,0.0,,,,id
window_mean,roll_rate_imu,30,3.0,434304,2.2173446175393234,1.1722542977735424,2.8661560416217173,0.40149645085953134,384,0.3914741940205692,0.41214719620593765,0,True,0,0.0,,,,id
window_mean,roll_rate_imu,50,5.0,434304,2.0231020546110017,1.0745669278089442,3.7984644418446996,0.7163260527636297,384,0.7137094965972263,0.7189102195179171,0,True,0,0.0,,,,id
window_mean,roll_rate_imu,100,10.0,434304,1.8544255488476216,1.0065583936375524,1.958924104837112,0.10384406897851106,384,0.0639836304748711,0.14145271394911804,0,True,0,0.0,,,,id
window_mean,roll_rate_imu,150,15.0,434304,2.17719093822108,1.1455716006318013,2.8982735890952527,0.4356945072688687,384,0.41611633800683423,0.45430471844268017,0,True,0,0.0,,,,id
window_mean,pitch_rate_imu,10,1.0,434304,0.9673559617244252,0.6129309721630983,0.7534204829087303,-0.6485335080844565,384,-0.7111288155958622,-0.589032972458193,0,True,0,0.0,,,,id
window_mean,pitch_rate_imu,20,2.0,434304,0.9830613977733188,0.6232008084135826,1.3417844978848232,0.46322071728172864,384,0.4460190888473125,0.4788042903495272,0,True,0,0.0,,,,id
