model,backend,device,batch_size,providers_realized,intra_op_threads,tf32,repeat,p50_ms,p90_ms,p99_ms,mean_ms,std_ms,throughput_windows_s,peak_host_mem_mb,peak_device_mem_mb,warmup_iters,timed_iters,gpu,torch,onnxruntime,git_commit
lstm,ort-cpu,cpu,1,CPUExecutionProvider,1,False,1,1.6251270062639378,1.8412141012959184,1.9617380008276089,1.6579225160821809,0.1192216255673253,603.1644967118787,838.3828125,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,ort-cpu,cpu,32,CPUExecutionProvider,1,False,1,22.85520999430446,23.94898059719708,26.209556901740143,22.97797800906119,0.8457189293798246,1392.637767665242,872.09765625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,ort-cuda,cuda,1,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,8.151945999998134,9.452268402674235,13.121637572621694,8.440996766439639,1.208116861359539,118.46942104940456,1059.15234375,92.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,ort-cuda,cuda,32,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,8.581516500271391,9.867474001657683,13.659806293580914,8.843163558543893,1.2192252472489429,3618.6145137034073,1047.7890625,116.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,ort-trt,cuda,1,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,4.293057005270384,5.288619500061032,9.11782566588954,4.55885451494396,0.9081643564227682,219.3533478030484,2484.9765625,374.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,ort-trt,cuda,32,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,8.302058005938306,9.557367689558305,13.25679315646994,8.57491020643647,1.1474574533425534,3731.817503579253,2483.296875,396.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-compile,cpu,1,torch-compile:cpu,1,False,1,2.2127595002530143,2.4285535968374465,2.6870668469928205,2.2381777715709177,0.1718025356328306,446.7920344406452,928.62109375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-compile,cpu,32,torch-compile:cpu,1,False,1,18.851526503567584,19.72050110489363,21.230565898586065,18.985034135635946,0.6401497109266833,1685.53818609861,938.07421875,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-compile,cuda,1,torch-compile:cuda,1,False,1,1.3735389948124066,1.5677386007155296,2.029209303436801,1.4335281954990933,0.15943408931748498,697.579582417521,1010.73046875,36.14453125,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-compile,cuda,32,torch-compile:cuda,1,False,1,1.9472714920993894,2.263366698753089,2.731107179133687,1.9923462521473994,0.20604927645133433,16061.46520240125,1020.2421875,103.53955078125,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-eager,cpu,1,torch-eager:cpu,1,False,1,2.1617954917019238,2.3631031115655787,2.5343242462258786,2.189848851914576,0.1205328700564149,456.6525215316592,764.375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-eager,cpu,32,torch-eager:cpu,1,False,1,18.601053998281717,19.42315730120754,20.9683503244014,18.742701592367663,0.5849027289154135,1707.3312426331818,788.5390625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-eager,cuda,1,torch-eager:cuda,1,False,1,1.3002404957660474,1.494009501766414,1.962410152045777,1.3622765479522059,0.16001734616035757,734.0653419477966,959.57421875,36.14453125,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch-eager,cuda,32,torch-eager:cuda,1,False,1,1.9113499947707169,2.206271207251121,2.6321719109546393,1.9521490524857654,0.1946020224624387,16392.190934013393,970.0234375,103.53955078125,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,ort-cpu,cpu,1,CPUExecutionProvider,1,False,1,2.008047500567045,2.256893811863847,2.407694468565751,2.0423433359974297,0.1626909398991279,489.6336391508947,850.578125,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,ort-cpu,cpu,32,CPUExecutionProvider,1,False,1,28.897409996716306,31.19357179821236,34.26357683783863,29.162619719129,1.637864617776471,1097.295109568289,884.1875,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,ort-cuda,cuda,1,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,7.969194004544988,9.837465503369469,13.011825060966656,8.32245663964568,1.2535551507744418,120.1568290829298,1063.9453125,102.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,ort-cuda,cuda,32,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,9.857532000751236,12.00347000412876,14.7192658809945,10.219553617556812,1.3223074023281398,3131.252224659323,1052.703125,118.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,ort-trt,cuda,1,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,4.241254006046802,4.95728509995388,9.979449137026675,4.599859936504799,1.2087791529142904,217.3979238071865,2499.12890625,374.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,ort-trt,cuda,32,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,8.039437503612135,9.456661193689795,13.18211232079193,8.40932698197139,1.275184634262054,3805.298577235045,2502.72265625,398.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,torch-compile,cpu,1,torch-compile:cpu,1,False,1,2.4200664993259124,2.644550993863959,2.8298460130463354,2.456838165664521,0.2064127591473204,407.0272165157129,931.19140625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,torch-compile,cpu,32,torch-compile:cpu,1,False,1,19.54323450627271,20.3584016970126,21.97310902294703,19.678579460342007,0.5887401872219673,1626.1336375671424,941.82421875,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,torch-eager,cpu,1,torch-eager:cpu,1,False,1,2.5494170040474278,2.9346954950597137,3.28039850879577,2.5909913034629426,0.2506850667055587,385.9526655544803,767.11328125,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,torch-eager,cpu,32,torch-eager:cpu,1,False,1,20.06297800835455,21.908465602609795,23.58068663830636,20.40866255996661,1.0077156878706497,1567.9616391311604,796.140625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,ort-cpu,cpu,1,CPUExecutionProvider,1,False,1,0.6889119977131486,0.8104073946014978,0.8995764459541533,0.7063423427243833,0.0697923290620403,1415.7440939233095,839.76953125,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,ort-cpu,cpu,32,CPUExecutionProvider,1,False,1,23.142455997003708,25.30832899792585,28.22973501955857,23.408546850594576,1.4557136137062274,1367.0220626782393,853.05859375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,ort-cuda,cuda,1,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,0.7389149977825582,1.0323544018319812,1.7662098337314092,0.8201465250313049,0.229305793202801,1219.294320562817,1255.93359375,72.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,ort-cuda,cuda,32,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,0.9940785021171904,1.1149721045512708,1.7912809415429365,1.046092601129203,0.1750855628429239,30590.02612718764,1302.7890625,84.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,ort-trt,cuda,1,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,0.4454629961401224,0.5267179061775097,0.8764045395946594,0.4666791713461862,0.0875420412721236,2142.799724948925,2537.73046875,386.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,ort-trt,cuda,32,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,0.7026575040072203,0.7758868901873939,1.137421765452018,0.7252418972275336,0.082919666488965,44123.20926621878,2551.2890625,394.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-compile,cpu,1,torch-compile:cpu,1,False,1,2.7177635056432337,3.0366549981408757,3.2799684975179844,2.762397377162415,0.1910681570195647,362.00439816056377,945.69140625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-compile,cpu,32,torch-compile:cpu,1,False,1,29.23183100210736,31.65110550035024,35.07320520729991,29.374155191413596,1.7909729184911594,1089.3930324625633,947.71484375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-compile,cuda,1,torch-compile:cuda,1,False,1,1.1743284994736314,1.3565284985816108,2.3615450970828533,1.23833856562851,0.21499361901911485,807.5336000639348,1094.86328125,32.97119140625,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-compile,cuda,32,torch-compile:cuda,1,False,1,1.3812649995088577,1.6570742882322524,2.007254432537593,1.4411937601034879,0.1702318009555931,22203.815257777813,1140.4453125,38.15380859375,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-eager,cpu,1,torch-eager:cpu,1,False,1,3.9519314959761687,4.378895899571944,4.684226193494396,3.96103965806833,0.3528407822540478,252.4589719678968,754.87109375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-eager,cpu,32,torch-eager:cpu,1,False,1,38.35667049861513,42.5522568039014,47.68659828216187,38.71566401328164,3.06989396765503,826.5388393964316,780.82421875,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-eager,cuda,1,torch-eager:cuda,1,False,1,2.9625615061377175,3.214780807320494,3.8717817663564342,3.0195790041107102,0.25979320818070023,331.17199405567726,1061.14453125,32.97314453125,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch-eager,cuda,32,torch-eager:cuda,1,False,1,3.148369003611151,3.380316498805769,3.754879539628746,3.197854790436395,0.15530509982900112,10006.708276967485,1106.66015625,39.90380859375,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,ort-cpu,cpu,1,CPUExecutionProvider,1,False,1,0.9042730016517452,1.0354078011005186,1.10122254176531,0.922807299742999,0.0713850867360715,1083.6498587283595,843.53515625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,ort-cpu,cpu,32,CPUExecutionProvider,1,False,1,26.121844501176383,27.41961119463668,29.606658126722323,26.32407619656442,0.9026009897206096,1215.6172076487285,856.09375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,ort-cuda,cuda,1,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,0.7974979962455109,1.1342136014718562,1.7398654617136344,0.8764257253860706,0.2155129403561685,1140.998000212162,1259.01953125,72.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,ort-cuda,cuda,32,CUDAExecutionProvider|CPUExecutionProvider,1,False,1,2.6269855006830767,3.321315490757115,3.734598023438594,2.762550797277072,0.3152589376795868,11583.497408098714,1305.6796875,84.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,ort-trt,cuda,1,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,0.4425964943948202,0.5425044975709171,0.7662914325192104,0.4667950186194503,0.0799675994371728,2142.267933701408,2541.37890625,386.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,ort-trt,cuda,32,TensorrtExecutionProvider|CPUExecutionProvider,1,False,1,0.926618005905766,1.0839600072358735,1.4291727279487532,0.965228491484595,0.1125641404417951,33152.77189008538,2560.93359375,398.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-compile,cpu,1,torch-compile:cpu,1,False,1,2.8181149973534048,3.092978199128993,3.466791865794221,2.861132757898304,0.1796617734913283,349.51191874597527,947.7890625,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-compile,cpu,32,torch-compile:cpu,1,False,1,27.1836770043592,28.209319402230904,30.81961861258605,27.363601632947397,0.8426153752843061,1169.4367002284564,947.7109375,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-compile,cuda,1,torch-compile:cuda,1,False,1,1.2166250016889535,1.4268119048210794,1.978302965144394,1.2773333081786404,0.18830357413535315,782.8810175050612,1093.76171875,34.75634765625,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-compile,cuda,32,torch-compile:cuda,1,False,1,1.6441189945908263,1.8824510945705697,2.212475439591799,1.6927052995524718,0.14233363486930714,18904.649266744993,1141.77734375,39.93896484375,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-eager,cpu,1,torch-eager:cpu,1,False,1,3.754444493097253,4.047263704705983,4.319797940843273,3.792066395864822,0.1806941132266268,263.70846277651714,759.94921875,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-eager,cpu,32,torch-eager:cpu,1,False,1,37.07855449465569,38.36390861251857,40.78734057373367,37.14179668200086,1.2355736869040237,861.5630599126993,782.66796875,0.0,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-eager,cuda,1,torch-eager:cuda,1,False,1,2.908919494075235,3.111226187320426,3.461510069464566,2.9419563362025656,0.18290754921787888,339.9098714329613,1059.953125,34.75830078125,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch-eager,cuda,32,torch-eager:cuda,1,False,1,3.4746025048661977,3.708037694741506,6.899106860364552,3.570959523021884,0.4923217204884289,8961.176903209578,1106.81640625,41.68896484375,200,2000,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
