check,heading_deg,speed_kn,dof,rel_deviation,rms_ratio,passed
patch_equivalence,180.0,0.0,all,0.0,,True
numpy_vs_octave_eta,180.0,0.0,surge,1.35166319679632e-12,0.9999999999999287,True
numpy_vs_octave_eta_dot,180.0,0.0,surge,2.339898642583191e-12,0.9999999999996874,True
numpy_vs_octave_eta,180.0,0.0,sway,1.7291724831095234e-12,1.0000000000000862,True
numpy_vs_octave_eta_dot,180.0,0.0,sway,2.3085453251348103e-12,0.9999999999999714,True
numpy_vs_octave_eta,180.0,0.0,heave,1.1420698011907528e-12,1.0000000000000688,True
numpy_vs_octave_eta_dot,180.0,0.0,heave,1.7211059848896155e-12,0.9999999999999863,True
numpy_vs_octave_eta,180.0,0.0,roll,2.811644223720178e-12,1.0000000000002671,True
numpy_vs_octave_eta_dot,180.0,0.0,roll,3.6352881588283372e-12,0.9999999999997495,True
numpy_vs_octave_eta,180.0,0.0,pitch,2.025483685830159e-12,1.0000000000000164,True
numpy_vs_octave_eta_dot,180.0,0.0,pitch,3.180537389682108e-12,0.9999999999999146,True
numpy_vs_octave_eta,180.0,0.0,yaw,7.858691923747768e-13,1.000000000000036,True
numpy_vs_octave_eta_dot,180.0,0.0,yaw,8.77553092195903e-13,0.9999999999999752,True
numpy_vs_octave_eta,180.0,12.0,surge,1.8043325136192502e-12,1.0000000000000715,True
numpy_vs_octave_eta_dot,180.0,12.0,surge,2.2312154210324577e-12,1.0000000000000018,True
numpy_vs_octave_eta,180.0,12.0,sway,1.8897018041645855e-12,1.000000000000025,True
numpy_vs_octave_eta_dot,180.0,12.0,sway,1.5221948727332367e-12,0.9999999999999208,True
numpy_vs_octave_eta,180.0,12.0,heave,1.371500442681376e-12,0.9999999999999367,True
numpy_vs_octave_eta_dot,180.0,12.0,heave,1.3256539230720655e-12,0.9999999999999757,True
numpy_vs_octave_eta,180.0,12.0,roll,3.4794714706468966e-12,0.9999999999997362,True
numpy_vs_octave_eta_dot,180.0,12.0,roll,3.1713090365463504e-12,0.9999999999997586,True
numpy_vs_octave_eta,180.0,12.0,pitch,2.7934767976530334e-12,0.9999999999997963,True
numpy_vs_octave_eta_dot,180.0,12.0,pitch,2.8074643160777968e-12,1.0000000000000304,True
numpy_vs_octave_eta,180.0,12.0,yaw,7.254294258682467e-13,0.9999999999998832,True
numpy_vs_octave_eta_dot,180.0,12.0,yaw,6.676516712326935e-13,1.0000000000001117,True
numpy_vs_octave_eta,135.0,6.0,surge,9.293375357390318e-13,1.0000000000000506,True
numpy_vs_octave_eta_dot,135.0,6.0,surge,1.2291972516272703e-12,0.9999999999999355,True
numpy_vs_octave_eta,135.0,6.0,sway,1.5781226820189537e-12,0.9999999999998975,True
numpy_vs_octave_eta_dot,135.0,6.0,sway,2.1593661794846814e-12,1.0000000000000786,True
numpy_vs_octave_eta,135.0,6.0,heave,5.396041832373506e-13,1.0000000000000544,True
numpy_vs_octave_eta_dot,135.0,6.0,heave,6.121234371441825e-13,1.0000000000000084,True
numpy_vs_octave_eta,135.0,6.0,roll,1.7060315766777124e-12,0.9999999999998538,True
numpy_vs_octave_eta_dot,135.0,6.0,roll,2.151406697980232e-12,0.9999999999998712,True
numpy_vs_octave_eta,135.0,6.0,pitch,1.0131169050694532e-12,1.000000000000086,True
numpy_vs_octave_eta_dot,135.0,6.0,pitch,1.2552725408626598e-12,0.9999999999998516,True
numpy_vs_octave_eta,135.0,6.0,yaw,3.298947246338135e-12,0.9999999999999916,True
numpy_vs_octave_eta_dot,135.0,6.0,yaw,4.18387241116794e-12,1.0000000000001903,True
numpy_vs_octave_eta,135.0,12.0,surge,1.1195952558663763e-12,1.0000000000000082,True
numpy_vs_octave_eta_dot,135.0,12.0,surge,1.4630343672783782e-12,0.9999999999998758,True
numpy_vs_octave_eta,135.0,12.0,sway,1.4221116037010787e-12,1.0000000000000866,True
numpy_vs_octave_eta_dot,135.0,12.0,sway,2.0547318613667875e-12,1.0000000000000588,True
numpy_vs_octave_eta,135.0,12.0,heave,5.323168077831255e-13,1.0000000000000369,True
numpy_vs_octave_eta_dot,135.0,12.0,heave,6.417020459737019e-13,1.0000000000000655,True
numpy_vs_octave_eta,135.0,12.0,roll,2.2380226966556394e-12,1.0000000000000624,True
numpy_vs_octave_eta_dot,135.0,12.0,roll,2.363878667107082e-12,0.9999999999997399,True
numpy_vs_octave_eta,135.0,12.0,pitch,1.4023999561406316e-12,1.0000000000000535,True
numpy_vs_octave_eta_dot,135.0,12.0,pitch,1.5067351431475794e-12,1.0000000000000304,True
numpy_vs_octave_eta,135.0,12.0,yaw,4.4203178684490844e-12,1.0000000000002132,True
numpy_vs_octave_eta_dot,135.0,12.0,yaw,5.042437140047126e-13,1.0000000000000109,True
