regime,grid_kind,ss,heading_deg,speed_kn,model,record,threshold_set,rule,scorable,base_rate,always_yes_sample_f1,n_onsets_true,n_onsets_pred,n_matched,precision,recall,f1,false_alarms_per_min,lead_p10,median_lead_time_s,lead_p90,n_onsets_true_raw,n_excluded_true,n_excluded_pred,n_windows,duration_s,peak_roll_deg,peak_pitch_deg,peak_heave_rate_mps,roll_limit_deg,pitch_limit_deg,heave_rate_limit_mps,sustain_s,n_records
unseen_vessel,mss,SS5,180.0,0.0,always_quiescent,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,1131,0,,,,117.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,always_quiescent,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,1131,13,0.011494252873563218,1.0,0.022727272727272724,115.65517241379311,-0.07999999999999999,0.0,0.2,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,always_quiescent,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,1131,0,,,,117.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,always_quiescent,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,1131,17,0.015030946065428824,1.0,0.029616724738675958,115.24137931034483,-0.1,0.1,0.24000000000000005,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,always_quiescent,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,1131,0,,,,117.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,always_quiescent,S175_h180.0_u00.0_s002,strict,point,True,0.8456896551724138,0.916394208313872,11,1131,11,0.009725906277630416,1.0,0.01926444833625219,115.86206896551724,-0.1,0.1,0.3,13,2,0,1131,580.0,1.27117e-06,1.95463,0.479135,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar10|0,S175_h180.0_u00.0_s000,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.35975e-06,1.82939,0.399062,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar10|0,S175_h180.0_u00.0_s000,strict,point,True,0.7889655172413793,0.882035466461064,13,232,13,0.05603448275862069,1.0,0.10612244897959183,22.655172413793103,1.0,1.6,3.8400000000000016,16,3,0,1131,580.0,1.35975e-06,1.82939,0.399062,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar10|0,S175_h180.0_u00.0_s001,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.36606e-06,1.88133,0.370724,3.0,2.0,0.8,2.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar10|0,S175_h180.0_u00.0_s001,strict,point,True,0.8724137931034482,0.9318600368324126,17,181,17,0.09392265193370165,1.0,0.17171717171717168,16.96551724137931,0.96,1.3,3.6000000000000005,21,4,0,1131,580.0,1.36606e-06,1.88133,0.370724,1.5,1.0,0.4,3.0,3
unseen_vessel,mss,SS5,180.0,0.0,ar10|0,S175_h180.0_u00.0_s002,permissive,point,False,1.0,1.0,0,0,0,,,,0.0,,,,1,1,0,1131,580.0,1.27117e-06,1.95463,0.479135,3.0,2.0,0.8,2.0,3
