regime,grid_kind,sign_convention,heading_deg,speed_kn,model,record,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_records
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,10,1.0,1131,3.5596238616965376e-07,2.947247799606912e-07,3.5596238616965376e-07,0.0,5.347905988983088e-07,0.6656107771956936,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,20,2.0,1131,6.674395632535596e-07,5.523047879272533e-07,6.674395632535596e-07,0.0,5.353585645329474e-07,1.2467150195604717,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,30,3.0,1131,8.976202374652535e-07,7.423382724920182e-07,8.976202374652535e-07,0.0,5.356238254361046e-07,1.675840757707915,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,50,5.0,1131,1.0384621625850934e-06,8.607673080900569e-07,1.0384621625850934e-06,0.0,5.319552851271828e-07,1.9521606263143192,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,100,10.0,1131,4.0322097907312063e-07,3.2551265572182925e-07,4.0322097907312063e-07,0.0,5.292082787304852e-07,0.7619324853352732,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,150,15.0,1131,9.275500607749269e-07,7.773996591238034e-07,9.275500607749269e-07,0.0,5.264909598895977e-07,1.7617587602442957,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,10,1.0,1131,0.42804549817433146,0.34378459938681827,0.42804549817433146,0.0,0.6913851413364748,0.6191129554026901,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,20,2.0,1131,0.8121684899968182,0.6516480936853404,0.8121684899968182,0.0,0.6911066228552499,1.1751710418305807,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,30,3.0,1131,1.113345267399476,0.8918737041510949,1.113345267399476,0.0,0.6910988968134992,1.6109782153218002,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,50,5.0,1131,1.3637847438313726,1.088163947051686,1.3637847438313726,0.0,0.6888870401649858,1.9796928441341433,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,100,10.0,1131,0.40476563725555637,0.3294265223091457,0.40476563725555637,0.0,0.6849119229445144,0.5909747278386143,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,150,15.0,1131,1.261760313513477,1.0090904902493376,1.261760313513477,0.0,0.6824340529869241,1.848911712407841,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,10,1.0,1131,0.12459109827103027,0.09702661486538249,0.12459109827103027,0.0,0.1969598725614322,0.6325709732177556,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,20,2.0,1131,0.23472470119306163,0.18297202380033611,0.23472470119306163,0.0,0.19713877973368635,1.1906571680627722,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,30,3.0,1131,0.3179832674189236,0.24816066091428612,0.3179832674189236,0.0,0.19731677416836985,1.6115369246184277,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,50,5.0,1131,0.3773181514244206,0.29637250011011407,0.3773181514244206,0.0,0.19745126325132267,1.9109432130811808,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,100,10.0,1131,0.20696688726219994,0.1658762088954723,0.20696688726219994,0.0,0.1986338738636582,1.0419516230361672,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,150,15.0,1131,0.29557438026085875,0.2323829369271939,0.29557438026085875,0.0,0.19921782261072768,1.4836743840856654,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll_rate,10,1.0,1131,2.518243175998471e-07,2.078166486318585e-07,2.518243175998471e-07,0.0,3.633393867461542e-07,0.6930829048153353,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll_rate,20,2.0,1131,4.6661111388797067e-07,3.8601007274033893e-07,4.6661111388797067e-07,0.0,3.6198405656971384e-07,1.2890377501974508,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll_rate,30,3.0,1131,6.183865452038921e-07,5.123532571327396e-07,6.183865452038921e-07,0.0,3.6072316323089446e-07,1.714296746749447,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll_rate,50,5.0,1131,6.929599980608147e-07,5.747423411901739e-07,6.929599980608147e-07,0.0,3.610999031781481e-07,1.9190257099541337,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll_rate,100,10.0,1131,3.0473317228093745e-07,2.429211018610557e-07,3.0473317228093745e-07,0.0,3.5974739524317697e-07,0.8470754098857289,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll_rate,150,15.0,1131,6.242244338971738e-07,5.235455690822087e-07,6.242244338971738e-07,0.0,3.581846584014855e-07,1.7427447526172017,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,10,1.0,1131,0.27479751983114575,0.22249689370908457,0.27479751983114575,0.0,0.4354326056798948,0.6310908192143085,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,20,2.0,1131,0.5196091441722667,0.42010696836742933,0.5196091441722667,0.0,0.43479363892347267,1.195070713221088,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,30,3.0,1131,0.7089092298391757,0.5720316142073828,0.7089092298391757,0.0,0.4338945786999037,1.633828272211443,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,50,5.0,1131,0.8557892919175458,0.6871987115041802,0.8557892919175458,0.0,0.43340756845636885,1.9745601004743372,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,100,10.0,1131,0.2661221504733882,0.21785335727062216,0.2661221504733882,0.0,0.4308287126925242,0.6176982699463568,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch_rate,150,15.0,1131,0.7937162171607548,0.6375479632832274,0.7937162171607548,0.0,0.42882114422779416,1.8509260278899042,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,10,1.0,1131,0.08584614471772659,0.0669271896105763,0.08584614471772659,0.0,0.12717206966208153,0.6750392986906232,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,20,2.0,1131,0.16036373379678073,0.12496274860722197,0.16036373379678073,0.0,0.12721344626983955,1.260587921316307,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,30,3.0,1131,0.21423635533400526,0.16698847006145504,0.21423635533400526,0.0,0.12726049221775418,1.6834474831939792,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,50,5.0,1131,0.2410941408214599,0.1886414663725146,0.2410941408214599,0.0,0.1277889108631936,1.8866593289895628,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,100,10.0,1131,0.14496627635087986,0.11570121372004699,0.14496627635087986,0.0,0.12857343806323598,1.1274978606357358,3
unseen_vessel,corpus,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave_rate,150,15.0,1131,0.18377377674329315,0.1440519135750881,0.18377377674329315,0.0,0.1288835812601108,1.4258897444229444,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,10,1.0,1131,5.45260331511237e-07,4.480967947066695e-07,3.5596238616965376e-07,-1.346386697489157,5.347905988983088e-07,1.0195772562840415,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,20,2.0,1131,5.628722055334815e-07,4.6379092580138054e-07,6.674395632535596e-07,0.2887935036747943,5.353585645329474e-07,1.0513929220961231,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,30,3.0,1131,5.693382972533913e-07,4.705050158243129e-07,8.976202374652535e-07,0.5976949118586415,5.356238254361046e-07,1.0629443094504551,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,50,5.0,1131,5.415564177862958e-07,4.489221791862246e-07,1.0384621625850934e-06,0.7280393569910912,5.319552851271828e-07,1.0180487588478748,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,100,10.0,1131,5.275985888999452e-07,4.3555129324381074e-07,4.0322097907312063e-07,-0.7120680039789697,5.292082787304852e-07,0.9969583056516018,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll,150,15.0,1131,5.282175878356658e-07,4.374140353443793e-07,9.275500607749269e-07,0.6756969756167662,5.264909598895977e-07,1.0032795016013762,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,10,1.0,1131,0.7118567508651568,0.5649031002606347,0.42804549817433146,-1.7657017741534506,0.6913851413364748,1.0296095595706751,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,20,2.0,1131,0.7206096999768735,0.5715209168388906,0.8121684899968182,0.21275858087761101,0.6911066228552499,1.0426896171241047,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,30,3.0,1131,0.7207500694093573,0.5720397501826145,1.113345267399476,0.5809077294911407,0.6910988968134992,1.042904384209804,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,50,5.0,1131,0.6925194429489988,0.5512838516520872,1.3637847438313726,0.7421469419524358,0.6888870401649858,1.0052728569013913,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,100,10.0,1131,0.6812045332665811,0.5413913077650921,0.40476563725555637,-1.8323556621045531,0.6849119229445144,0.9945870563006193,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch,150,15.0,1131,0.692775795653375,0.5478103844817654,1.261760313513477,0.698538618534992,0.6824340529869241,1.0151542007922765,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,10,1.0,1131,0.21087420313361815,0.1667173562297112,0.12459109827103027,-1.8646586588255203,0.1969598725614322,1.0706455096219971,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,20,2.0,1131,0.21519942675040402,0.17045421584667592,0.23472470119306163,0.15944791358225896,0.19713877973368635,1.0916138724258906,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,30,3.0,1131,0.21363681601494314,0.16926845798413093,0.3179832674189236,0.5486186009644647,0.19731677416836985,1.0827098553346886,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,50,5.0,1131,0.19770364556144465,0.15545541463480006,0.3773181514244206,0.7254547343234198,0.19745126325132267,1.0012782005339755,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,100,10.0,1131,0.19864568408108255,0.1564729534775871,0.20696688726219994,0.07879448062668826,0.1986338738636582,1.0000594572174153,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave,150,15.0,1131,0.20382082961646045,0.16231591749791507,0.29557438026085875,0.5244857298347065,0.19921782261072768,1.0231053976266322,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,10,1.0,1131,3.6891649329348155e-07,3.038217614449442e-07,2.518243175998471e-07,-1.146153654299877,3.633393867461542e-07,1.0153495787981384,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,20,2.0,1131,3.797313085189134e-07,3.1360265219066324e-07,4.6661111388797067e-07,0.3377184536203972,3.6198405656971384e-07,1.0490277171800844,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,30,3.0,1131,3.8275169925560826e-07,3.174226331143636e-07,6.183865452038921e-07,0.6168982008370609,3.6072316323089446e-07,1.0610677058479152,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,50,5.0,1131,3.666330087680909e-07,3.047045812489049e-07,6.929599980608147e-07,0.720071707286577,3.610999031781481e-07,1.0153229218320035,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,100,10.0,1131,3.6036813308848185e-07,2.984206729913003e-07,3.0473317228093745e-07,-0.39847045088837185,3.5974739524317697e-07,1.0017254825288875,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,roll_rate,150,15.0,1131,3.566158127166844e-07,2.957878681868057e-07,6.242244338971738e-07,0.6736229111772347,3.581846584014855e-07,0.9956200087077917,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch_rate,10,1.0,1131,0.44488157501714853,0.3557051524409918,0.27479751983114575,-1.6209770719788548,0.4354326056798948,1.0217001878453726,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch_rate,20,2.0,1131,0.45077226266287607,0.3605850457010149,0.5196091441722667,0.247405917795962,0.43479363892347267,1.0367499022731006,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch_rate,30,3.0,1131,0.4512132940215986,0.3611821898912308,0.7089092298391757,0.5948810934482758,0.4338945786999037,1.0399145695103813,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch_rate,50,5.0,1131,0.4365083902955179,0.3502931835575415,0.8557892919175458,0.7398334274318541,0.43340756845636885,1.0071545170523741,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch_rate,100,10.0,1131,0.4288730134225623,0.3429205731437433,0.2661221504733882,-1.5971401746727847,0.4308287126925242,0.9954606106502524,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,pitch_rate,150,15.0,1131,0.43368550251867516,0.34592591790404065,0.7937162171607548,0.7014484698724162,0.42882114422779416,1.0113435597949363,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave_rate,10,1.0,1131,0.13522578213250078,0.10586668685759024,0.08584614471772659,-1.4812893519608488,0.12717206966208153,1.0633292553295655,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave_rate,20,2.0,1131,0.1378291252463809,0.1079887462075338,0.16036373379678073,0.26129730971940557,0.12721344626983955,1.0834477744909439,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave_rate,30,3.0,1131,0.13635431460196665,0.10679163299567308,0.21423635533400526,0.5949100892715667,0.12726049221775418,1.0714583310635961,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave_rate,50,5.0,1131,0.12611559108932316,0.0985485740124768,0.2410941408214599,0.7263696617744131,0.1277889108631936,0.9869055948394314,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave_rate,100,10.0,1131,0.13095525089685234,0.10262393118032953,0.14496627635087986,0.18395921176609098,0.12857343806323598,1.0185249213950778,3
unseen_vessel,corpus,nominal,180.0,0.0,window_mean|0,S175_h180.0_u00.0_s000,heave_rate,150,15.0,1131,0.12973845965967398,0.1020978734368444,0.18377377674329315,0.5016087677877907,0.1288835812601108,1.0066329503820808,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll,10,1.0,1131,3.725997269832503e-07,3.0700489784386506e-07,3.5596238616965376e-07,-0.09566262143539306,5.347905988983088e-07,0.6967207870722139,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll,20,2.0,1131,5.451012452345817e-07,4.504404240195916e-07,6.674395632535596e-07,0.33299290203795684,5.353585645329474e-07,1.0181984212957047,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll,30,3.0,1131,5.997414253455445e-07,4.956110398807241e-07,8.976202374652535e-07,0.553580842049636,5.356238254361046e-07,1.1197064000228807,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll,50,5.0,1131,5.604086134228082e-07,4.6480161873399246e-07,1.0384621625850934e-06,0.7087752715067857,5.319552851271828e-07,1.0534881955140696,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll,100,10.0,1131,5.270058380238905e-07,4.350472759817892e-07,4.0322097907312063e-07,-0.708223188030553,5.292082787304852e-07,0.9958382345947455,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll,150,15.0,1131,5.282360117074606e-07,4.374303039244683e-07,9.275500607749269e-07,0.6756743522824357,5.264909598895977e-07,1.0033144953110473,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,pitch,10,1.0,1131,0.5127091112231361,0.4075756521699514,0.42804549817433146,-0.43470364860288346,0.6913851413364748,0.7415680213087154,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,pitch,20,2.0,1131,0.6907247222521001,0.548615711511856,0.8121684899968182,0.27670122610196723,0.6911066228552499,0.9994474071141556,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,pitch,30,3.0,1131,0.7317351285615491,0.5817234136340271,1.113345267399476,0.5680354820252708,0.6910988968134992,1.0587994452536595,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,pitch,50,5.0,1131,0.6986103886039974,0.5561897293438275,1.3637847438313726,0.7375911830476334,0.6888870401649858,1.01411457593495,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,pitch,100,10.0,1131,0.6811528661255211,0.5413490978889807,0.40476563725555637,-1.8319260285284833,0.6849119229445144,0.9945116201177624,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,pitch,150,15.0,1131,0.6927761755418599,0.5478107019379228,1.261760313513477,0.6985382879179596,0.6824340529869241,1.0151547574592295,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,heave,10,1.0,1131,0.14301042618239784,0.11271345848655763,0.12459109827103027,-0.3175326108952776,0.1969598725614322,0.7260891486299708,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,heave,20,2.0,1131,0.20278702811854113,0.15999610517035254,0.23472470119306163,0.2536152602188919,0.19713877973368635,1.028651127862742,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,heave,30,3.0,1131,0.21844818281992687,0.17263641968090057,0.3179832674189236,0.5280583164078343,0.19731677416836985,1.1070938278847273,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,heave,50,5.0,1131,0.20165345270663698,0.15856610169789687,0.3773181514244206,0.7143751899009156,0.19745126325132267,1.0212821603980604,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,heave,100,10.0,1131,0.19858743167616286,0.15642645436647926,0.20696688726219994,0.07933468434651092,0.1986338738636582,0.9997661920064691,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,heave,150,15.0,1131,0.20382101718395634,0.16231598131965216,0.29557438026085875,0.5244848546438625,0.19921782261072768,1.0231063391462887,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll_rate,10,1.0,1131,2.593863861044318e-07,2.1407936832029426e-07,2.518243175998471e-07,-0.060960035924249256,3.633393867461542e-07,0.7138955906414055,3
unseen_vessel,corpus,nominal,180.0,0.0,damped_persistence|0,S175_h180.0_u00.0_s000,roll_rate,20,2.0,1131,3.7313576992131474e-07,3.088072276750841e-07,4.6661111388797067e-07,0.36052494175039385,3.6198405656971384e-07,1.0308071948175794,3
