regime,grid_kind,sign_convention,heading_deg,speed_kn,model,record,dof,horizon_samples,horizon_s,n_windows,rmse,mae,rmse_persistence,skill,signal_std,nrmse,n_records
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,10,1.0,1131,0.04262900882998898,0.034263247788028625,0.04262900882998898,0.0,0.06458727673978673,0.6600217718070914,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,20,2.0,1131,0.08002874753043972,0.06428265119186821,0.08002874753043972,0.0,0.0645486342906832,1.239820925878069,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,30,3.0,1131,0.10782934110969425,0.08661249256055094,0.10782934110969425,0.0,0.06470093331392082,1.6665809222027725,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,50,5.0,1131,0.1254130510192381,0.1009676208096668,0.1254130510192381,0.0,0.0648975573096678,1.9324772182227468,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,100,10.0,1131,0.053040993382937586,0.04215731717793868,0.053040993382937586,0.0,0.06502345962060786,0.8157208750874788,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,roll,150,15.0,1131,0.10989167580616682,0.08798825133485508,0.10989167580616682,0.0,0.06431191129392698,1.708729745317707,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,10,1.0,1131,1.0947915985594425,0.8487714099527918,1.0947915985594425,0.0,1.8027417743228564,0.6072925219534931,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,20,2.0,1131,2.082841415702196,1.6117358278092193,2.082841415702196,0.0,1.8029856979413899,1.1552179354946295,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,30,3.0,1131,2.867101493598178,2.2115696668214224,2.867101493598178,0.0,1.8041198868316883,1.5891967681999495,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,50,5.0,1131,3.5582199588148082,2.715182717644611,3.5582199588148082,0.0,1.8164862235216668,1.958847753833442,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,100,10.0,1131,1.172561872606262,0.9344036301312374,1.172561872606262,0.0,1.8273536993237618,0.641672092841241,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,pitch,150,15.0,1131,3.2712653398065306,2.4995363447155943,3.2712653398065306,0.0,1.8337550509660305,1.7839161986674354,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,10,1.0,1131,0.3541780441416213,0.28611962401850244,0.3541780441416213,0.0,0.5636727298336444,0.6283398599860405,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,20,2.0,1131,0.66643335194914,0.5385755978230006,0.66643335194914,0.0,0.5650607066400064,1.1794013353218646,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,30,3.0,1131,0.9020672983280114,0.7296509981128819,0.9020672983280114,0.0,0.5658583276938811,1.594157502292717,3
unseen_vessel,mss,nominal,180.0,0.0,persistence|0,S175_h180.0_u00.0_s000,heave,50,5.0,1131,1.0717208824686395,0.8653545840562078,1.0717208824686395,0.0,0.5656673151359188,1.8946134128522625,3
