model,provider,tf32,head_kind,n_windows,n_seeds,worst_seed,max_abs_err,max_abs_err_best_seed,mean_abs_err,output_abs_max,scale,tolerance,scaled_tolerance,margin_x,passed,passed_absolute,onnx_path,gpu,torch,onnxruntime,git_commit
tcn,CPUExecutionProvider,False,point,1000,5,7,7.2479248046875e-05,6.103515625e-05,2.9500391706824304e-06,125.80438232421875,125.80438232421875,0.0001,0.012580438232421876,173.57296842105265,True,True,artifacts/onnx/tcn_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,CUDAExecutionProvider,False,point,1000,5,0,7.62939453125e-05,5.7220458984375e-05,2.8256751924184047e-06,175.8301544189453,175.8301544189453,0.0001,0.017583015441894532,230.4641,True,True,artifacts/onnx/tcn_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,TensorrtExecutionProvider,False,point,1000,5,0,9.1552734375e-05,5.340576171875e-05,2.8100132713249576e-06,175.8301544189453,175.8301544189453,0.0001,0.017583015441894532,192.05341666666666,True,True,artifacts/onnx/tcn_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn,torch:cuda,False,point,1000,5,0,7.62939453125e-05,4.57763671875e-05,2.4892271696848588e-06,175.8301544189453,175.8301544189453,0.0001,0.017583015441894532,230.4641,True,True,artifacts/onnx/tcn_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,CPUExecutionProvider,False,point,1000,5,20260909,9.447336196899414e-06,5.5730342864990234e-06,4.008532528273968e-07,5.315743923187256,5.315743923187256,0.0001,0.0005315743923187256,56.26711924290221,True,True,artifacts/onnx/lstm_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,CUDAExecutionProvider,False,point,1000,5,0,8.940696716308594e-06,3.933906555175781e-06,3.776159935579118e-07,5.605780124664307,5.605780124664307,0.0001,0.0005605780124664307,62.69958933333334,True,True,artifacts/onnx/lstm_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,TensorrtExecutionProvider,False,point,1000,5,1,1.0013580322265625e-05,4.76837158203125e-06,3.7134061771212146e-07,5.384936332702637,5.384936332702637,0.0001,0.0005384936332702637,53.77633333333334,True,True,artifacts/onnx/lstm_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm,torch:cuda,False,point,1000,5,20260909,0.0002790987491607666,0.00012871623039245605,7.225980016018083e-06,5.315743923187256,5.315743923187256,0.0001,0.0005315743923187256,1.9046104431393487,True,False,artifacts/onnx/lstm_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,CPUExecutionProvider,False,quantile,1000,5,0,9.918212890625e-05,6.103515625e-05,3.178818617393349e-06,242.47256469726562,242.47256469726562,0.0001,0.024247256469726565,244.4720307692308,True,True,artifacts/onnx/tcn_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,CUDAExecutionProvider,False,quantile,1000,5,1,9.1552734375e-05,6.103515625e-05,2.976299252340938e-06,197.94549560546875,197.94549560546875,0.0001,0.019794549560546874,216.20926666666665,True,True,artifacts/onnx/tcn_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,TensorrtExecutionProvider,False,quantile,1000,5,1,9.1552734375e-05,6.103515625e-05,2.9843357102862807e-06,197.94549560546875,197.94549560546875,0.0001,0.019794549560546874,216.20926666666665,True,True,artifacts/onnx/tcn_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
tcn_quantile,torch:cuda,False,quantile,1000,5,0,7.62939453125e-05,5.340576171875e-05,2.7029769237201377e-06,242.47256469726562,242.47256469726562,0.0001,0.024247256469726565,317.81364,True,True,artifacts/onnx/tcn_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,CPUExecutionProvider,False,quantile,1000,5,20260909,0.00020384788513183594,0.00014162063598632812,2.6278678620310306e-06,9.788701057434082,9.788701057434082,0.0001,0.0009788701057434083,4.80196350877193,True,False,artifacts/onnx/lstm_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,CUDAExecutionProvider,False,quantile,1000,5,42,0.0003459453582763672,0.0001628398895263672,3.916177145719426e-06,10.231444358825684,10.231444358825684,0.0001,0.0010231444358825685,2.9575319090282566,True,False,artifacts/onnx/lstm_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,TensorrtExecutionProvider,False,quantile,1000,5,7,0.0005848407745361328,9.179115295410156e-05,2.6422790738011647e-06,10.367413520812988,10.367413520812988,0.0001,0.0010367413520812989,1.7726899306971058,True,False,artifacts/onnx/lstm_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
lstm_quantile,torch:cuda,False,quantile,1000,5,42,0.005295515060424805,0.0015088915824890137,4.19822886589441e-05,10.231444358825684,10.231444358825684,0.0001,0.0010231444358825685,0.19320961685651256,False,False,artifacts/onnx/lstm_quantile_id_seed0.onnx,NVIDIA RTX A4000,2.13.0+cu130,1.29.0,7bd8d86-dirty
